Start Time:  09/24/2020 2:45:00 PM        Time Completed:  09/24/2020 2:59:09 PM    Elapsed Time:  00:14:09
Sample ID:     JH240_IP_1p5T

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20200924JH240_IP_1p5T#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20200924JH240_IP_1p5T#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20200924JH240_IP_1p5T#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000182303 	
 13250 	-0.000150628 	
 11500 	-0.000113896 	
 9749.96 	-0.0000835139 	
 7999.96 	-0.0000464016 	
 6249.97 	-0.0000115439 	
 4499.96 	 0.0000236394 	
 2749.95 	 0.0000649723 	
 999.953 	 0.000100046 	
 799.976 	 0.000104399 	
 599.975 	 0.000105254 	
 399.985 	 0.0001092 	
 199.977 	 0.000111415 	
-0.0170765 	 0.0000984603 	
-200.02 	-0.0000677347 	
-400.022 	-0.0000659947 	
-600.016 	-0.0000658863 	
-800.014 	-0.000061908 	
-1000.02 	-0.0000591145 	
-2750.05 	-0.0000214151 	
-4500.07 	 0.0000122987 	
-6250.08 	 0.0000481751 	
-8000.07 	 0.000082539 	
-9750.04 	 0.000123212 	
-11500 	 0.000159447 	
-13250 	 0.000191927 	
-15000 	 0.000220939 	
-13250 	 0.000188391 	
-11500 	 0.000152343 	
-9749.98 	 0.000126087 	
-7999.96 	 0.0000817855 	
-6249.98 	 0.0000424486 	
-4499.97 	 0.00000962997 	
-2749.98 	-0.0000238723 	
-999.954 	-0.0000597138 	
-799.982 	-0.0000628223 	
-599.981 	-0.0000652429 	
-399.98 	-0.0000690138 	
-199.983 	-0.0000687896 	
 0.0195617 	-0.0000579144 	
 200.014 	 0.000109712 	
 400.017 	 0.000109809 	
 600.018 	 0.000108205 	
 800.016 	 0.000103134 	
 1000.02 	 0.000102564 	
 2750.05 	 0.0000638097 	
 4500.07 	 0.0000307127 	
 6250.09 	-0.0000119559 	
 8000.07 	-0.000047312 	
 9750.03 	-0.000074407 	
 11500 	-0.000111663 	
 13250 	-0.000147944 	
 15000 	-0.000178852 	

	
	
