Start Time:  09/24/2020 2:17:00 PM        Time Completed:  09/24/2020 2:31:12 PM    Elapsed Time:  00:14:12
Sample ID:     JH239_IP_1p5T

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20200994_JH239_IP_1p5T#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20200994_JH239_IP_1p5T#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20200994_JH239_IP_1p5T#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000129052 	
 13250 	-0.0000978162 	
 11500 	-0.0000706226 	
 9749.98 	-0.0000404249 	
 7999.95 	-0.0000143883 	
 6249.97 	 0.0000218304 	
 4499.96 	 0.000050981 	
 2749.95 	 0.0000836472 	
 999.956 	 0.000110437 	
 799.977 	 0.000110883 	
 599.974 	 0.000114727 	
 399.983 	 0.000118295 	
 199.982 	 0.000116831 	
-0.0174769 	 0.000104847 	
-200.017 	-0.0000532096 	
-400.016 	-0.0000570429 	
-600.023 	-0.0000547125 	
-800.018 	-0.000052203 	
-1000.02 	-0.0000510826 	
-2750.05 	-0.0000211981 	
-4500.07 	 0.0000116934 	
-6250.07 	 0.0000436995 	
-8000.07 	 0.0000697856 	
-9750.03 	 0.000106304 	
-11500 	 0.000128273 	
-13250 	 0.000158718 	
-15000 	 0.000187918 	
-13250 	 0.000156355 	
-11500 	 0.000126045 	
-9749.98 	 0.0000967397 	
-7999.95 	 0.0000693569 	
-6249.96 	 0.0000408075 	
-4499.97 	 0.00000529589 	
-2749.98 	-0.0000254303 	
-999.954 	-0.0000505065 	
-799.978 	-0.0000551317 	
-599.979 	-0.0000558236 	
-399.981 	-0.0000598049 	
-199.986 	-0.0000606321 	
 0.021953 	-0.0000475492 	
 200.019 	 0.000111906 	
 400.011 	 0.000115692 	
 600.016 	 0.000113507 	
 800.021 	 0.000110929 	
 1000.02 	 0.00010903 	
 2750.05 	 0.0000797397 	
 4500.06 	 0.0000441273 	
 6250.1 	 0.000017786 	
 8000.06 	-0.00000839504 	
 9750.04 	-0.0000416603 	
 11500 	-0.0000706088 	
 13250 	-0.000100307 	
 15000 	-0.000125544 	

	
	
