Start Time:  10/07/2020 2:09:00 PM        Time Completed:  10/07/2020 2:15:47 PM    Elapsed Time:  00:06:47
Sample ID:     JH241_OOP_1p5T

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201007_JH241_OOP_1p5T#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201007_JH241_OOP_1p5T#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201007_JH241_OOP_1p5T#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000622549 	
 12400 	-0.000516291 	
 9799.95 	-0.000420129 	
 7199.93 	-0.000317862 	
 4599.94 	-0.000233799 	
 1999.88 	-0.000124878 	
 999.938 	-0.0000874835 	
-0.0780753 	-0.0000663039 	
-1000.07 	-0.0000332322 	
-2000.08 	-0.00000286659 	
-4600.13 	 0.000111635 	
-7200.19 	 0.000209621 	
-9800.13 	 0.000298175 	
-12400 	 0.000386367 	
-15000 	 0.000494806 	
-12400 	 0.000389929 	
-9799.95 	 0.000275947 	
-7199.92 	 0.000184579 	
-4599.93 	 0.000105984 	
-1999.96 	 0.00000158653 	
-999.935 	-0.000040789 	
 0.0667004 	-0.0000649729 	
 1000.07 	-0.000094418 	
 2000.08 	-0.000122608 	
 4600.15 	-0.000196796 	
 7200.19 	-0.00029078 	
 9800.1 	-0.000448017 	
 12400 	-0.000509912 	
 15000 	-0.000616625 	

	
	
