Start Time:  11/06/2020 1:57:06 PM        Time Completed:  11/06/2020 2:06:07 PM    Elapsed Time:  00:09:00
Sample ID:     JH245-Py_OOP_1p5T

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201106_JH245-Py_OOP_1p5T#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201106_JH245-Py_OOP_1p5T#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201106_JH245-Py_OOP_1p5T#2.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000273362 	
 13375 	-0.000232272 	
 11750 	-0.000191957 	
 10125 	-0.000158432 	
 8499.96 	-0.000129601 	
 6874.94 	-0.0000892146 	
 5249.94 	-0.0000583638 	
 3624.94 	-0.0000229334 	
 1999.91 	 0.0000154941 	
 1199.94 	 0.0000128561 	
 399.937 	 0.0000335881 	
-400.048 	 0.000026211 	
-1200.06 	 0.0000333249 	
-2000.06 	 0.0000521893 	
-3625.1 	 0.0000838662 	
-5250.08 	 0.000110866 	
-6875.16 	 0.000130172 	
-8500.11 	 0.000183494 	
-10125.1 	 0.000223704 	
-11750 	 0.000241878 	
-13375 	 0.000289551 	
-15000 	 0.000325628 	
-13375 	 0.000286375 	
-11750 	 0.000239981 	
-10125 	 0.000202069 	
-8499.96 	 0.000166039 	
-6874.96 	 0.000148343 	
-5249.95 	 0.000111297 	
-3624.96 	 0.0000729744 	
-1999.97 	 0.0000372087 	
-1199.95 	 0.0000287051 	
-399.957 	 0.000019873 	
 400.06 	 0.0000260947 	
 1200.05 	 0.00002415 	
 2000.07 	 0.0000112801 	
 3625.06 	-0.0000358815 	
 5250.11 	-0.000052432 	
 6875.13 	-0.0000978708 	
 8500.08 	-0.000122815 	
 10125.1 	-0.000173549 	
 11750 	-0.000195394 	
 13375 	-0.00023355 	
 15000 	-0.000269828 	

	
	
