Start Time:  11/06/2020 3:33:00 PM        Time Completed:  11/06/2020 3:42:47 PM    Elapsed Time:  00:09:47
Sample ID:     JH247_OOP_1p5T

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201106_JH247_OOP_1p5T#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201106_JH247_OOP_1p5T#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201106_JH247_OOP_1p5T#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000385416 	
 13375 	-0.000328233 	
 11750 	-0.000281494 	
 10125 	-0.000233682 	
 8499.96 	-0.000196297 	
 6874.94 	-0.00014424 	
 5249.95 	-0.000097327 	
 3624.95 	-0.0000502323 	
 1999.91 	-0.0000182438 	
 1199.95 	-0.00000957904 	
 399.964 	-0.000016857 	
-400.045 	-0.0000327447 	
-1200.05 	-0.0000320778 	
-2000.06 	-0.000031794 	
-3625.12 	 0.00000487878 	
-5250.1 	 0.0000559981 	
-6875.11 	 0.0000925589 	
-8500.1 	 0.00013013 	
-10125.1 	 0.000175017 	
-11750 	 0.000226228 	
-13375 	 0.000282436 	
-15000 	 0.000329489 	
-13375 	 0.000276127 	
-11750 	 0.000226958 	
-10125 	 0.000188718 	
-8499.96 	 0.000146579 	
-6874.95 	 0.0000962748 	
-5249.95 	 0.0000507577 	
-3624.95 	 0.0000013919 	
-1999.99 	-0.0000227186 	
-1199.95 	-0.0000404248 	
-399.955 	-0.0000321145 	
 400.047 	-0.0000136535 	
 1200.05 	-0.0000127393 	
 2000.06 	-0.0000153192 	
 3625.09 	-0.0000411898 	
 5250.1 	-0.0000776689 	
 6875.12 	-0.000130532 	
 8500.1 	-0.000176754 	
 10125 	-0.000227633 	
 11750 	-0.0002746 	
 13375 	-0.00031803 	
 15000 	-0.000369577 	

	
	
