Start Time:  11/13/2020 2:50:00 PM        Time Completed:  11/13/2020 2:59:44 PM    Elapsed Time:  00:09:44
Sample ID:     JH247_OOP_1p5T_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201113_JH247_OOP_1p5T_5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201113_JH247_OOP_1p5T_5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201113_JH247_OOP_1p5T_5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000222024 	
 13375 	-0.00018887 	
 11750 	-0.000145874 	
 10125 	-0.000107659 	
 8499.96 	-0.0000716377 	
 6874.96 	-0.0000248724 	
 5249.95 	 0.00000681245 	
 3624.96 	 0.0000550861 	
 1999.93 	 0.000093088 	
 1199.96 	 0.0000992796 	
 399.957 	 0.000107865 	
-400.044 	 0.000112895 	
-1200.05 	 0.0001141 	
-2000.06 	 0.000131589 	
-3625.08 	 0.000159876 	
-5250.1 	 0.000202446 	
-6875.1 	 0.000256629 	
-8500.08 	 0.000274475 	
-10125 	 0.000336029 	
-11750 	 0.000361149 	
-13375 	 0.000402004 	
-15000 	 0.000438158 	
-13375 	 0.000398496 	
-11750 	 0.000358414 	
-10125 	 0.000318656 	
-8499.95 	 0.000283786 	
-6874.95 	 0.000239189 	
-5249.95 	 0.000198648 	
-3624.95 	 0.000149792 	
-1999.98 	 0.000112713 	
-1199.95 	 0.000106367 	
-399.956 	 0.000104676 	
 400.046 	 0.000101028 	
 1200.05 	 0.000096257 	
 2000.06 	 0.0000877798 	
 3625.08 	 0.0000537706 	
 5250.1 	 0.00000488359 	
 6875.1 	-0.0000355678 	
 8500.06 	-0.0000791553 	
 10125 	-0.000133382 	
 11750 	-0.000159255 	
 13375 	-0.000199862 	
 15000 	-0.000233314 	

	
	
