Start Time:  11/13/2020 11:43:59 AM       Time Completed:  11/13/2020 11:53:45 AM   Elapsed Time:  00:09:45
Sample ID:     JH248_1p5T_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201113_JH248_1p5T_5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201113_JH248_1p5T_5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201113_JH248_1p5T_5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000144698 	
 13375 	-0.000120371 	
 11750 	-0.0000967299 	
 10125 	-0.0000860468 	
 8499.95 	-0.0000708593 	
 6874.95 	-0.0000449279 	
 5249.95 	-0.0000294474 	
 3624.94 	-0.0000138346 	
 1999.92 	 0.00000762172 	
 1199.96 	 0.0000149934 	
 399.959 	 0.0000199834 	
-400.046 	 0.0000129808 	
-1200.05 	 0.0000194202 	
-2000.05 	 0.0000271152 	
-3625.08 	 0.0000412723 	
-5250.12 	 0.0000549258 	
-6875.11 	 0.0000726422 	
-8500.08 	 0.000105692 	
-10125 	 0.00011685 	
-11750 	 0.000121983 	
-13375 	 0.000147488 	
-15000 	 0.000167017 	
-13375 	 0.000143893 	
-11750 	 0.0001202 	
-10125 	 0.0000976652 	
-8499.97 	 0.0000863092 	
-6874.96 	 0.0000839231 	
-5249.94 	 0.000058658 	
-3624.96 	 0.0000363813 	
-1999.97 	 0.0000217445 	
-1199.96 	 0.0000104899 	
-399.952 	 0.0000102352 	
 400.049 	 0.0000176344 	
 1200.05 	 0.000014015 	
 2000.06 	 0.00000606031 	
 3625.08 	-0.0000110843 	
 5250.1 	-0.0000369001 	
 6875.09 	-0.0000563311 	
 8500.09 	-0.000050893 	
 10125 	-0.0000798138 	
 11750 	-0.0000908944 	
 13375 	-0.000112975 	
 15000 	-0.000135066 	

	
	
