Start Time:  11/13/2020 1:18:54 PM        Time Completed:  11/13/2020 1:28:45 PM    Elapsed Time:  00:09:50
Sample ID:     JH249_OOP_1p5T_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201113_JH249_OOP_1p5T_5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201113_JH249_OOP_1p5T_5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201113_JH249_OOP_1p5T_5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000193061 	
 13375 	-0.000165748 	
 11750 	-0.00013344 	
 10125 	-0.000110079 	
 8499.95 	-0.0000889675 	
 6874.95 	-0.0000700993 	
 5249.95 	-0.0000374269 	
 3624.95 	-0.0000141515 	
 1999.93 	 0.00000444294 	
 1199.96 	 0.0000191913 	
 399.964 	 0.0000263645 	
-400.047 	 0.0000211111 	
-1200.06 	 0.0000239103 	
-2000.06 	 0.0000348195 	
-3625.1 	 0.0000719519 	
-5250.1 	 0.0000936946 	
-6875.11 	 0.000109114 	
-8500.07 	 0.000132716 	
-10125.1 	 0.000151644 	
-11750 	 0.000168694 	
-13375 	 0.000210282 	
-15000 	 0.000236807 	
-13375 	 0.000206619 	
-11750 	 0.000172796 	
-10125 	 0.000158556 	
-8499.97 	 0.000129009 	
-6874.97 	 0.000108462 	
-5249.96 	 0.0000779491 	
-3624.95 	 0.000059197 	
-1999.98 	 0.0000326818 	
-1199.95 	 0.0000261134 	
-399.947 	 0.0000142986 	
 400.048 	 0.0000272387 	
 1200.05 	 0.0000206373 	
 2000.06 	 0.00000955613 	
 3625.09 	-0.0000230749 	
 5250.11 	-0.000040953 	
 6875.1 	-0.0000714868 	
 8500.06 	-0.0000955823 	
 10125 	-0.000106684 	
 11750 	-0.000131763 	
 13375 	-0.00016261 	
 15000 	-0.000191844 	

	
	
