Start Time:  11/13/2020 4:11:00 PM        Time Completed:  11/13/2020 4:20:44 PM    Elapsed Time:  00:09:44
Sample ID:     JH250-Co_OOP_1p5T_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201113_JH250-Co_OOP_1p5T_5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201113_JH250-Co_OOP_1p5T_5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201113_JH250-Co_OOP_1p5T_5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000286417 	
 13375 	-0.000252381 	
 11750 	-0.000214716 	
 10125 	-0.000181271 	
 8499.97 	-0.000142789 	
 6874.96 	-0.000100816 	
 5249.94 	-0.000064644 	
 3624.95 	-0.000024243 	
 1999.93 	 0.0000164997 	
 1199.96 	 0.0000221585 	
 399.956 	 0.0000306014 	
-400.046 	 0.0000226541 	
-1200.05 	 0.0000344444 	
-2000.05 	 0.0000433495 	
-3625.08 	 0.0000759474 	
-5250.1 	 0.000116273 	
-6875.1 	 0.000160572 	
-8500.09 	 0.00020858 	
-10125 	 0.000249715 	
-11750 	 0.000269162 	
-13375 	 0.000310236 	
-15000 	 0.000341023 	
-13375 	 0.000303287 	
-11750 	 0.000268159 	
-10125 	 0.000225412 	
-8499.97 	 0.000191072 	
-6874.96 	 0.000150324 	
-5249.94 	 0.000105417 	
-3624.95 	 0.0000771695 	
-1999.98 	 0.0000420175 	
-1199.96 	 0.0000322996 	
-399.958 	 0.0000239068 	
 400.053 	 0.0000318914 	
 1200.04 	 0.0000280853 	
 2000.06 	 0.0000133588 	
 3625.08 	-0.0000185401 	
 5250.1 	-0.0000714091 	
 6875.09 	-0.0000925361 	
 8500.08 	-0.000142585 	
 10125 	-0.00018677 	
 11750 	-0.000219339 	
 13375 	-0.000254976 	
 15000 	-0.000285914 	

	
	
