Start Time:  11/13/2020 12:50:00 PM       Time Completed:  11/13/2020 12:59:45 PM   Elapsed Time:  00:09:45
Sample ID:     JH250_OOP_1p5T_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201113_JH250_OOP_1p5T_5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201113_JH250_OOP_1p5T_5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201113_JH250_OOP_1p5T_5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000227755 	
 13375 	-0.000196445 	
 11750 	-0.000170693 	
 10125 	-0.000154141 	
 8499.96 	-0.000110905 	
 6874.95 	-0.0000958988 	
 5249.95 	-0.0000692351 	
 3624.95 	-0.0000449138 	
 1999.93 	-0.0000168626 	
 1199.96 	-0.00000720971 	
 399.951 	 0.00000136959 	
-400.048 	-0.000000533657 	
-1200.05 	 0.00000601128 	
-2000.05 	 0.0000250743 	
-3625.09 	 0.0000406119 	
-5250.12 	 0.0000775678 	
-6875.11 	 0.000116295 	
-8500.09 	 0.000122306 	
-10125.1 	 0.000148418 	
-11750 	 0.000168733 	
-13375 	 0.000195517 	
-15000 	 0.000223106 	
-13375 	 0.000196033 	
-11750 	 0.000168348 	
-10125 	 0.000139365 	
-8499.98 	 0.000115103 	
-6874.95 	 0.000093935 	
-5249.96 	 0.0000806837 	
-3624.96 	 0.0000436402 	
-1999.97 	 0.0000153036 	
-1199.96 	 0.0000184574 	
-399.952 	 0.00000313457 	
 400.05 	 0.000012067 	
 1200.05 	 0.00000254228 	
 2000.05 	-0.0000057008 	
 3625.08 	-0.0000370848 	
 5250.1 	-0.0000590533 	
 6875.1 	-0.0000668102 	
 8500.06 	-0.00011532 	
 10125 	-0.000134129 	
 11750 	-0.000144262 	
 13375 	-0.000178487 	
 15000 	-0.0002059 	

	
	
