Start Time:  11/13/2020 4:40:00 PM        Time Completed:  11/13/2020 4:49:43 PM    Elapsed Time:  00:09:43
Sample ID:     Si_OOP_1p5T_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201112_Si_OOP_1p5T_5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201112_Si_OOP_1p5T_5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201112_Si_OOP_1p5T_5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000334574 	
 13375 	-0.000293608 	
 11750 	-0.00025651 	
 10125 	-0.000215221 	
 8499.97 	-0.000183931 	
 6874.95 	-0.000130718 	
 5249.95 	-0.0000899016 	
 3624.95 	-0.000052083 	
 1999.94 	-0.00000378865 	
 1199.95 	 0.0000179799 	
 399.956 	 0.0000300655 	
-400.049 	 0.0000302987 	
-1200.05 	 0.0000444 	
-2000.05 	 0.0000625819 	
-3625.08 	 0.000103723 	
-5250.1 	 0.000143754 	
-6875.1 	 0.000197733 	
-8500.08 	 0.000242594 	
-10125 	 0.000295051 	
-11750 	 0.000309819 	
-13375 	 0.000349177 	
-15000 	 0.000383332 	
-13375 	 0.000347656 	
-11750 	 0.000312757 	
-10125 	 0.00026874 	
-8499.96 	 0.000233728 	
-6874.96 	 0.000187683 	
-5249.95 	 0.000143373 	
-3624.94 	 0.0000989598 	
-1999.98 	 0.0000562336 	
-1199.95 	 0.0000372402 	
-399.952 	 0.0000273183 	
 400.048 	 0.0000229346 	
 1200.04 	 0.0000148582 	
 2000.06 	-0.00000342895 	
 3625.1 	-0.000051561 	
 5250.1 	-0.000101749 	
 6875.09 	-0.000146564 	
 8500.08 	-0.000177895 	
 10125 	-0.000220676 	
 11750 	-0.000257389 	
 13375 	-0.00029522 	
 15000 	-0.000330209 	

	
	
