Start Time:  11/20/2020 10:55:00 AM       Time Completed:  11/20/2020 11:11:49 AM   Elapsed Time:  00:16:49
Sample ID:     JH246-Co_IP_1p5T_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201120_JH246-Co_IP_1p5T_5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201120_JH246-Co_IP_1p5T_5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201120_JH246-Co_IP_1p5T_5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000144025 	
 13250 	-0.000118185 	
 11500 	-0.0000900975 	
 9749.98 	-0.0000647386 	
 7999.97 	-0.0000338128 	
 6249.95 	 0.00000142743 	
 4499.97 	 0.0000278384 	
 2749.96 	 0.000059629 	
 999.955 	 0.0000911195 	
 699.972 	 0.0000922665 	
 399.976 	 0.0000943781 	
 99.9713 	 0.0000930124 	
 79.9934 	 0.0000883824 	
 59.9982 	 0.0000833558 	
 39.9954 	 0.0000776857 	
 19.9992 	 0.0000652325 	
-0.000997052 	 0.0000472329 	
-20.0081 	 0.0000267911 	
-40.0054 	 0.00000486976 	
-60.0041 	-0.0000701323 	
-80.0024 	-0.0000798011 	
-100.007 	-0.0000844235 	
-400.019 	-0.0000914831 	
-700.021 	-0.0000886111 	
-1000.02 	-0.0000864035 	
-2750.05 	-0.0000555658 	
-4500.07 	-0.0000157371 	
-6250.08 	 0.0000084538 	
-8000.07 	 0.0000385084 	
-9750.03 	 0.0000663249 	
-11500 	 0.00009249 	
-13250 	 0.00012165 	
-15000 	 0.000147211 	
-13250 	 0.000121427 	
-11500 	 0.0000942163 	
-9749.99 	 0.0000695564 	
-7999.95 	 0.000033802 	
-6249.97 	 0.00000136313 	
-4499.97 	-0.0000219608 	
-2749.98 	-0.0000572362 	
-999.955 	-0.0000845445 	
-699.972 	-0.00009159 	
-399.97 	-0.000093007 	
-99.9776 	-0.0000883901 	
-79.9946 	-0.0000877018 	
-59.9969 	-0.0000826169 	
-39.9953 	-0.0000754925 	
-20.0005 	-0.0000645853 	
 0.00354034 	-0.0000478478 	
 20.0056 	-0.0000270647 	
 40.0005 	-0.00000517964 	
 60.0038 	 0.0000737829 	
 80.0039 	 0.0000832752 	
 100.004 	 0.0000870663 	
 400.021 	 0.0000934803 	
 700.017 	 0.0000922129 	
 1000.02 	 0.0000896807 	
 2750.05 	 0.0000549703 	
 4500.08 	 0.0000260781 	
 6250.07 	-0.0000156462 	
 8000.07 	-0.0000349287 	
 9750.04 	-0.0000604175 	
 11500 	-0.0000929192 	
 13250 	-0.000120717 	
 15000 	-0.000143399 	

	
	
