Start Time:  11/20/2020 11:56:00 AM       Time Completed:  11/20/2020 12:12:49 PM   Elapsed Time:  00:16:49
Sample ID:     JH248-Co_IP_1p5T_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201120_JH248-Co_IP_1p5T_5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201120_JH248-Co_IP_1p5T_5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201120_JH248-Co_IP_1p5T_5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000158991 	
 13250 	-0.000132094 	
 11500 	-0.0000991962 	
 9749.98 	-0.0000717213 	
 7999.96 	-0.0000370658 	
 6249.96 	-0.0000042292 	
 4499.96 	 0.0000260333 	
 2749.96 	 0.0000586349 	
 999.956 	 0.0000925358 	
 699.967 	 0.0000983151 	
 399.974 	 0.000100728 	
 99.9721 	 0.0000972931 	
 79.9936 	 0.0000949453 	
 59.995 	 0.0000921819 	
 39.9973 	 0.0000853485 	
 19.9957 	 0.000075379 	
-0.00249425 	 0.0000585071 	
-20.003 	 0.0000400867 	
-40.0036 	 0.0000108104 	
-60.0043 	-0.0000653682 	
-80.0014 	-0.0000719191 	
-100.005 	-0.0000753926 	
-400.021 	-0.0000836708 	
-700.024 	-0.0000807102 	
-1000.02 	-0.0000766163 	
-2750.06 	-0.0000369165 	
-4500.06 	-0.00000519405 	
-6250.08 	 0.0000230688 	
-8000.07 	 0.0000435113 	
-9750.04 	 0.0000923763 	
-11500 	 0.000120421 	
-13250 	 0.000146041 	
-15000 	 0.000171515 	
-13250 	 0.000142403 	
-11500 	 0.00011339 	
-9749.98 	 0.000088875 	
-7999.96 	 0.0000542267 	
-6249.97 	 0.0000214305 	
-4499.96 	-0.0000139883 	
-2749.97 	-0.0000451569 	
-999.956 	-0.0000763132 	
-699.971 	-0.0000830276 	
-399.973 	-0.0000842238 	
-99.9787 	-0.0000837922 	
-79.991 	-0.0000814164 	
-59.9912 	-0.0000799464 	
-39.997 	-0.0000737367 	
-19.9975 	-0.0000641527 	
 0.00254214 	-0.0000502914 	
 20.0028 	-0.0000298068 	
 40.0018 	-0.00000363315 	
 60.0061 	 0.0000788759 	
 80.0052 	 0.0000865064 	
 100.005 	 0.0000911395 	
 400.023 	 0.0000973978 	
 700.016 	 0.0000917227 	
 1000.02 	 0.0000888162 	
 2750.05 	 0.0000524404 	
 4500.08 	 0.0000223932 	
 6250.07 	-0.00000506075 	
 8000.07 	-0.0000428057 	
 9750.03 	-0.0000789092 	
 11500 	-0.00010676 	
 13250 	-0.000132682 	
 15000 	-0.000159244 	

	
	
