Start Time:  11/20/2020 12:27:00 PM       Time Completed:  11/20/2020 12:43:49 PM   Elapsed Time:  00:16:49
Sample ID:     JH249-Co_IP_1p5T_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201120_JH249-Co_IP_1p5T_5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201120_JH249-Co_IP_1p5T_5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201120_JH249-Co_IP_1p5T_5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.00031299 	
 13250 	-0.000267153 	
 11500 	-0.000219224 	
 9749.97 	-0.000172402 	
 7999.97 	-0.000117842 	
 6249.96 	-0.0000721235 	
 4499.96 	-0.0000126995 	
 2749.95 	 0.00003449 	
 999.961 	 0.0000865491 	
 699.973 	 0.0000947654 	
 399.97 	 0.000104077 	
 99.9753 	 0.00010405 	
 79.993 	 0.000101781 	
 59.995 	 0.0000968616 	
 39.9947 	 0.0000921773 	
 19.9921 	 0.0000813131 	
-0.00690741 	 0.0000683021 	
-19.9985 	 0.0000535979 	
-40.0066 	 0.0000286896 	
-60.0032 	-0.0000472332 	
-80.0058 	-0.0000540868 	
-100.004 	-0.0000568389 	
-400.017 	-0.0000606265 	
-700.018 	-0.0000535304 	
-1000.02 	-0.0000467447 	
-2750.05 	 0.00000523294 	
-4500.07 	 0.0000532488 	
-6250.08 	 0.000105173 	
-8000.07 	 0.000161712 	
-9750.03 	 0.000213673 	
-11500 	 0.000261977 	
-13250 	 0.000312407 	
-15000 	 0.000355704 	
-13250 	 0.000305936 	
-11500 	 0.000256127 	
-9749.98 	 0.000204715 	
-7999.96 	 0.000156422 	
-6249.98 	 0.000110142 	
-4499.96 	 0.0000529668 	
-2749.98 	 0.000000156307 	
-999.96 	-0.0000551538 	
-699.972 	-0.0000578494 	
-399.972 	-0.0000662881 	
-99.9778 	-0.0000651253 	
-79.9934 	-0.0000627079 	
-59.9945 	-0.0000619239 	
-39.9918 	-0.0000562334 	
-19.9935 	-0.0000481719 	
 0.00167764 	-0.0000347007 	
 20.0038 	-0.0000214853 	
 40.0059 	-0.000000514363 	
 60.0029 	 0.0000826544 	
 80.0018 	 0.0000892922 	
 100.003 	 0.0000914585 	
 400.021 	 0.0000943354 	
 700.02 	 0.0000879156 	
 1000.02 	 0.0000789151 	
 2750.05 	 0.0000228601 	
 4500.07 	-0.0000194937 	
 6250.07 	-0.0000786552 	
 8000.06 	-0.000135332 	
 9750.03 	-0.000175036 	
 11500 	-0.000231581 	
 13250 	-0.00028047 	
 15000 	-0.000324618 	

	
	
