Start Time:  11/20/2020 2:20:00 PM        Time Completed:  11/20/2020 2:36:48 PM    Elapsed Time:  00:16:48
Sample ID:     JH249-Co_IP_1p5T_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201120_JH249-Co_IP_1p5T_5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201120_JH249-Co_IP_1p5T_5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201120_JH249-Co_IP_1p5T_5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000207551 	
 13250 	-0.000173432 	
 11500 	-0.000135738 	
 9749.99 	-0.0000950658 	
 7999.96 	-0.0000637474 	
 6249.96 	-0.0000251882 	
 4499.96 	 0.0000189643 	
 2749.94 	 0.0000551261 	
 999.953 	 0.0000949996 	
 699.969 	 0.000101654 	
 399.971 	 0.000102237 	
 99.9772 	 0.000101499 	
 79.994 	 0.0000999163 	
 59.9954 	 0.0000968188 	
 39.9967 	 0.0000912976 	
 19.9943 	 0.0000819015 	
-0.00700247 	 0.0000676486 	
-20.0077 	 0.0000516226 	
-40.0067 	 0.0000119724 	
-60.008 	-0.0000631703 	
-80.0041 	-0.0000685199 	
-100.001 	-0.0000709793 	
-400.022 	-0.0000779619 	
-700.02 	-0.0000733592 	
-1000.02 	-0.0000684931 	
-2750.06 	-0.0000273844 	
-4500.08 	 0.0000100778 	
-6250.09 	 0.0000573782 	
-8000.07 	 0.0000865998 	
-9750.03 	 0.00012525 	
-11500 	 0.000166009 	
-13250 	 0.000199837 	
-15000 	 0.000231703 	
-13250 	 0.000195697 	
-11500 	 0.000161193 	
-9749.97 	 0.000127641 	
-7999.97 	 0.0000860167 	
-6249.97 	 0.0000455318 	
-4499.96 	 0.0000105051 	
-2749.97 	-0.0000325273 	
-999.955 	-0.0000710484 	
-699.976 	-0.0000724665 	
-399.977 	-0.0000774895 	
-99.9786 	-0.0000782609 	
-79.9918 	-0.000076168 	
-59.9942 	-0.0000726756 	
-39.9952 	-0.0000666002 	
-19.9934 	-0.0000591371 	
-0.000368883 	-0.0000447124 	
 20.0068 	-0.0000298197 	
 40.0012 	-0.00000414796 	
 60.0063 	 0.0000888428 	
 80.0024 	 0.0000939597 	
 100 	 0.0000951484 	
 400.022 	 0.0000990773 	
 700.023 	 0.0000993664 	
 1000.03 	 0.0000913242 	
 2750.05 	 0.0000512431 	
 4500.08 	 0.0000114456 	
 6250.08 	-0.0000251744 	
 8000.08 	-0.000070689 	
 9750.03 	-0.000107726 	
 11500 	-0.000139618 	
 13250 	-0.000174359 	
 15000 	-0.000206229 	

	
	
