Start Time:  11/20/2020 12:57:00 PM       Time Completed:  11/20/2020 1:13:49 PM    Elapsed Time:  00:16:49
Sample ID:     JH250-Co_IP_1p5T_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201120_JH250-Co_IP_1p5T_5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201120_JH250-Co_IP_1p5T_5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201120_JH250-Co_IP_1p5T_5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000188777 	
 13250 	-0.000159852 	
 11500 	-0.000127326 	
 9749.98 	-0.0000950082 	
 7999.97 	-0.000071147 	
 6249.96 	-0.0000346608 	
 4499.97 	-0.00000462318 	
 2749.96 	 0.000032347 	
 999.959 	 0.0000676425 	
 699.973 	 0.0000708557 	
 399.978 	 0.0000757883 	
 99.9762 	 0.000072116 	
 79.9952 	 0.0000713175 	
 59.9947 	 0.0000684772 	
 39.995 	 0.0000614197 	
 19.9959 	 0.0000518246 	
-0.00373818 	 0.0000421057 	
-20.0038 	 0.0000295654 	
-40.0099 	-0.00000513673 	
-60.0032 	-0.0000918901 	
-80.0032 	-0.0000976288 	
-99.9999 	-0.000100308 	
-400.015 	-0.000106855 	
-700.021 	-0.000104138 	
-1000.02 	-0.0000970211 	
-2750.05 	-0.000062488 	
-4500.08 	-0.0000283511 	
-6250.08 	-0.00000636969 	
-8000.08 	 0.000056036 	
-9750.04 	 0.0000675859 	
-11500 	 0.0000982909 	
-13250 	 0.00012668 	
-15000 	 0.000154376 	
-13250 	 0.000124299 	
-11500 	 0.0000963227 	
-9749.97 	 0.0000683137 	
-7999.96 	 0.0000355043 	
-6249.96 	 0.0000025646 	
-4499.96 	-0.0000334347 	
-2749.98 	-0.0000653641 	
-999.957 	-0.000101363 	
-699.975 	-0.000102927 	
-399.977 	-0.000105126 	
-99.981 	-0.000104449 	
-79.9957 	-0.000100593 	
-59.9915 	-0.0000978594 	
-39.9951 	-0.0000931791 	
-19.9912 	-0.0000844802 	
 0.00480798 	-0.0000718407 	
 20.0013 	-0.0000594749 	
 40.0054 	-0.0000415668 	
 60.0073 	 0.0000637265 	
 79.9993 	 0.0000688354 	
 100.003 	 0.0000731586 	
 400.017 	 0.0000790937 	
 700.023 	 0.0000751142 	
 1000.02 	 0.0000710534 	
 2750.05 	 0.0000303726 	
 4500.08 	-0.00000137716 	
 6250.08 	-0.0000300532 	
 8000.07 	-0.0000710353 	
 9750.03 	-0.000102585 	
 11500 	-0.000126349 	
 13250 	-0.00015606 	
 15000 	-0.000179808 	

	
	
