Start Time:  07/12/2021 12:26:23 PM       Time Completed:  07/12/2021 12:47:29 PM   Elapsed Time:  00:21:05
Sample ID:     JH255-Co_IP_500G_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH255-Co_IP_500G_5mm#3.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH255-Co_IP_500G_5mm#3.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210712_JH255-Co_IP_500G_5mm#3.dat

***DATA***

Field(G)	 Moment(emu)	
 499.995 	-0.0000663774 	
 483.327 	-0.0000652051 	
 466.65 	-0.0000642689 	
 450.005 	-0.0000646754 	
 433.336 	-0.0000634475 	
 416.659 	-0.0000626327 	
 399.988 	-0.0000635218 	
 383.329 	-0.0000605984 	
 366.655 	-0.0000602537 	
 349.999 	-0.0000625261 	
 333.326 	-0.0000582371 	
 316.66 	-0.0000587778 	
 300.007 	-0.0000572134 	
 283.322 	-0.0000572238 	
 266.662 	-0.0000573085 	
 249.995 	-0.0000552747 	
 233.324 	-0.0000570414 	
 216.657 	-0.0000549693 	
 199.996 	-0.0000566241 	
 183.324 	-0.0000545921 	
 166.662 	-0.0000532023 	
 149.984 	-0.0000543609 	
 133.346 	-0.0000538615 	
 116.672 	-0.0000518906 	
 100.002 	-0.0000542027 	
 83.3511 	-0.0000549807 	
 66.6441 	-0.0000545236 	
 49.9959 	-0.0000548855 	
 33.3361 	-0.0000567984 	
 16.6586 	-0.0000582683 	
-0.00931098 	-0.0000619791 	
-16.6764 	-0.0000685329 	
-33.3396 	-0.0000804896 	
-50.0065 	-0.0000982745 	
-66.6647 	-0.000109981 	
-83.3362 	-0.000124213 	
-100.01 	-0.000153619 	
-116.669 	-0.00018938 	
-133.342 	-0.000211917 	
-150.005 	-0.000223448 	
-166.669 	-0.000226857 	
-183.336 	-0.000229695 	
-200.01 	-0.000228252 	
-216.661 	-0.000231209 	
-233.326 	-0.000231242 	
-250.005 	-0.000230161 	
-266.667 	-0.000229742 	
-283.338 	-0.000229599 	
-300.01 	-0.000230433 	
-316.671 	-0.000231085 	
-333.34 	-0.000229433 	
-350.001 	-0.000230411 	
-366.663 	-0.00022811 	
-383.34 	-0.000228171 	
-400.003 	-0.000226707 	
-416.661 	-0.000226957 	
-433.346 	-0.000224485 	
-450.003 	-0.000224573 	
-466.656 	-0.00022349 	
-483.342 	-0.00022376 	
-500.012 	-0.000220748 	
-483.326 	-0.000223322 	
-466.668 	-0.000222867 	
-450.004 	-0.00022475 	
-433.332 	-0.000223112 	
-416.659 	-0.000225575 	
-400.009 	-0.000225326 	
-383.342 	-0.000225319 	
-366.676 	-0.000225512 	
-350.001 	-0.000225827 	
-333.342 	-0.000226834 	
-316.662 	-0.000226362 	
-300.001 	-0.000225891 	
-283.344 	-0.00022539 	
-266.671 	-0.000224961 	
-250 	-0.000227006 	
-233.344 	-0.000225404 	
-216.673 	-0.00022642 	
-200.004 	-0.000226849 	
-183.342 	-0.000226222 	
-166.672 	-0.000226333 	
-150.003 	-0.000224915 	
-133.333 	-0.000224885 	
-116.684 	-0.000224257 	
-99.9951 	-0.000224813 	
-83.3249 	-0.000223156 	
-66.6692 	-0.000222511 	
-49.991 	-0.000220076 	
-33.3333 	-0.000217998 	
-16.6777 	-0.000217034 	
-0.0033005 	-0.00021531 	
 16.6717 	-0.000208567 	
 33.3284 	-0.000199685 	
 49.9982 	-0.000182744 	
 66.6503 	-0.000167148 	
 83.334 	-0.000154049 	
 100.01 	-0.000127037 	
 116.661 	-0.0000914234 	
 133.332 	-0.0000631584 	
 149.985 	-0.0000508399 	
 166.671 	-0.0000454292 	
 183.332 	-0.0000412659 	
 199.985 	-0.0000404707 	
 216.663 	-0.0000393799 	
 233.332 	-0.0000361668 	
 249.996 	-0.0000369675 	
 266.664 	-0.0000352647 	
 283.336 	-0.0000363089 	
 299.99 	-0.0000356405 	
 316.661 	-0.0000350155 	
 333.332 	-0.0000365522 	
 349.985 	-0.0000350257 	
 366.671 	-0.0000344394 	
 383.323 	-0.0000360733 	
 400 	-0.0000342815 	
 416.668 	-0.0000362288 	
 433.334 	-0.0000364339 	
 450.006 	-0.0000352176 	
 466.679 	-0.0000378527 	
 483.322 	-0.0000375615 	
 499.999 	-0.0000375347 	

	
	
