Start Time:  07/12/2021 1:54:10 PM        Time Completed:  07/12/2021 2:15:17 PM    Elapsed Time:  00:21:06
Sample ID:     JH256-Co_IP_500G_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH256-Co_IP_500G_5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH256-Co_IP_500G_5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210712_JH256-Co_IP_500G_5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 500.015 	-0.0000704417 	
 483.332 	-0.0000698645 	
 466.671 	-0.0000703043 	
 449.998 	-0.0000704964 	
 433.325 	-0.0000699969 	
 416.664 	-0.0000690733 	
 400.007 	-0.0000681416 	
 383.328 	-0.0000685152 	
 366.658 	-0.0000684512 	
 349.989 	-0.0000680064 	
 333.332 	-0.0000695152 	
 316.661 	-0.00006895 	
 299.998 	-0.0000687417 	
 283.332 	-0.0000671311 	
 267.225 	-0.0000676699 	
 249.99 	-0.0000684948 	
 233.345 	-0.0000695517 	
 216.658 	-0.0000655149 	
 199.997 	-0.0000684396 	
 183.33 	-0.0000682689 	
 166.676 	-0.0000689928 	
 149.994 	-0.000068366 	
 133.334 	-0.0000695044 	
 116.66 	-0.0000712449 	
 99.9961 	-0.0000701456 	
 83.2833 	-0.0000719769 	
 66.6777 	-0.0000766125 	
 50.0002 	-0.0000743898 	
 33.329 	-0.000077723 	
 16.6692 	-0.0000836747 	
-0.00207674 	-0.0000875416 	
-16.6694 	-0.0000983239 	
-33.3491 	-0.000110809 	
-49.9948 	-0.00012454 	
-66.6802 	-0.000139758 	
-83.3466 	-0.000155323 	
-100.008 	-0.000184294 	
-116.67 	-0.000214775 	
-133.346 	-0.000233169 	
-150.007 	-0.000245064 	
-166.681 	-0.000251069 	
-183.329 	-0.000254511 	
-199.994 	-0.000258161 	
-216.683 	-0.00026004 	
-233.342 	-0.000260917 	
-250.015 	-0.000263383 	
-266.677 	-0.000265517 	
-283.339 	-0.00026384 	
-300.004 	-0.000265785 	
-316.663 	-0.000265309 	
-333.336 	-0.000269151 	
-350.003 	-0.000266404 	
-366.671 	-0.000267778 	
-383.335 	-0.000269752 	
-400.011 	-0.000268392 	
-416.669 	-0.000267404 	
-433.339 	-0.000269129 	
-450.007 	-0.000270134 	
-466.673 	-0.000267665 	
-483.342 	-0.000267777 	
-499.995 	-0.000268496 	
-483.334 	-0.000268052 	
-466.669 	-0.000267725 	
-450.005 	-0.000268208 	
-433.327 	-0.000268464 	
-416.658 	-0.000268394 	
-400.013 	-0.00026802 	
-383.344 	-0.000267724 	
-366.67 	-0.000268789 	
-350.005 	-0.000268259 	
-333.346 	-0.000267348 	
-316.664 	-0.000266832 	
-300.003 	-0.000269156 	
-283.34 	-0.00026703 	
-266.672 	-0.000268951 	
-250.009 	-0.000267553 	
-233.355 	-0.000268182 	
-216.669 	-0.00026807 	
-200.006 	-0.000268294 	
-183.34 	-0.000266913 	
-166.681 	-0.000265177 	
-150.002 	-0.000266625 	
-133.329 	-0.000265354 	
-116.677 	-0.000266787 	
-100.003 	-0.000263996 	
-83.3417 	-0.000263336 	
-66.6709 	-0.000261494 	
-50.0037 	-0.000260188 	
-33.3313 	-0.000257845 	
-16.6689 	-0.000254721 	
-0.00705295 	-0.000249971 	
 16.6746 	-0.000240257 	
 33.3248 	-0.000227505 	
 49.9904 	-0.000213422 	
 66.6834 	-0.000199671 	
 83.3306 	-0.000183714 	
 99.9967 	-0.000158 	
 116.667 	-0.000126762 	
 133.328 	-0.000104303 	
 149.986 	-0.0000908878 	
 166.677 	-0.0000847596 	
 183.321 	-0.0000786754 	
 199.998 	-0.0000770082 	
 216.653 	-0.0000730097 	
 233.336 	-0.0000724706 	
 249.438 	-0.0000702707 	
 266.665 	-0.0000687389 	
 283.336 	-0.0000664097 	
 300.002 	-0.0000670276 	
 316.663 	-0.0000650994 	
 333.332 	-0.0000637987 	
 350.004 	-0.0000638013 	
 366.671 	-0.0000650655 	
 383.325 	-0.0000645798 	
 400.012 	-0.0000633539 	
 416.671 	-0.0000646251 	
 433.324 	-0.0000635307 	
 449.993 	-0.0000632248 	
 466.669 	-0.0000633624 	
 483.333 	-0.0000655174 	
 500.001 	-0.0000640813 	

	
	
