Start Time:  07/12/2021 9:58:44 AM        Time Completed:  07/12/2021 10:19:50 AM   Elapsed Time:  00:21:05
Sample ID:     JH257-Co_IP_500G_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH257-Co_IP_500G_5mm#3.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH257-Co_IP_500G_5mm#3.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210712_JH257-Co_IP_500G_5mm#3.dat

***DATA***

Field(G)	 Moment(emu)	
 500.007 	-0.0000818514 	
 483.34 	-0.0000814538 	
 466.659 	-0.0000801818 	
 449.998 	-0.0000798797 	
 433.328 	-0.0000810112 	
 416.65 	-0.0000795281 	
 399.99 	-0.0000773907 	
 383.33 	-0.0000771289 	
 366.661 	-0.0000774098 	
 350.001 	-0.0000776288 	
 333.317 	-0.0000789454 	
 316.661 	-0.0000758779 	
 300.002 	-0.0000775658 	
 283.326 	-0.0000766529 	
 266.642 	-0.0000751918 	
 249.99 	-0.0000753042 	
 233.33 	-0.0000750206 	
 216.659 	-0.0000757545 	
 200 	-0.0000759777 	
 183.335 	-0.0000767393 	
 166.655 	-0.000075731 	
 149.991 	-0.0000761705 	
 133.326 	-0.0000770902 	
 116.652 	-0.0000776941 	
 99.9895 	-0.0000774129 	
 83.3137 	-0.0000758846 	
 66.6774 	-0.0000788729 	
 49.9983 	-0.0000782219 	
 33.3304 	-0.0000787346 	
 16.652 	-0.0000764326 	
-0.0110564 	-0.0000801262 	
-16.6649 	-0.00008131 	
-33.3363 	-0.0000829783 	
-50.0062 	-0.0000827771 	
-66.6709 	-0.0000853166 	
-83.3297 	-0.000089198 	
-100.002 	-0.0000914032 	
-116.678 	-0.000103835 	
-133.336 	-0.000135784 	
-150.001 	-0.000182087 	
-166.679 	-0.000201181 	
-183.328 	-0.000209992 	
-200.009 	-0.000217133 	
-216.676 	-0.000218608 	
-233.34 	-0.000221579 	
-250.002 	-0.000222109 	
-266.669 	-0.000223188 	
-283.337 	-0.000224605 	
-300 	-0.000223455 	
-316.676 	-0.000226194 	
-333.341 	-0.000225658 	
-350.001 	-0.000222347 	
-366.666 	-0.000224225 	
-383.335 	-0.00022636 	
-400.003 	-0.000225791 	
-416.674 	-0.000222877 	
-433.336 	-0.000223848 	
-450.011 	-0.000222057 	
-466.681 	-0.000224083 	
-483.333 	-0.000221937 	
-500.015 	-0.00022089 	
-483.342 	-0.000222904 	
-466.669 	-0.000220361 	
-449.999 	-0.000222523 	
-433.345 	-0.000221945 	
-416.671 	-0.000222175 	
-400.014 	-0.000222137 	
-383.907 	-0.000221513 	
-366.67 	-0.000221691 	
-350.013 	-0.000225787 	
-333.337 	-0.000224274 	
-316.677 	-0.000223713 	
-300.002 	-0.000222174 	
-283.342 	-0.000223707 	
-266.671 	-0.000224054 	
-250.006 	-0.000224532 	
-233.328 	-0.000223341 	
-216.674 	-0.000223918 	
-200.007 	-0.000223355 	
-183.334 	-0.00022322 	
-166.672 	-0.000223285 	
-150.008 	-0.000223472 	
-133.336 	-0.00022073 	
-116.667 	-0.000223262 	
-99.9892 	-0.000222481 	
-83.3374 	-0.000220603 	
-66.6764 	-0.000218766 	
-50.0042 	-0.00021845 	
-33.3328 	-0.000218647 	
-16.6762 	-0.000219246 	
 0.00618112 	-0.000214861 	
 16.672 	-0.000216287 	
 33.3259 	-0.000213942 	
 49.9928 	-0.000213474 	
 66.6614 	-0.000210614 	
 83.3422 	-0.000210453 	
 99.9958 	-0.000207953 	
 116.664 	-0.000197255 	
 133.326 	-0.000172616 	
 149.998 	-0.000127104 	
 166.675 	-0.0000973903 	
 183.33 	-0.0000866587 	
 199.988 	-0.0000797149 	
 216.659 	-0.0000764633 	
 233.338 	-0.0000736818 	
 249.994 	-0.0000699289 	
 266.651 	-0.0000710859 	
 283.331 	-0.0000698823 	
 299.997 	-0.0000693562 	
 316.669 	-0.0000687169 	
 333.337 	-0.0000682206 	
 349.997 	-0.0000695449 	
 366.644 	-0.0000693594 	
 383.33 	-0.0000687395 	
 399.993 	-0.0000685442 	
 416.668 	-0.0000678285 	
 433.336 	-0.0000719869 	
 450 	-0.0000687875 	
 466.667 	-0.0000685707 	
 483.333 	-0.0000674978 	
 499.991 	-0.0000681199 	

	
	
