Start Time:  07/14/2021 8:50:00 AM        Time Completed:  07/14/2021 9:11:04 AM    Elapsed Time:  00:21:04
Sample ID:     JH260-Co_IP_500G_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210714_JH260-Co_IP_500G_5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210714_JH260-Co_IP_500G_5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210714_JH260-Co_IP_500G_5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 499.998 	 0.0000913276 	
 483.339 	 0.0000945207 	
 466.675 	 0.000094718 	
 449.988 	 0.0000938712 	
 433.324 	 0.0000947835 	
 416.661 	 0.0000957932 	
 399.994 	 0.0000951326 	
 383.325 	 0.0000963567 	
 366.658 	 0.0000957214 	
 350.001 	 0.0000970688 	
 333.33 	 0.0000961412 	
 316.674 	 0.0000958502 	
 300.006 	 0.000097479 	
 283.324 	 0.0000974345 	
 266.66 	 0.0000973296 	
 249.994 	 0.0000970757 	
 233.324 	 0.0000961665 	
 216.657 	 0.0000961724 	
 199.998 	 0.0000972273 	
 183.342 	 0.0000958514 	
 166.661 	 0.0000943812 	
 149.985 	 0.0000954683 	
 133.327 	 0.0000960614 	
 116.655 	 0.0000948822 	
 99.9997 	 0.0000959182 	
 83.3101 	 0.0000922864 	
 66.67 	 0.0000935425 	
 49.9965 	 0.0000885126 	
 33.3303 	 0.0000883308 	
 16.6591 	 0.0000878821 	
-0.0000541138 	 0.0000854076 	
-16.6651 	 0.0000847122 	
-33.3408 	 0.0000818493 	
-50.0052 	 0.000077687 	
-66.6712 	 0.0000750072 	
-83.3377 	 0.0000658649 	
-100.008 	 0.0000473134 	
-116.808 	 0.000018943 	
-133.336 	-0.0000249683 	
-150.002 	-0.0000485238 	
-166.671 	-0.0000606547 	
-183.345 	-0.0000642162 	
-200.014 	-0.000069054 	
-216.688 	-0.0000708023 	
-233.336 	-0.0000704849 	
-250.004 	-0.0000696823 	
-266.669 	-0.0000701353 	
-283.347 	-0.0000703346 	
-300.002 	-0.0000700101 	
-316.672 	-0.0000722166 	
-333.34 	-0.0000720323 	
-350.006 	-0.0000710711 	
-366.676 	-0.0000721241 	
-383.338 	-0.0000727409 	
-400.009 	-0.0000703397 	
-416.669 	-0.0000704181 	
-433.34 	-0.0000687278 	
-450.008 	-0.0000707413 	
-466.684 	-0.0000688361 	
-483.326 	-0.0000691726 	
-500.012 	-0.0000685773 	
-483.343 	-0.0000694725 	
-466.681 	-0.0000706442 	
-450.005 	-0.0000708938 	
-433.347 	-0.0000707778 	
-416.676 	-0.000069887 	
-400.012 	-0.0000709545 	
-383.342 	-0.0000704117 	
-366.666 	-0.0000712096 	
-350.01 	-0.0000696006 	
-333.333 	-0.0000714603 	
-316.673 	-0.0000719231 	
-300.002 	-0.0000720756 	
-283.34 	-0.0000723204 	
-266.682 	-0.0000722771 	
-250.016 	-0.0000737816 	
-233.333 	-0.0000722469 	
-216.673 	-0.0000721671 	
-200.012 	-0.0000738203 	
-183.339 	-0.0000725834 	
-166.672 	-0.000071713 	
-150.002 	-0.0000725139 	
-133.328 	-0.0000721299 	
-116.673 	-0.0000699703 	
-100.01 	-0.0000708168 	
-83.3314 	-0.0000698134 	
-66.6739 	-0.0000697277 	
-50.0062 	-0.0000678141 	
-33.3476 	-0.0000656249 	
-16.6889 	-0.0000645994 	
-0.000573298 	-0.0000638989 	
 16.661 	-0.0000610816 	
 33.3304 	-0.0000555651 	
 50.0078 	-0.0000562725 	
 66.6789 	-0.0000524169 	
 83.3441 	-0.0000447138 	
 99.9915 	-0.0000300827 	
 116.67 	-0.000000853513 	
 133.329 	 0.000039193 	
 149.987 	 0.000066042 	
 166.664 	 0.0000802598 	
 183.345 	 0.0000877909 	
 200.006 	 0.0000913092 	
 216.659 	 0.0000947515 	
 233.329 	 0.0000943105 	
 249.995 	 0.0000942097 	
 266.682 	 0.0000960508 	
 283.322 	 0.0000953416 	
 299.992 	 0.000095576 	
 316.671 	 0.0000940999 	
 333.33 	 0.0000977756 	
 349.992 	 0.0000961232 	
 366.67 	 0.0000962357 	
 383.332 	 0.0000952417 	
 399.99 	 0.0000946285 	
 416.668 	 0.0000951203 	
 433.321 	 0.0000927823 	
 450.001 	 0.0000935924 	
 466.665 	 0.0000949791 	
 483.326 	 0.0000934166 	
 500.01 	 0.0000928021 	

	
	
