Start Time:  07/14/2021 11:25:29 AM       Time Completed:  07/14/2021 11:46:35 AM   Elapsed Time:  00:21:05
Sample ID:     JH262-Co_IP_500G_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210714_JH262-Co_IP_500G_5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210714_JH262-Co_IP_500G_5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210714_JH262-Co_IP_500G_5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 499.994 	 0.0000332751 	
 483.325 	 0.0000329847 	
 466.658 	 0.000031319 	
 449.991 	 0.0000331439 	
 433.332 	 0.0000326228 	
 416.671 	 0.0000320525 	
 399.994 	 0.0000336007 	
 383.33 	 0.0000321039 	
 366.654 	 0.0000336834 	
 349.992 	 0.0000345597 	
 333.323 	 0.0000343361 	
 316.669 	 0.0000349733 	
 299.998 	 0.0000359012 	
 283.324 	 0.0000365544 	
 266.661 	 0.0000359957 	
 249.99 	 0.0000359904 	
 233.328 	 0.0000361716 	
 216.653 	 0.0000369853 	
 199.992 	 0.000038106 	
 183.329 	 0.0000370614 	
 166.646 	 0.0000365242 	
 149.989 	 0.0000360687 	
 133.325 	 0.0000373695 	
 116.668 	 0.0000362883 	
 100.001 	 0.000035602 	
 83.3012 	 0.0000335994 	
 66.6599 	 0.0000328103 	
 49.9775 	 0.0000318838 	
 33.3193 	 0.0000285584 	
 16.6618 	 0.0000281588 	
-0.00383116 	 0.000022459 	
-16.6834 	 0.0000151181 	
-33.3533 	 0.0000117325 	
-50.0065 	 0.00000540191 	
-66.6729 	-0.00000482863 	
-83.3312 	-0.0000218798 	
-99.9959 	-0.0000449556 	
-116.675 	-0.0000750436 	
-133.339 	-0.0000993466 	
-150.014 	-0.000113674 	
-166.673 	-0.000121093 	
-183.344 	-0.000125815 	
-200.011 	-0.000127981 	
-216.668 	-0.000130093 	
-233.33 	-0.000131642 	
-250.013 	-0.00012995 	
-266.66 	-0.000130843 	
-283.333 	-0.000130439 	
-299.999 	-0.000129073 	
-316.671 	-0.000128479 	
-333.335 	-0.000129975 	
-350.011 	-0.000129546 	
-366.662 	-0.00012828 	
-383.338 	-0.000129705 	
-400.013 	-0.000128755 	
-416.677 	-0.000129209 	
-433.347 	-0.000129521 	
-450.001 	-0.000127495 	
-466.663 	-0.000127177 	
-483.34 	-0.000126695 	
-500.002 	-0.000127854 	
-483.339 	-0.000128743 	
-466.677 	-0.00012791 	
-450.001 	-0.000128264 	
-433.336 	-0.000129181 	
-416.676 	-0.000126775 	
-399.992 	-0.000129705 	
-383.337 	-0.000127456 	
-366.667 	-0.000128394 	
-349.994 	-0.000128815 	
-333.332 	-0.000127242 	
-316.669 	-0.000128489 	
-300.004 	-0.00012848 	
-283.335 	-0.000127724 	
-266.661 	-0.000129085 	
-250.005 	-0.000127361 	
-233.333 	-0.000127203 	
-216.674 	-0.000128431 	
-200.013 	-0.000127342 	
-183.335 	-0.000127953 	
-166.663 	-0.000128892 	
-150.006 	-0.000127204 	
-133.33 	-0.000126133 	
-116.665 	-0.000126372 	
-100.003 	-0.000124968 	
-83.3362 	-0.000123716 	
-66.6707 	-0.000121704 	
-50.011 	-0.000119598 	
-33.3366 	-0.000119352 	
-16.6686 	-0.000115696 	
-0.00156739 	-0.000110589 	
 16.6601 	-0.00010822 	
 33.3255 	-0.000101357 	
 49.9907 	-0.0000948847 	
 66.661 	-0.0000855141 	
 83.3267 	-0.0000744257 	
 99.9856 	-0.0000493184 	
 116.667 	-0.0000230189 	
 133.33 	 0.00000406177 	
 150.001 	 0.0000218223 	
 166.668 	 0.0000319998 	
 183.324 	 0.0000380557 	
 199.994 	 0.0000411062 	
 216.656 	 0.0000427012 	
 233.331 	 0.0000424171 	
 249.995 	 0.00004516 	
 266.666 	 0.0000438632 	
 283.33 	 0.0000455389 	
 299.993 	 0.0000442845 	
 316.684 	 0.0000448231 	
 333.33 	 0.0000440986 	
 350 	 0.0000444486 	
 366.669 	 0.0000460568 	
 383.323 	 0.0000448541 	
 399.987 	 0.0000443239 	
 416.669 	 0.0000455192 	
 433.337 	 0.0000469796 	
 450.001 	 0.0000455293 	
 466.67 	 0.0000444299 	
 483.329 	 0.0000440611 	
 500.006 	 0.0000436229 	

	
	
