Start Time:  07/14/2021 11:49:22 AM       Time Completed:  07/14/2021 12:10:28 PM   Elapsed Time:  00:21:05
Sample ID:     JH262-Co_IP_500G_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210714_JH262-Co_IP_500G_5mm#3.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210714_JH262-Co_IP_500G_5mm#3.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210714_JH262-Co_IP_500G_5mm#3.dat

***DATA***

Field(G)	 Moment(emu)	
 500.005 	 0.0000447781 	
 483.319 	 0.0000469097 	
 466.663 	 0.000048469 	
 449.994 	 0.0000488041 	
 433.336 	 0.0000486816 	
 416.648 	 0.0000490956 	
 399.999 	 0.0000500565 	
 383.335 	 0.000049034 	
 366.662 	 0.0000487256 	
 349.993 	 0.0000468624 	
 333.326 	 0.0000497111 	
 316.67 	 0.0000494749 	
 299.985 	 0.0000504795 	
 283.332 	 0.0000492428 	
 266.661 	 0.0000487076 	
 249.994 	 0.0000493615 	
 233.324 	 0.0000494162 	
 216.658 	 0.0000502599 	
 199.985 	 0.0000501777 	
 183.313 	 0.0000495348 	
 166.666 	 0.0000494288 	
 149.993 	 0.0000502249 	
 133.328 	 0.0000491018 	
 116.66 	 0.0000491901 	
 99.9988 	 0.0000482175 	
 83.3212 	 0.0000474701 	
 66.6681 	 0.000046159 	
 49.9826 	 0.0000442867 	
 33.3199 	 0.0000425503 	
 16.6675 	 0.0000395192 	
 0.00143129 	 0.0000352305 	
-16.6701 	 0.0000315538 	
-33.3323 	 0.0000242389 	
-50.0097 	 0.0000169623 	
-66.6557 	 0.0000082603 	
-83.3367 	-0.00000737687 	
-99.9966 	-0.0000313819 	
-116.67 	-0.0000609387 	
-133.341 	-0.0000857502 	
-149.994 	-0.000100006 	
-166.668 	-0.000106352 	
-183.336 	-0.000112018 	
-200.005 	-0.00011472 	
-216.683 	-0.000116093 	
-233.338 	-0.000115922 	
-250.003 	-0.000116251 	
-266.66 	-0.000116552 	
-283.342 	-0.000116435 	
-300.009 	-0.000117609 	
-316.673 	-0.00011604 	
-333.344 	-0.000116568 	
-350.001 	-0.000115826 	
-366.663 	-0.000115122 	
-383.332 	-0.000115234 	
-399.996 	-0.000116859 	
-416.688 	-0.000114204 	
-433.343 	-0.000116168 	
-450.004 	-0.000114754 	
-466.674 	-0.000115175 	
-483.338 	-0.000113657 	
-500 	-0.000113146 	
-483.345 	-0.000113169 	
-466.672 	-0.000113617 	
-450.005 	-0.000112235 	
-433.337 	-0.000114704 	
-416.67 	-0.000114821 	
-400.001 	-0.000115352 	
-383.332 	-0.000114 	
-366.663 	-0.000114723 	
-350.014 	-0.000116287 	
-333.348 	-0.000114354 	
-316.67 	-0.000114753 	
-300 	-0.000114764 	
-283.33 	-0.000113905 	
-266.671 	-0.000114908 	
-250.009 	-0.000114981 	
-233.329 	-0.000114723 	
-216.675 	-0.000113776 	
-200.002 	-0.000115683 	
-183.342 	-0.000116404 	
-166.669 	-0.000114865 	
-149.997 	-0.000113415 	
-133.338 	-0.000111323 	
-116.666 	-0.000115025 	
-100.005 	-0.000111127 	
-83.3377 	-0.0001124 	
-66.6759 	-0.00011 	
-50.008 	-0.000107561 	
-33.3423 	-0.000107505 	
-16.6701 	-0.000103966 	
-0.000319856 	-0.000100542 	
 16.6614 	-0.0000942678 	
 33.3379 	-0.0000894041 	
 50.0135 	-0.0000837251 	
 66.6675 	-0.0000750131 	
 83.3565 	-0.0000594286 	
 100 	-0.0000404407 	
 116.664 	-0.0000104684 	
 133.336 	 0.0000160603 	
 150.001 	 0.0000341633 	
 166.653 	 0.0000440023 	
 183.338 	 0.0000493561 	
 199.99 	 0.0000509179 	
 216.655 	 0.0000547346 	
 233.317 	 0.0000565534 	
 249.992 	 0.0000567577 	
 266.67 	 0.0000548709 	
 283.342 	 0.00005742 	
 300.004 	 0.0000571774 	
 316.665 	 0.0000561679 	
 333.328 	 0.0000570843 	
 350.012 	 0.0000562403 	
 366.667 	 0.0000567659 	
 383.315 	 0.0000559355 	
 399.997 	 0.0000562022 	
 416.66 	 0.0000560724 	
 433.333 	 0.0000554448 	
 449.997 	 0.0000578419 	
 466.657 	 0.000056951 	
 483.339 	 0.0000570362 	
 500.005 	 0.0000569654 	

	
	
