Start Time:  08/11/2021 3:17:40 PM        Time Completed:  08/11/2021 3:38:50 PM    Elapsed Time:  00:21:09
Sample ID:     JH314_HK002_IP_500G_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210811_JH314_HK002_IP_500G_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210811_JH314_HK002_IP_500G_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210811_JH314_HK002_IP_500G_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 500.007 	 0.000205927 	
 483.323 	 0.000203439 	
 466.665 	 0.000204574 	
 449.994 	 0.000205154 	
 433.326 	 0.000205814 	
 416.658 	 0.000206398 	
 399.984 	 0.000207225 	
 383.337 	 0.000207477 	
 366.667 	 0.000208018 	
 350.011 	 0.00020652 	
 333.331 	 0.000207367 	
 316.68 	 0.000207926 	
 300.012 	 0.00020997 	
 283.337 	 0.000210095 	
 266.675 	 0.000208665 	
 249.993 	 0.000209454 	
 233.87 	 0.000210354 	
 216.666 	 0.000209519 	
 199.997 	 0.000209954 	
 183.313 	 0.000209608 	
 166.66 	 0.000211677 	
 149.985 	 0.00020968 	
 133.324 	 0.000211014 	
 116.662 	 0.000210524 	
 99.9889 	 0.000212964 	
 83.3097 	 0.000210258 	
 66.6522 	 0.000210056 	
 49.9941 	 0.000209752 	
 33.3141 	 0.000208943 	
 16.6705 	 0.000207128 	
 0.00291587 	 0.000199278 	
-16.6787 	 0.000160928 	
-33.3503 	 0.000161454 	
-50.0102 	 0.000159716 	
-66.6709 	 0.000158384 	
-83.3369 	 0.000159147 	
-100.002 	 0.00015858 	
-116.673 	 0.000159778 	
-133.331 	 0.00015931 	
-150 	 0.000159091 	
-166.672 	 0.000157897 	
-183.335 	 0.000158983 	
-200.014 	 0.000159355 	
-216.675 	 0.000159614 	
-233.341 	 0.000159852 	
-250.013 	 0.000159215 	
-266.655 	 0.000160953 	
-283.343 	 0.000161306 	
-300.014 	 0.000160174 	
-316.675 	 0.000160916 	
-333.333 	 0.000162567 	
-350.01 	 0.000162333 	
-366.679 	 0.000162672 	
-383.33 	 0.000163131 	
-400.006 	 0.000162651 	
-416.673 	 0.000161587 	
-433.346 	 0.000164399 	
-449.996 	 0.00016382 	
-466.67 	 0.000163325 	
-483.336 	 0.00016541 	
-500.004 	 0.000166322 	
-483.339 	 0.000165296 	
-466.672 	 0.00016571 	
-450.012 	 0.000167616 	
-433.339 	 0.000164975 	
-416.677 	 0.000162332 	
-400.007 	 0.000163967 	
-383.337 	 0.000161779 	
-366.669 	 0.000162457 	
-349.996 	 0.00016421 	
-333.342 	 0.000161581 	
-316.673 	 0.000161344 	
-300.012 	 0.000162879 	
-283.328 	 0.000160002 	
-266.673 	 0.000160868 	
-250.013 	 0.00015997 	
-233.333 	 0.000159971 	
-216.677 	 0.000160086 	
-200.01 	 0.000160001 	
-183.338 	 0.000159056 	
-166.669 	 0.000159504 	
-150.006 	 0.000160491 	
-133.34 	 0.000157704 	
-116.673 	 0.000158476 	
-99.9991 	 0.000158028 	
-83.3349 	 0.000158605 	
-66.6757 	 0.000158333 	
-50.0065 	 0.000159155 	
-33.3373 	 0.000158733 	
-16.6726 	 0.000161027 	
-0.000812804 	 0.000165836 	
 16.664 	 0.000206671 	
 33.3356 	 0.000209715 	
 49.9884 	 0.000209728 	
 66.6729 	 0.000208989 	
 83.337 	 0.000210461 	
 100.003 	 0.000211383 	
 116.661 	 0.000211035 	
 133.329 	 0.000211817 	
 150 	 0.000210768 	
 166.666 	 0.000211044 	
 183.323 	 0.000210095 	
 199.996 	 0.000208938 	
 216.668 	 0.0002094 	
 233.331 	 0.000209027 	
 250.007 	 0.000210929 	
 266.671 	 0.000210846 	
 283.333 	 0.000209456 	
 299.999 	 0.000207676 	
 316.665 	 0.000210458 	
 333.322 	 0.000208667 	
 350.002 	 0.000208349 	
 366.665 	 0.000205673 	
 383.329 	 0.000205494 	
 399.992 	 0.000207278 	
 416.661 	 0.000205359 	
 433.324 	 0.000206181 	
 449.996 	 0.00020538 	
 466.657 	 0.000205281 	
 483.34 	 0.000204918 	
 500.005 	 0.000204307 	

	
	
