Start Time:  08/11/2021 3:48:17 PM        Time Completed:  08/11/2021 4:13:22 PM    Elapsed Time:  00:25:04
Sample ID:     JH314_HK002_IP_500G_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210811_JH314_HK002_IP_500G_7p5mm#3.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210811_JH314_HK002_IP_500G_7p5mm#3.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210811_JH314_HK002_IP_500G_7p5mm#3.dat

***DATA***

Field(G)	 Moment(emu)	
 500.006 	 0.000203733 	
 483.319 	 0.000205167 	
 466.661 	 0.000205136 	
 450.005 	 0.000205334 	
 433.322 	 0.00020646 	
 416.661 	 0.000206053 	
 399.995 	 0.000207002 	
 383.327 	 0.000207589 	
 366.664 	 0.000206613 	
 349.992 	 0.000208768 	
 333.329 	 0.000207463 	
 316.658 	 0.000208592 	
 299.993 	 0.000207547 	
 283.327 	 0.000210044 	
 266.671 	 0.000208609 	
 249.998 	 0.00021052 	
 233.335 	 0.00021035 	
 216.664 	 0.00021052 	
 199.997 	 0.000210255 	
 183.33 	 0.00020987 	
 166.658 	 0.000211393 	
 149.998 	 0.000209696 	
 133.328 	 0.000210804 	
 116.668 	 0.000211431 	
 99.996 	 0.000210231 	
 83.3082 	 0.000211292 	
 66.6685 	 0.000211619 	
 50.0084 	 0.000211115 	
 44.1312 	 0.000211138 	
 38.2417 	 0.000209072 	
 32.3575 	 0.000209907 	
 26.4672 	 0.00020748 	
 20.5955 	 0.000207412 	
 14.7008 	 0.000209431 	
 8.80757 	 0.000204504 	
 2.9263 	 0.000201704 	
-2.94493 	 0.000175248 	
-8.81927 	 0.000161331 	
-14.6974 	 0.000162766 	
-20.59 	 0.000160725 	
-26.4778 	 0.000161351 	
-32.3439 	 0.000160466 	
-38.2425 	 0.000159819 	
-44.1121 	 0.00016184 	
-50.007 	 0.000158537 	
-66.6647 	 0.000157502 	
-83.3374 	 0.000158063 	
-99.9974 	 0.000158083 	
-116.673 	 0.000159052 	
-133.338 	 0.000159291 	
-149.998 	 0.000159966 	
-166.662 	 0.000159942 	
-183.323 	 0.000158311 	
-199.992 	 0.000160476 	
-216.662 	 0.000160466 	
-233.33 	 0.000160027 	
-250.015 	 0.000159963 	
-266.681 	 0.000161779 	
-283.352 	 0.000159791 	
-300.003 	 0.000161563 	
-316.676 	 0.000161237 	
-333.343 	 0.000161533 	
-350.008 	 0.000161167 	
-366.681 	 0.000164333 	
-383.336 	 0.00016311 	
-399.993 	 0.000163085 	
-416.665 	 0.000164847 	
-433.335 	 0.00016354 	
-450.006 	 0.000165424 	
-466.664 	 0.000165427 	
-483.347 	 0.000164357 	
-500.012 	 0.000166573 	
-483.336 	 0.000164753 	
-466.668 	 0.000164584 	
-449.995 	 0.000164561 	
-433.334 	 0.000164428 	
-416.675 	 0.000162628 	
-399.994 	 0.000164795 	
-383.34 	 0.000162915 	
-366.669 	 0.000165271 	
-349.996 	 0.000163358 	
-333.335 	 0.000160832 	
-316.672 	 0.000160008 	
-300.003 	 0.00016209 	
-283.331 	 0.000159119 	
-266.673 	 0.000160262 	
-250.007 	 0.000162535 	
-233.341 	 0.00016 	
-216.665 	 0.000158186 	
-200.006 	 0.000160914 	
-183.35 	 0.000161097 	
-166.676 	 0.000159437 	
-150.004 	 0.000157822 	
-133.341 	 0.00015773 	
-116.672 	 0.000158889 	
-100.011 	 0.000158806 	
-83.3469 	 0.000159108 	
-66.6662 	 0.000158302 	
-50.0105 	 0.000159111 	
-44.1251 	 0.000161654 	
-38.2435 	 0.000160719 	
-32.3654 	 0.000161306 	
-26.4748 	 0.000158822 	
-20.5957 	 0.000159673 	
-14.7086 	 0.000160782 	
-8.83277 	 0.000161522 	
-2.95443 	 0.000163559 	
 2.94026 	 0.000166966 	
 8.82951 	 0.000200679 	
 14.6908 	 0.000206348 	
 20.5928 	 0.0002089 	
 26.4789 	 0.000207922 	
 32.3596 	 0.000209307 	
 38.2279 	 0.000209652 	
 44.1232 	 0.000209665 	
 50.0078 	 0.000209816 	
 66.6789 	 0.000210178 	
 83.3396 	 0.000210915 	
 99.9832 	 0.00020995 	
 116.672 	 0.000211391 	
 133.338 	 0.000211669 	
 150.004 	 0.0002096 	
 166.67 	 0.00021066 	
 183.331 	 0.000211494 	
 200.001 	 0.000209075 	
 216.663 	 0.000211295 	
 233.328 	 0.000209826 	
 249.991 	 0.000209485 	
 266.665 	 0.000208262 	
 283.336 	 0.000209219 	
 300 	 0.000207857 	
 316.682 	 0.000208074 	
 333.31 	 0.000207773 	
 349.999 	 0.000209067 	
 366.662 	 0.000207052 	
 383.327 	 0.000208584 	
 399.993 	 0.000204681 	
 416.653 	 0.000209405 	
 433.327 	 0.00020559 	
 449.998 	 0.000205279 	
 466.663 	 0.000205295 	
 483.317 	 0.000205259 	
 499.989 	 0.000202955 	

	
	
