Start Time:  08/12/2021 9:14:00 AM        Time Completed:  08/12/2021 9:35:11 AM    Elapsed Time:  00:21:11
Sample ID:     JH315_HK003_OOP_500G_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210812_JH315_HK003_OOP_500G_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210812_JH315_HK003_OOP_500G_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210812_JH315_HK003_OOP_500G_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 499.995 	 0.000181397 	
 483.339 	 0.000180579 	
 466.66 	 0.000181699 	
 449.993 	 0.000181145 	
 433.325 	 0.000184101 	
 416.663 	 0.000182139 	
 399.994 	 0.000182381 	
 383.316 	 0.000183741 	
 366.664 	 0.000183482 	
 349.98 	 0.000185442 	
 333.328 	 0.000183204 	
 316.667 	 0.00018542 	
 299.989 	 0.000184398 	
 283.329 	 0.000185509 	
 266.654 	 0.000186069 	
 250.005 	 0.000187063 	
 233.327 	 0.000186448 	
 216.669 	 0.000186245 	
 199.992 	 0.000187369 	
 183.333 	 0.000186923 	
 166.66 	 0.000187882 	
 149.989 	 0.000187885 	
 133.316 	 0.000188473 	
 116.671 	 0.000187348 	
 100.005 	 0.000189821 	
 83.325 	 0.000189855 	
 66.6596 	 0.000188276 	
 49.9936 	 0.000191042 	
 33.3142 	 0.000191808 	
 16.6605 	 0.0001907 	
-0.00481706 	 0.00019286 	
-16.6892 	 0.000191433 	
-33.3393 	 0.000194361 	
-50.0007 	 0.000192763 	
-66.6742 	 0.000194034 	
-83.3469 	 0.000192592 	
-100.001 	 0.000194078 	
-116.683 	 0.000194255 	
-133.323 	 0.000195488 	
-150.006 	 0.000195152 	
-166.669 	 0.000195985 	
-183.342 	 0.00019606 	
-200.01 	 0.000195892 	
-216.677 	 0.000197964 	
-233.341 	 0.000196662 	
-250.008 	 0.00019763 	
-266.676 	 0.000198225 	
-283.338 	 0.000197617 	
-300.021 	 0.000199395 	
-316.68 	 0.000198907 	
-333.336 	 0.000199388 	
-350.002 	 0.000200457 	
-366.675 	 0.00019945 	
-383.343 	 0.000200863 	
-400.013 	 0.000201143 	
-416.667 	 0.000200942 	
-433.348 	 0.00020231 	
-450.004 	 0.000203007 	
-466.662 	 0.000202567 	
-483.338 	 0.000202848 	
-500.004 	 0.000201935 	
-483.337 	 0.000203701 	
-466.66 	 0.000201529 	
-450.011 	 0.000201734 	
-433.337 	 0.000200982 	
-416.676 	 0.000201999 	
-400.016 	 0.000199015 	
-383.338 	 0.000199369 	
-366.663 	 0.000199945 	
-350.001 	 0.000197137 	
-333.343 	 0.000198803 	
-316.673 	 0.000198466 	
-300.001 	 0.000197226 	
-283.329 	 0.000198585 	
-266.674 	 0.000197286 	
-249.995 	 0.000196196 	
-233.34 	 0.000196161 	
-216.672 	 0.000195831 	
-200.007 	 0.000193225 	
-183.339 	 0.000193694 	
-166.659 	 0.000193693 	
-150.012 	 0.000191741 	
-133.343 	 0.000191879 	
-116.678 	 0.000191632 	
-100.007 	 0.000192278 	
-83.3392 	 0.00019235 	
-66.6704 	 0.000190633 	
-50.0065 	 0.000190427 	
-33.3338 	 0.000190823 	
-16.6656 	 0.000190164 	
-0.000838219 	 0.000187634 	
 16.6788 	 0.000188086 	
 33.3345 	 0.00018747 	
 49.9876 	 0.000187166 	
 66.6625 	 0.000187394 	
 83.3487 	 0.000186908 	
 99.984 	 0.000186845 	
 116.663 	 0.000186661 	
 133.332 	 0.000183826 	
 150.004 	 0.000183394 	
 166.662 	 0.000184756 	
 183.326 	 0.000184123 	
 200.001 	 0.000182478 	
 216.663 	 0.000183396 	
 233.329 	 0.0001824 	
 249.998 	 0.000180335 	
 266.655 	 0.000182392 	
 283.326 	 0.000180233 	
 300.004 	 0.000180408 	
 316.652 	 0.000181204 	
 333.339 	 0.000179149 	
 349.999 	 0.000179572 	
 366.67 	 0.000179473 	
 383.315 	 0.000179102 	
 400.005 	 0.000177149 	
 416.664 	 0.000177676 	
 433.33 	 0.000177023 	
 450.002 	 0.000175977 	
 466.67 	 0.000177248 	
 483.332 	 0.000176534 	
 500.007 	 0.000175498 	

	
	
