Start Time:  08/12/2021 9:38:06 AM        Time Completed:  08/12/2021 9:59:18 AM    Elapsed Time:  00:21:11
Sample ID:     JH315_HK003_IP_500G_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\JH315_HK003_IP_500G_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\JH315_HK003_IP_500G_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\JH315_HK003_IP_500G_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 500.004 	 0.000175276 	
 483.33 	 0.000174617 	
 466.661 	 0.00017635 	
 449.998 	 0.000175888 	
 433.334 	 0.000175689 	
 416.67 	 0.000175985 	
 399.986 	 0.000177705 	
 383.331 	 0.000177743 	
 366.657 	 0.000177927 	
 349.993 	 0.000179235 	
 333.329 	 0.000177488 	
 316.665 	 0.000178448 	
 299.993 	 0.000181229 	
 283.33 	 0.000179644 	
 266.666 	 0.000180861 	
 250 	 0.000182124 	
 233.329 	 0.000180449 	
 216.654 	 0.000181221 	
 199.999 	 0.000182379 	
 183.337 	 0.000182078 	
 166.673 	 0.000184245 	
 149.989 	 0.000183285 	
 133.328 	 0.000184125 	
 116.658 	 0.000184281 	
 100 	 0.000184456 	
 83.3186 	 0.000185878 	
 66.6703 	 0.000186151 	
 50.0054 	 0.000185472 	
 33.3354 	 0.000186021 	
 16.6641 	 0.000187747 	
-0.0143085 	 0.000188 	
-16.6809 	 0.000186954 	
-33.3371 	 0.00018856 	
-50.0165 	 0.000188876 	
-66.6637 	 0.000187978 	
-83.3387 	 0.000187722 	
-100.007 	 0.000192419 	
-116.672 	 0.000190253 	
-133.337 	 0.000191862 	
-150.006 	 0.000192336 	
-166.666 	 0.000192903 	
-183.336 	 0.000192972 	
-200.007 	 0.000192739 	
-216.678 	 0.00019309 	
-233.345 	 0.000193568 	
-249.989 	 0.000195306 	
-266.667 	 0.000194695 	
-283.334 	 0.000194635 	
-300.006 	 0.000195337 	
-316.666 	 0.000197182 	
-333.331 	 0.000197227 	
-350.006 	 0.000195956 	
-366.67 	 0.000197437 	
-383.343 	 0.000197116 	
-400.018 	 0.000198163 	
-416.67 	 0.000199093 	
-433.334 	 0.000199859 	
-449.986 	 0.000200923 	
-466.678 	 0.00020007 	
-483.328 	 0.00019981 	
-500.006 	 0.000201625 	
-483.331 	 0.000199445 	
-466.666 	 0.000200047 	
-450.012 	 0.000198944 	
-433.344 	 0.000197144 	
-416.67 	 0.000197817 	
-399.999 	 0.000197708 	
-383.349 	 0.00019769 	
-366.676 	 0.00019754 	
-350.006 	 0.000195945 	
-333.333 	 0.000195711 	
-316.664 	 0.000195571 	
-300 	 0.000193957 	
-283.332 	 0.000193577 	
-266.679 	 0.000192098 	
-250.008 	 0.000192964 	
-233.326 	 0.000192985 	
-216.669 	 0.000193585 	
-200.005 	 0.00019088 	
-183.335 	 0.000192809 	
-166.663 	 0.00019185 	
-150.005 	 0.000192786 	
-133.333 	 0.000190117 	
-116.66 	 0.000190549 	
-100.017 	 0.000189839 	
-83.3451 	 0.000190366 	
-66.6697 	 0.000189963 	
-49.9995 	 0.000189126 	
-33.3248 	 0.000187744 	
-16.6671 	 0.000188246 	
-0.00255657 	 0.000185922 	
 16.6634 	 0.000187212 	
 33.3245 	 0.000187513 	
 49.9928 	 0.000186022 	
 66.6657 	 0.000185663 	
 83.3188 	 0.000185399 	
 99.9958 	 0.000184183 	
 116.663 	 0.000182278 	
 133.33 	 0.000182919 	
 149.99 	 0.000183182 	
 166.665 	 0.000183559 	
 183.329 	 0.000180412 	
 200.005 	 0.000183677 	
 216.663 	 0.000182158 	
 233.32 	 0.000180259 	
 250.005 	 0.000179008 	
 266.656 	 0.00017833 	
 283.334 	 0.000181887 	
 299.985 	 0.000178753 	
 316.652 	 0.000178419 	
 333.336 	 0.000177531 	
 349.992 	 0.000176899 	
 366.658 	 0.000177704 	
 383.331 	 0.00017526 	
 399.991 	 0.000178114 	
 416.664 	 0.000176926 	
 433.33 	 0.000174154 	
 450.001 	 0.000173953 	
 466.66 	 0.000172057 	
 483.339 	 0.000173745 	
 500.012 	 0.000173307 	

	
	
