Start Time:  08/12/2021 12:12:00 PM       Time Completed:  08/12/2021 12:33:13 PM   Elapsed Time:  00:21:13
Sample ID:     JH315_HK003_OOP_500G_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210812_JH315_HK003_OOP_500G_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210812_JH315_HK003_OOP_500G_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210812_JH315_HK003_OOP_500G_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 499.995 	 0.000202888 	
 483.335 	 0.000205151 	
 466.651 	 0.00020612 	
 449.991 	 0.00020434 	
 433.333 	 0.000205372 	
 416.651 	 0.000205879 	
 399.996 	 0.000206712 	
 383.323 	 0.00020524 	
 366.65 	 0.000208613 	
 349.986 	 0.000208998 	
 333.327 	 0.000210846 	
 316.668 	 0.000211406 	
 300.002 	 0.000210927 	
 283.316 	 0.000212294 	
 266.662 	 0.000212104 	
 249.997 	 0.000213644 	
 233.336 	 0.000214285 	
 216.663 	 0.000213491 	
 199.994 	 0.000214722 	
 183.315 	 0.0002144 	
 167.223 	 0.000215479 	
 149.999 	 0.000217639 	
 133.333 	 0.000218254 	
 116.665 	 0.000218464 	
 100.002 	 0.000220693 	
 83.3472 	 0.00021943 	
 66.6628 	 0.000218963 	
 50.0038 	 0.000218994 	
 33.3289 	 0.000220578 	
 16.6549 	 0.000213666 	
-0.00083494 	 0.000200557 	
-16.6656 	 0.000189732 	
-33.3448 	 0.000186473 	
-50.0162 	 0.000185453 	
-66.6759 	 0.000183476 	
-83.3392 	 0.000184822 	
-100.004 	 0.00018633 	
-116.683 	 0.000185546 	
-133.332 	 0.000185623 	
-150.009 	 0.000186602 	
-166.673 	 0.00018879 	
-183.348 	 0.000188712 	
-200.004 	 0.000188646 	
-216.677 	 0.000189654 	
-233.344 	 0.000192743 	
-250.003 	 0.000190836 	
-266.668 	 0.000191334 	
-283.338 	 0.000191986 	
-300.022 	 0.000193949 	
-316.681 	 0.00019458 	
-333.342 	 0.000193344 	
-350.007 	 0.000193624 	
-366.677 	 0.000195716 	
-383.335 	 0.000194685 	
-400.005 	 0.000196713 	
-416.68 	 0.000195389 	
-433.334 	 0.000198257 	
-449.995 	 0.000199231 	
-466.675 	 0.000198464 	
-483.336 	 0.000198219 	
-500.015 	 0.000201147 	
-483.343 	 0.00019868 	
-466.672 	 0.000199475 	
-450.018 	 0.000198333 	
-433.34 	 0.000198414 	
-416.665 	 0.000196548 	
-400 	 0.000197134 	
-383.347 	 0.000198222 	
-366.682 	 0.000196969 	
-350.001 	 0.000197922 	
-333.338 	 0.00019664 	
-316.672 	 0.000195767 	
-300.007 	 0.000196423 	
-283.34 	 0.000195917 	
-266.671 	 0.000196103 	
-250.009 	 0.000193774 	
-233.343 	 0.000192815 	
-216.668 	 0.000193791 	
-200.009 	 0.000192335 	
-183.334 	 0.000193825 	
-166.67 	 0.000192054 	
-149.996 	 0.000193146 	
-133.329 	 0.000191775 	
-116.672 	 0.000191758 	
-100.001 	 0.000191937 	
-83.3417 	 0.000190993 	
-66.6607 	 0.000190756 	
-50.0022 	 0.000191668 	
-33.333 	 0.000191901 	
-16.6666 	 0.000193727 	
-0.00831771 	 0.000206877 	
 16.6645 	 0.000221948 	
 33.3426 	 0.000227314 	
 50.0065 	 0.000228774 	
 66.6807 	 0.000228842 	
 83.3091 	 0.000227669 	
 100.008 	 0.000228749 	
 116.663 	 0.000228508 	
 133.328 	 0.00022915 	
 150.004 	 0.000226945 	
 166.646 	 0.000226596 	
 183.326 	 0.000227841 	
 200.002 	 0.000225294 	
 216.662 	 0.000226794 	
 233.331 	 0.000224643 	
 249.996 	 0.000223508 	
 266.661 	 0.000224772 	
 283.326 	 0.000224034 	
 299.991 	 0.000223107 	
 316.667 	 0.000221848 	
 333.312 	 0.000225297 	
 350.001 	 0.000223003 	
 366.65 	 0.000221572 	
 383.331 	 0.000222508 	
 400.011 	 0.000219858 	
 416.678 	 0.000220211 	
 433.329 	 0.000219163 	
 449.995 	 0.000220938 	
 466.677 	 0.000218859 	
 483.337 	 0.000218502 	
 499.992 	 0.000219724 	

	
	
