Start Time:  08/12/2021 12:40:03 PM       Time Completed:  08/12/2021 1:01:16 PM    Elapsed Time:  00:21:12
Sample ID:     JH315_HK003_OOP_500G_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210812_JH315_HK003_OOP_500G_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210812_JH315_HK003_OOP_500G_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210812_JH315_HK003_OOP_500G_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 499.99 	 0.000220037 	
 483.328 	 0.000222183 	
 466.672 	 0.000220056 	
 449.985 	 0.000221151 	
 433.331 	 0.000222542 	
 416.669 	 0.0002214 	
 399.999 	 0.000222916 	
 383.338 	 0.000222982 	
 366.669 	 0.000224139 	
 349.998 	 0.00022418 	
 333.322 	 0.000224654 	
 316.663 	 0.000224308 	
 299.998 	 0.000224736 	
 283.331 	 0.000225649 	
 266.663 	 0.000226919 	
 249.992 	 0.000227338 	
 233.34 	 0.000228665 	
 216.667 	 0.000227915 	
 199.998 	 0.000228679 	
 183.328 	 0.000231385 	
 166.666 	 0.000230045 	
 149.993 	 0.000228197 	
 133.32 	 0.000230145 	
 116.654 	 0.000229305 	
 100.001 	 0.000230424 	
 83.3153 	 0.000230404 	
 66.6572 	 0.000231714 	
 49.9911 	 0.00023101 	
 33.3193 	 0.000228692 	
 16.6704 	 0.000223414 	
 0.000183751 	 0.000211566 	
-16.6802 	 0.000198099 	
-33.3371 	 0.000194525 	
-50.0027 	 0.00019483 	
-66.6657 	 0.000194172 	
-83.3339 	 0.000193617 	
-100.009 	 0.000195305 	
-116.687 	 0.000196215 	
-133.334 	 0.000196244 	
-150.018 	 0.000195312 	
-166.664 	 0.000195937 	
-183.337 	 0.000196341 	
-200.005 	 0.00019798 	
-216.674 	 0.000197444 	
-233.338 	 0.000197823 	
-250.007 	 0.000198682 	
-266.67 	 0.000200737 	
-283.332 	 0.000200045 	
-300.008 	 0.00020167 	
-316.671 	 0.000201403 	
-333.337 	 0.000202466 	
-350.011 	 0.000201309 	
-366.676 	 0.000200962 	
-383.332 	 0.000202508 	
-399.991 	 0.000202906 	
-416.679 	 0.000206078 	
-433.348 	 0.000204379 	
-450.009 	 0.000206121 	
-466.682 	 0.000205028 	
-483.326 	 0.00020363 	
-500.004 	 0.00020495 	
-483.328 	 0.000205797 	
-466.667 	 0.000206603 	
-449.989 	 0.000205343 	
-433.336 	 0.000206094 	
-416.658 	 0.000204396 	
-400.005 	 0.000203915 	
-383.324 	 0.000204446 	
-366.668 	 0.00020135 	
-350.01 	 0.000203871 	
-333.336 	 0.000199939 	
-316.661 	 0.000202345 	
-299.995 	 0.000201833 	
-283.33 	 0.000200217 	
-266.655 	 0.000196844 	
-250.001 	 0.000198992 	
-233.33 	 0.000199232 	
-216.659 	 0.000198216 	
-200.003 	 0.000196661 	
-183.325 	 0.000196318 	
-166.663 	 0.00019707 	
-149.995 	 0.0001973 	
-133.339 	 0.000196365 	
-116.669 	 0.000195446 	
-99.9996 	 0.000194315 	
-83.3359 	 0.000195814 	
-66.6724 	 0.000196865 	
-50.0127 	 0.000194124 	
-33.3308 	 0.000196413 	
-16.6659 	 0.000199975 	
-0.00134019 	 0.000211025 	
 16.6609 	 0.000225918 	
 33.3284 	 0.000230185 	
 50.004 	 0.000232157 	
 66.6648 	 0.000229141 	
 83.3363 	 0.000229866 	
 99.995 	 0.000231525 	
 116.661 	 0.000228969 	
 133.326 	 0.000231199 	
 149.983 	 0.000230831 	
 166.673 	 0.000227912 	
 183.32 	 0.000228022 	
 200.002 	 0.000227232 	
 216.665 	 0.000226808 	
 233.342 	 0.000229502 	
 249.995 	 0.00022768 	
 266.668 	 0.000226748 	
 283.338 	 0.000228699 	
 300.006 	 0.000228828 	
 316.665 	 0.000225672 	
 333.332 	 0.000226277 	
 349.991 	 0.00022267 	
 366.668 	 0.000221966 	
 383.331 	 0.000226033 	
 399.99 	 0.00022375 	
 416.658 	 0.000224529 	
 433.335 	 0.000223051 	
 449.981 	 0.000222193 	
 466.669 	 0.000221385 	
 483.335 	 0.000221244 	
 499.998 	 0.000221662 	

	
	
