Start Time:  08/12/2021 10:35:00 AM       Time Completed:  08/12/2021 10:56:13 AM   Elapsed Time:  00:21:13
Sample ID:     JH316_HK004_IP_500G_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210812_JH316_HK004_IP_500G_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210812_JH316_HK004_IP_500G_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210812_JH316_HK004_IP_500G_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 500.003 	 0.000176482 	
 483.321 	 0.000175472 	
 466.65 	 0.000176782 	
 449.998 	 0.000178133 	
 433.332 	 0.00017855 	
 416.663 	 0.000176341 	
 399.995 	 0.000176964 	
 383.332 	 0.000179335 	
 366.657 	 0.000179819 	
 349.996 	 0.000178289 	
 333.34 	 0.000179143 	
 316.652 	 0.000180083 	
 300.003 	 0.000179677 	
 283.334 	 0.000180638 	
 266.667 	 0.000182191 	
 249.994 	 0.000181493 	
 233.34 	 0.000181679 	
 216.668 	 0.000182501 	
 200.005 	 0.000182157 	
 183.329 	 0.000183813 	
 166.668 	 0.000181867 	
 149.996 	 0.000185325 	
 133.329 	 0.000184173 	
 116.673 	 0.000185768 	
 99.9973 	 0.000184806 	
 83.3168 	 0.000186895 	
 66.666 	 0.000186197 	
 49.9947 	 0.000186751 	
 33.3187 	 0.000185024 	
 16.663 	 0.000186961 	
-0.00531165 	 0.000188009 	
-16.6837 	 0.000188041 	
-33.3398 	 0.000188218 	
-50 	 0.000188236 	
-66.66 	 0.000190235 	
-83.3369 	 0.000188941 	
-99.9946 	 0.000190184 	
-116.659 	 0.000189664 	
-133.338 	 0.000189622 	
-149.999 	 0.000190095 	
-166.67 	 0.00018906 	
-183.338 	 0.000191698 	
-200 	 0.000191743 	
-216.672 	 0.000191197 	
-233.329 	 0.000192115 	
-250.004 	 0.000191251 	
-266.684 	 0.000193394 	
-283.338 	 0.000192827 	
-300 	 0.000193977 	
-316.677 	 0.000194461 	
-333.333 	 0.000194896 	
-349.998 	 0.000193538 	
-366.665 	 0.000196807 	
-383.325 	 0.000197888 	
-400.007 	 0.000195307 	
-416.67 	 0.000196332 	
-433.336 	 0.000197875 	
-450.005 	 0.00019738 	
-466.672 	 0.000196922 	
-483.335 	 0.000198182 	
-500.001 	 0.000199457 	
-483.328 	 0.000198923 	
-466.668 	 0.000197398 	
-450.007 	 0.000198609 	
-433.335 	 0.000196713 	
-416.684 	 0.000197063 	
-400.007 	 0.000195618 	
-383.342 	 0.000194967 	
-366.674 	 0.000193738 	
-350.008 	 0.000195483 	
-333.346 	 0.000194262 	
-316.669 	 0.000193078 	
-300.003 	 0.000193991 	
-283.341 	 0.00019318 	
-266.675 	 0.000192495 	
-250.008 	 0.000193157 	
-233.336 	 0.00019166 	
-216.675 	 0.00018977 	
-200.006 	 0.000190638 	
-183.341 	 0.000190771 	
-166.66 	 0.000188228 	
-150.003 	 0.000189129 	
-133.329 	 0.000190029 	
-116.659 	 0.00018961 	
-100.001 	 0.000187129 	
-83.3529 	 0.000187173 	
-66.6679 	 0.000188695 	
-50.0055 	 0.000186923 	
-33.3376 	 0.000188175 	
-16.6591 	 0.000185778 	
-0.00381313 	 0.000186001 	
 16.6747 	 0.0001844 	
 33.3351 	 0.000185191 	
 49.9842 	 0.000185199 	
 66.6628 	 0.000184898 	
 83.3171 	 0.000183921 	
 100.008 	 0.000185648 	
 116.667 	 0.000184248 	
 133.335 	 0.000183433 	
 150.007 	 0.000182804 	
 166.658 	 0.000182703 	
 183.341 	 0.000181325 	
 200.005 	 0.000181314 	
 216.656 	 0.000181008 	
 233.328 	 0.000181469 	
 249.997 	 0.000180361 	
 266.663 	 0.000180062 	
 283.331 	 0.000178675 	
 300.008 	 0.000177924 	
 316.653 	 0.000178381 	
 333.329 	 0.000177853 	
 349.998 	 0.000178215 	
 366.664 	 0.000177636 	
 383.327 	 0.000176447 	
 399.99 	 0.000177073 	
 416.67 	 0.000175874 	
 433.334 	 0.000174127 	
 449.999 	 0.000175131 	
 466.665 	 0.000176202 	
 483.331 	 0.000175877 	
 499.996 	 0.000175193 	

	
	
