Start Time:  08/12/2021 2:55:16 PM        Time Completed:  08/12/2021 3:15:19 PM    Elapsed Time:  00:20:02
Sample ID:     JH316_HK004_OOP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210812_JH316_HK004_OOP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210812_JH316_HK004_OOP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210812_JH316_HK004_OOP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.0000563747 	
 13700 	-0.0000321886 	
 12400 	-0.00000895314 	
 11100 	 0.0000174967 	
 9799.98 	 0.0000412578 	
 8499.97 	 0.0000640055 	
 7199.95 	 0.000089524 	
 5899.96 	 0.0001195 	
 4599.96 	 0.000143229 	
 3299.94 	 0.000167752 	
 1999.96 	 0.000194461 	
 1699.97 	 0.000204344 	
 1399.98 	 0.000210805 	
 1099.98 	 0.000216335 	
 799.978 	 0.000223607 	
 499.98 	 0.000231522 	
 399.983 	 0.00023301 	
 299.988 	 0.000234227 	
 199.987 	 0.000237869 	
 99.9897 	 0.000237459 	
-0.00572833 	 0.000223328 	
-100.012 	 0.00018818 	
-200.009 	 0.000191975 	
-300.006 	 0.000192828 	
-400.008 	 0.000194916 	
-500.007 	 0.000196862 	
-800.011 	 0.0002029 	
-1100.02 	 0.000210336 	
-1400.02 	 0.000216666 	
-1700.02 	 0.000222914 	
-2000.02 	 0.000229612 	
-3300.05 	 0.000254832 	
-4600.07 	 0.000282744 	
-5900.07 	 0.000312989 	
-7200.06 	 0.000330793 	
-8500.04 	 0.000358331 	
-9800.03 	 0.000391691 	
-11100 	 0.000411127 	
-12400 	 0.000433512 	
-13700 	 0.000457428 	
-15000 	 0.000480963 	
-13700 	 0.000457297 	
-12400 	 0.000437491 	
-11100 	 0.000414153 	
-9799.99 	 0.000389926 	
-8499.96 	 0.000363511 	
-7199.96 	 0.000343238 	
-5899.96 	 0.000305266 	
-4599.97 	 0.000282689 	
-3299.99 	 0.000262707 	
-1999.96 	 0.000230927 	
-1699.98 	 0.000224424 	
-1399.98 	 0.000216323 	
-1099.98 	 0.000207174 	
-799.975 	 0.000201701 	
-499.979 	 0.000196183 	
-399.985 	 0.000194692 	
-299.987 	 0.000194634 	
-199.99 	 0.000191553 	
-99.9881 	 0.000188847 	
 0.00694606 	 0.000202048 	
 100.01 	 0.000240226 	
 200.009 	 0.000236451 	
 300.007 	 0.000236079 	
 400.011 	 0.000233194 	
 500.01 	 0.000229438 	
 800.016 	 0.000225367 	
 1100.01 	 0.000218649 	
 1400.02 	 0.000210763 	
 1700.02 	 0.000203735 	
 2000.02 	 0.00019827 	
 3300.04 	 0.000169721 	
 4600.05 	 0.000149163 	
 5900.06 	 0.000107771 	
 7200.08 	 0.0000841385 	
 8500.04 	 0.0000664109 	
 9800.03 	 0.000037464 	
 11100 	 0.0000145552 	
 12400 	-0.0000082372 	
 13700 	-0.0000332887 	
 15000 	-0.0000571262 	

	
	
