Start Time:  08/12/2021 2:30:00 PM        Time Completed:  08/12/2021 2:55:02 PM    Elapsed Time:  00:25:02
Sample ID:     JH316_HK004_OOP_500G_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210812_JH316_HK004_OOP_500G_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210812_JH316_HK004_OOP_500G_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210812_JH316_HK004_OOP_500G_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 499.998 	 0.000228239 	
 483.338 	 0.000226867 	
 466.652 	 0.000229009 	
 449.987 	 0.00022916 	
 433.326 	 0.000229082 	
 416.673 	 0.000230235 	
 399.991 	 0.000230354 	
 383.33 	 0.000230382 	
 366.667 	 0.000230564 	
 349.996 	 0.000230736 	
 333.32 	 0.000232528 	
 316.662 	 0.000232019 	
 299.999 	 0.000234068 	
 283.326 	 0.000233216 	
 266.669 	 0.000233421 	
 249.994 	 0.0002331 	
 233.333 	 0.00023578 	
 216.666 	 0.000233421 	
 200.006 	 0.000235694 	
 183.316 	 0.000235847 	
 166.647 	 0.000236345 	
 149.992 	 0.000236258 	
 133.325 	 0.00023516 	
 116.658 	 0.000237472 	
 99.9963 	 0.000235835 	
 83.3384 	 0.000236345 	
 66.6527 	 0.000237006 	
 49.9974 	 0.000237677 	
 44.1132 	 0.000238935 	
 38.2317 	 0.000238427 	
 32.3504 	 0.000236762 	
 26.4788 	 0.000237832 	
 20.5833 	 0.000233302 	
 14.6968 	 0.000233166 	
 8.8123 	 0.000228834 	
 2.94176 	 0.000224421 	
-2.94267 	 0.000218253 	
-8.83177 	 0.000210601 	
-14.7149 	 0.000206741 	
-20.5825 	 0.000200098 	
-26.4911 	 0.000194644 	
-32.3539 	 0.000192262 	
-38.2535 	 0.000191305 	
-44.1341 	 0.000188819 	
-50.0085 	 0.000189932 	
-66.6677 	 0.000189827 	
-83.3414 	 0.000187272 	
-100.018 	 0.000188841 	
-116.676 	 0.000187588 	
-133.344 	 0.000187851 	
-150.005 	 0.000188576 	
-166.68 	 0.000190193 	
-183.339 	 0.000189761 	
-200.005 	 0.00018955 	
-216.675 	 0.000191072 	
-233.344 	 0.000190771 	
-250.004 	 0.000193218 	
-266.666 	 0.000191648 	
-283.341 	 0.000192668 	
-300.009 	 0.000192996 	
-316.674 	 0.000194691 	
-333.337 	 0.000194232 	
-350.015 	 0.000193606 	
-366.665 	 0.000196552 	
-383.354 	 0.000193885 	
-400.011 	 0.000196528 	
-416.681 	 0.000196295 	
-433.341 	 0.000196863 	
-450.008 	 0.000196277 	
-466.674 	 0.000197287 	
-483.346 	 0.000198588 	
-500.008 	 0.000196083 	
-483.342 	 0.000197046 	
-466.678 	 0.000197079 	
-450.01 	 0.000199197 	
-433.343 	 0.000195705 	
-416.67 	 0.000193864 	
-400.006 	 0.000195561 	
-383.34 	 0.000196031 	
-366.659 	 0.000195421 	
-350.003 	 0.000195511 	
-333.339 	 0.000191554 	
-316.666 	 0.000192337 	
-300.013 	 0.000193164 	
-283.328 	 0.00019351 	
-266.673 	 0.000192529 	
-250.013 	 0.000192958 	
-233.32 	 0.000190339 	
-216.678 	 0.000191825 	
-200.024 	 0.000190577 	
-183.339 	 0.000189715 	
-166.677 	 0.000189154 	
-150.007 	 0.000189562 	
-133.333 	 0.000188995 	
-116.676 	 0.000188837 	
-100.004 	 0.00018973 	
-83.3309 	 0.00018811 	
-66.663 	 0.000186994 	
-50.012 	 0.000188263 	
-44.1289 	 0.000190669 	
-38.2358 	 0.000187506 	
-32.3562 	 0.000189253 	
-26.4678 	 0.000189431 	
-20.5855 	 0.000189737 	
-14.7144 	 0.000192818 	
-8.82402 	 0.000195531 	
-2.95768 	 0.000198243 	
 2.9445 	 0.000202306 	
 8.82652 	 0.000206922 	
 14.6996 	 0.000214391 	
 20.5945 	 0.000220983 	
 26.4687 	 0.000225758 	
 32.3531 	 0.000230395 	
 38.2319 	 0.000235207 	
 44.0972 	 0.000235752 	
 49.9965 	 0.000237643 	
 66.6628 	 0.000238072 	
 83.3068 	 0.000236871 	
 99.9972 	 0.000237815 	
 116.67 	 0.000237476 	
 133.333 	 0.000238927 	
 149.992 	 0.000238518 	
 166.661 	 0.00023574 	
 183.325 	 0.00023563 	
 200.005 	 0.000237177 	
 216.67 	 0.000234964 	
 233.339 	 0.000234295 	
 249.999 	 0.000234767 	
 266.658 	 0.000234593 	
 283.318 	 0.00023426 	
 300.009 	 0.000233362 	
 316.663 	 0.00023376 	
 333.331 	 0.000232225 	
 350.001 	 0.000233453 	
 366.685 	 0.000229456 	
 383.332 	 0.000232199 	
 399.991 	 0.000230559 	
 416.67 	 0.000229734 	
 433.332 	 0.000230964 	
 449.989 	 0.00022908 	
 466.65 	 0.00022937 	
 483.322 	 0.000230489 	
 500.003 	 0.000227156 	

	
	
