Start Time:  09/13/2021 11:34:00 AM       Time Completed:  09/13/2021 11:54:10 AM   Elapsed Time:  00:20:10
Sample ID:     Co1_IP_1p5T_1p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210913_Co1_IP_1p5T_1p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210913_Co1_IP_1p5T_1p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210913_Co1_IP_1p5T_1p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000190196 	
 13700 	-0.000155346 	
 12400 	-0.000122691 	
 11100 	-0.0000861935 	
 9799.96 	-0.0000483909 	
 8499.96 	-0.0000155718 	
 7199.97 	 0.0000244134 	
 5899.97 	 0.0000556196 	
 4599.97 	 0.000094486 	
 3299.95 	 0.000127857 	
 1999.96 	 0.000161805 	
 1699.97 	 0.000173936 	
 1399.98 	 0.000179356 	
 1099.98 	 0.000187033 	
 799.979 	 0.000195763 	
 499.98 	 0.000202024 	
 399.984 	 0.000202461 	
 299.987 	 0.000205947 	
 199.992 	 0.000208019 	
 99.9903 	 0.00021059 	
-0.00864556 	 0.000212732 	
-100.005 	 0.000214302 	
-200.009 	 0.000216812 	
-300.007 	 0.000218794 	
-400.011 	 0.000221439 	
-500.008 	 0.000222664 	
-800.012 	 0.000230009 	
-1100.02 	 0.000238195 	
-1400.02 	 0.000244373 	
-1700.02 	 0.000254722 	
-2000.02 	 0.000260798 	
-3300.05 	 0.000294501 	
-4600.06 	 0.000335502 	
-5900.06 	 0.000371122 	
-7200.07 	 0.000406723 	
-8500.06 	 0.000448449 	
-9800.04 	 0.000479979 	
-11100 	 0.000518093 	
-12400 	 0.000551912 	
-13700 	 0.000585212 	
-15000 	 0.000619761 	
-13700 	 0.000584186 	
-12400 	 0.000548216 	
-11100 	 0.000508014 	
-9799.98 	 0.000472231 	
-8499.96 	 0.000442155 	
-7199.95 	 0.000404138 	
-5899.96 	 0.000366029 	
-4599.97 	 0.000333996 	
-3299.99 	 0.00029315 	
-1999.96 	 0.000255565 	
-1699.98 	 0.00024677 	
-1399.97 	 0.00024133 	
-1099.98 	 0.000232482 	
-799.98 	 0.00022377 	
-499.977 	 0.000213884 	
-399.983 	 0.000214599 	
-299.988 	 0.000210357 	
-199.985 	 0.000208829 	
-99.9876 	 0.000205735 	
 0.00961581 	 0.000203706 	
 100.01 	 0.000200486 	
 200.009 	 0.000198747 	
 300.01 	 0.000194976 	
 400.011 	 0.000193331 	
 500.008 	 0.000191118 	
 800.013 	 0.000184056 	
 1100.02 	 0.000173839 	
 1400.02 	 0.000165689 	
 1700.02 	 0.000158442 	
 2000.02 	 0.000151679 	
 3300.04 	 0.000114847 	
 4600.06 	 0.0000774376 	
 5900.07 	 0.0000425775 	
 7200.06 	-0.00000338022 	
 8500.04 	-0.0000342785 	
 9800.02 	-0.0000692252 	
 11100 	-0.000107659 	
 12400 	-0.00014399 	
 13700 	-0.000178372 	
 15000 	-0.000213609 	

	
	
