Start Time:  09/13/2021 11:58:51 AM       Time Completed:  09/13/2021 12:23:54 PM   Elapsed Time:  00:25:02
Sample ID:     Co1_IP_500G_1p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210913_Co1_IP_500G_1p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210913_Co1_IP_500G_1p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210913_Co1_IP_500G_1p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 500.006 	 0.000186143 	
 483.331 	 0.000185115 	
 466.665 	 0.000184456 	
 449.996 	 0.000186844 	
 433.323 	 0.00018757 	
 416.664 	 0.00018853 	
 400.001 	 0.000188468 	
 383.32 	 0.000187702 	
 366.654 	 0.000188944 	
 349.981 	 0.000186431 	
 333.338 	 0.000189124 	
 316.665 	 0.000187902 	
 299.998 	 0.00018958 	
 283.329 	 0.000190627 	
 266.656 	 0.000189983 	
 249.989 	 0.000191243 	
 233.332 	 0.000191469 	
 216.662 	 0.000189562 	
 199.997 	 0.000191736 	
 183.333 	 0.000190736 	
 166.659 	 0.000192154 	
 149.995 	 0.000193301 	
 133.336 	 0.000193029 	
 116.652 	 0.000193656 	
 99.9909 	 0.000193743 	
 83.3373 	 0.000194368 	
 66.6458 	 0.000194165 	
 50.0096 	 0.000193857 	
 44.1073 	 0.000195808 	
 38.2374 	 0.000194848 	
 32.3496 	 0.000194774 	
 26.4509 	 0.000195565 	
 20.6019 	 0.000194778 	
 14.6978 	 0.000194195 	
 8.80782 	 0.000193701 	
 2.92804 	 0.000195321 	
-2.94417 	 0.000194952 	
-8.83027 	 0.000195916 	
-14.7114 	 0.000195671 	
-20.594 	 0.000196441 	
-26.4811 	 0.00019578 	
-32.3494 	 0.000195173 	
-38.2453 	 0.000196629 	
-44.1211 	 0.000194989 	
-50.0015 	 0.000194395 	
-66.6732 	 0.000195495 	
-83.3369 	 0.000198319 	
-100.005 	 0.000197163 	
-116.676 	 0.000195619 	
-133.334 	 0.000197729 	
-150.006 	 0.000196681 	
-166.679 	 0.000198428 	
-183.348 	 0.000197911 	
-199.996 	 0.000198415 	
-216.681 	 0.000199244 	
-233.335 	 0.00020075 	
-250.012 	 0.000200116 	
-266.682 	 0.000201119 	
-283.337 	 0.000199834 	
-300.018 	 0.000200866 	
-316.667 	 0.000199924 	
-333.328 	 0.000200282 	
-350.004 	 0.000200324 	
-366.662 	 0.000202664 	
-383.35 	 0.000203463 	
-400.01 	 0.000203512 	
-416.677 	 0.000204992 	
-433.344 	 0.000205246 	
-450.007 	 0.000205845 	
-466.676 	 0.000204965 	
-483.34 	 0.000205632 	
-500.017 	 0.000203849 	
-483.338 	 0.000204051 	
-466.667 	 0.000204285 	
-450.009 	 0.000203652 	
-433.343 	 0.000204244 	
-416.666 	 0.000204164 	
-399.995 	 0.000201967 	
-383.345 	 0.000201293 	
-366.668 	 0.00020138 	
-350.007 	 0.000201554 	
-333.33 	 0.000200471 	
-316.665 	 0.00019996 	
-300.008 	 0.000199605 	
-283.347 	 0.000200731 	
-266.66 	 0.000199668 	
-250.007 	 0.000199466 	
-233.333 	 0.000197987 	
-216.677 	 0.000195829 	
-200.003 	 0.000195498 	
-183.337 	 0.000196226 	
-166.66 	 0.000196974 	
-149.998 	 0.000194707 	
-133.336 	 0.000195573 	
-116.675 	 0.000193504 	
-99.9971 	 0.000194281 	
-83.3372 	 0.000193279 	
-66.6647 	 0.000193963 	
-49.9955 	 0.000193233 	
-44.1209 	 0.000193029 	
-38.2293 	 0.000193241 	
-32.3574 	 0.000191736 	
-26.4716 	 0.00019181 	
-20.587 	 0.000190598 	
-14.6921 	 0.000190345 	
-8.82427 	 0.000192516 	
-2.95443 	 0.000190904 	
 2.94275 	 0.000191593 	
 8.81729 	 0.000190662 	
 14.6953 	 0.000189616 	
 20.5871 	 0.000190732 	
 26.4612 	 0.000188475 	
 32.3329 	 0.000190363 	
 38.2392 	 0.000189756 	
 44.1172 	 0.000190399 	
 49.9884 	 0.000189788 	
 66.6584 	 0.000189751 	
 83.3457 	 0.000188356 	
 99.9981 	 0.000187371 	
 116.666 	 0.000186369 	
 133.335 	 0.00018818 	
 149.999 	 0.000185976 	
 166.667 	 0.000186034 	
 183.321 	 0.000185121 	
 199.992 	 0.000184157 	
 216.666 	 0.000183744 	
 233.323 	 0.000183915 	
 249.991 	 0.000183653 	
 266.664 	 0.000182686 	
 283.331 	 0.000182717 	
 300.009 	 0.000182586 	
 316.651 	 0.000182645 	
 333.33 	 0.000180366 	
 349.997 	 0.000181949 	
 366.661 	 0.000181028 	
 383.322 	 0.000177989 	
 400.003 	 0.000178128 	
 416.656 	 0.000177473 	
 433.329 	 0.000177357 	
 450.005 	 0.000178595 	
 466.652 	 0.00017786 	
 483.337 	 0.000176297 	
 499.99 	 0.000176263 	

	
	
