Start Time:  09/13/2021 12:26:56 PM       Time Completed:  09/13/2021 12:52:04 PM   Elapsed Time:  00:25:07
Sample ID:     Co1_IP_500G_1p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210913_Co1_IP_500G_1p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210913_Co1_IP_500G_1p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210913_Co1_IP_500G_1p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 499.998 	 0.00017729 	
 483.321 	 0.000176905 	
 466.656 	 0.000177372 	
 449.99 	 0.000179881 	
 433.326 	 0.000178302 	
 416.662 	 0.00017711 	
 400.004 	 0.000177149 	
 383.333 	 0.000179521 	
 366.657 	 0.000179292 	
 350.005 	 0.000181586 	
 333.33 	 0.000181132 	
 316.668 	 0.000181116 	
 299.986 	 0.000181634 	
 283.329 	 0.000181932 	
 266.65 	 0.000181973 	
 249.987 	 0.00018193 	
 233.325 	 0.000183606 	
 216.646 	 0.000183625 	
 199.986 	 0.000184139 	
 183.328 	 0.000182771 	
 166.662 	 0.000184444 	
 149.999 	 0.000184847 	
 133.329 	 0.000185184 	
 116.672 	 0.000186959 	
 99.996 	 0.000185708 	
 83.3637 	 0.000187193 	
 66.6581 	 0.00018679 	
 49.9832 	 0.000186973 	
 44.1294 	 0.000188446 	
 38.238 	 0.000186317 	
 32.3592 	 0.000188679 	
 26.4665 	 0.000186582 	
 20.5985 	 0.00018785 	
 14.708 	 0.000187293 	
 8.82203 	 0.000188243 	
 2.93802 	 0.000189277 	
-2.93992 	 0.00018967 	
-8.83878 	 0.000189329 	
-14.7129 	 0.000190104 	
-20.585 	 0.000189569 	
-26.4816 	 0.000189733 	
-32.3419 	 0.000189822 	
-38.2433 	 0.000188706 	
-44.1246 	 0.000188857 	
-50.0087 	 0.00018992 	
-66.6645 	 0.0001889 	
-83.3372 	 0.000192053 	
-100.006 	 0.000189662 	
-116.679 	 0.000189558 	
-133.348 	 0.000190614 	
-150.013 	 0.000192397 	
-166.681 	 0.000190774 	
-183.334 	 0.000193793 	
-200.007 	 0.000194045 	
-216.669 	 0.000194357 	
-233.343 	 0.000194853 	
-250.007 	 0.000194063 	
-266.673 	 0.000194157 	
-283.334 	 0.000194373 	
-300.009 	 0.000195075 	
-316.674 	 0.00019535 	
-333.325 	 0.000196791 	
-350.015 	 0.000196414 	
-366.665 	 0.00019555 	
-383.333 	 0.000198202 	
-399.987 	 0.000198799 	
-416.673 	 0.000197352 	
-433.335 	 0.000199651 	
-449.994 	 0.00020012 	
-466.669 	 0.00019977 	
-483.337 	 0.000197361 	
-500.005 	 0.000200068 	
-483.344 	 0.000198894 	
-466.679 	 0.000199331 	
-450.013 	 0.000199259 	
-433.335 	 0.000197264 	
-416.678 	 0.000198596 	
-400.008 	 0.00019806 	
-383.348 	 0.000198003 	
-366.681 	 0.000193781 	
-350.005 	 0.000196251 	
-333.346 	 0.000195568 	
-316.67 	 0.000194773 	
-300.006 	 0.000194721 	
-283.337 	 0.000194306 	
-266.664 	 0.000193989 	
-250.013 	 0.000193663 	
-233.334 	 0.000191629 	
-216.671 	 0.000192358 	
-200.002 	 0.00019212 	
-183.336 	 0.000190533 	
-166.666 	 0.000191431 	
-150.006 	 0.000190493 	
-133.339 	 0.000188702 	
-116.667 	 0.000191375 	
-100.008 	 0.000188036 	
-83.3312 	 0.000188971 	
-66.663 	 0.000189031 	
-50.0085 	 0.000188047 	
-44.1276 	 0.000187167 	
-38.2373 	 0.000188211 	
-32.3424 	 0.000186596 	
-26.4741 	 0.000186397 	
-20.5867 	 0.000186072 	
-14.7109 	 0.000187196 	
-8.83077 	 0.000187871 	
-2.94818 	 0.00018714 	
 2.93353 	 0.000188245 	
 8.82153 	 0.000184224 	
 14.7093 	 0.000186165 	
 20.5908 	 0.00018661 	
 26.4666 	 0.000185227 	
 32.3441 	 0.000185202 	
 38.2279 	 0.000185248 	
 44.1289 	 0.000185901 	
 50.0047 	 0.000186813 	
 66.6508 	 0.000185809 	
 83.3217 	 0.000185482 	
 100.009 	 0.000184075 	
 116.661 	 0.000184058 	
 133.317 	 0.00018339 	
 150.008 	 0.000184953 	
 166.656 	 0.000182336 	
 183.331 	 0.000180214 	
 200.005 	 0.000182165 	
 216.672 	 0.000179425 	
 233.317 	 0.000180387 	
 250.004 	 0.00018111 	
 266.669 	 0.000179869 	
 283.325 	 0.000180016 	
 299.996 	 0.000178506 	
 316.654 	 0.000178388 	
 333.339 	 0.000177695 	
 349.999 	 0.000177658 	
 366.66 	 0.000178868 	
 383.335 	 0.000177809 	
 399.994 	 0.000175528 	
 416.658 	 0.000174469 	
 433.33 	 0.000176264 	
 450.001 	 0.000175795 	
 466.67 	 0.00017406 	
 483.328 	 0.000174009 	
 499.981 	 0.000172904 	

	
	
