Start Time:  09/13/2021 3:11:07 PM        Time Completed:  09/13/2021 3:36:05 PM    Elapsed Time:  00:24:57
Sample ID:     Co3_IP_500G_1p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210913_Co3_IP_500G_1p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210913_Co3_IP_500G_1p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210913_Co3_IP_500G_1p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 499.996 	 0.000338743 	
 483.327 	 0.000338108 	
 466.658 	 0.000338867 	
 449.978 	 0.00033904 	
 433.326 	 0.000340293 	
 416.667 	 0.000340377 	
 399.982 	 0.000340195 	
 383.324 	 0.000341024 	
 366.669 	 0.000341908 	
 349.99 	 0.000340799 	
 333.338 	 0.000340133 	
 316.653 	 0.000343214 	
 299.984 	 0.000342366 	
 283.322 	 0.000342278 	
 266.67 	 0.000341719 	
 249.996 	 0.000341487 	
 233.327 	 0.000340927 	
 216.66 	 0.000342849 	
 199.993 	 0.000340618 	
 183.313 	 0.000343811 	
 166.666 	 0.000340705 	
 149.991 	 0.000341249 	
 133.327 	 0.00034119 	
 116.658 	 0.000339298 	
 99.9892 	 0.000339817 	
 83.3344 	 0.000338384 	
 66.6505 	 0.000337 	
 49.999 	 0.000335737 	
 44.1209 	 0.000332661 	
 38.2124 	 0.000331681 	
 32.3401 	 0.000330429 	
 26.4554 	 0.000327724 	
 20.5826 	 0.00032545 	
 14.7018 	 0.000320005 	
 8.8118 	 0.000315225 	
 2.92405 	 0.000308552 	
-2.95343 	 0.000298485 	
-8.82527 	 0.000277929 	
-14.7211 	 0.000230446 	
-20.5915 	 0.000118801 	
-26.4843 	 0.0000618637 	
-32.3552 	 0.0000524836 	
-38.2378 	 0.0000480246 	
-44.1216 	 0.0000476911 	
-49.9967 	 0.0000459157 	
-66.6749 	 0.0000400372 	
-83.3429 	 0.0000395601 	
-100.013 	 0.0000354781 	
-116.662 	 0.0000342141 	
-133.335 	 0.0000334334 	
-150.009 	 0.0000330642 	
-166.671 	 0.000032474 	
-183.339 	 0.0000325239 	
-199.998 	 0.0000323231 	
-216.678 	 0.0000325574 	
-233.338 	 0.000031276 	
-250.003 	 0.000029343 	
-266.671 	 0.0000318496 	
-283.335 	 0.0000336315 	
-300.005 	 0.0000319876 	
-316.662 	 0.0000325433 	
-333.335 	 0.0000332522 	
-350.006 	 0.000034636 	
-366.671 	 0.0000328377 	
-383.339 	 0.0000337154 	
-400.005 	 0.0000340275 	
-416.664 	 0.0000364929 	
-433.351 	 0.0000349515 	
-450.006 	 0.0000370602 	
-466.66 	 0.0000360309 	
-483.335 	 0.0000368886 	
-500.008 	 0.0000353247 	
-483.334 	 0.000033978 	
-466.686 	 0.0000337002 	
-450.007 	 0.0000356101 	
-433.342 	 0.0000353711 	
-416.677 	 0.0000342897 	
-400 	 0.0000339021 	
-383.338 	 0.0000350266 	
-366.675 	 0.0000335826 	
-350.014 	 0.0000336259 	
-333.332 	 0.0000315412 	
-316.678 	 0.000033402 	
-300.012 	 0.0000335791 	
-283.347 	 0.0000314369 	
-266.664 	 0.0000300888 	
-250.003 	 0.0000312222 	
-233.331 	 0.0000307791 	
-216.668 	 0.0000311911 	
-199.995 	 0.0000333086 	
-183.339 	 0.0000325274 	
-166.666 	 0.0000326314 	
-150.003 	 0.0000316162 	
-133.342 	 0.0000328015 	
-116.669 	 0.0000319941 	
-100.002 	 0.0000333747 	
-83.3339 	 0.0000323902 	
-66.6652 	 0.000034993 	
-50.0025 	 0.0000368063 	
-44.1214 	 0.0000395172 	
-38.2353 	 0.0000401693 	
-32.3522 	 0.000038299 	
-26.4688 	 0.0000430534 	
-20.5952 	 0.0000436728 	
-14.7056 	 0.0000473804 	
-8.81852 	 0.0000509917 	
-2.94217 	 0.0000568328 	
 2.94425 	 0.0000643428 	
 8.81355 	 0.0000758197 	
 14.6998 	 0.0000947078 	
 20.5811 	 0.000143097 	
 26.4655 	 0.000257209 	
 32.3279 	 0.000312148 	
 38.2341 	 0.000320924 	
 44.1043 	 0.000323696 	
 49.9978 	 0.000325745 	
 66.6647 	 0.000329889 	
 83.3305 	 0.0003336 	
 99.9991 	 0.000335994 	
 116.664 	 0.000336999 	
 133.321 	 0.000337346 	
 150.003 	 0.000338284 	
 166.662 	 0.000339201 	
 183.326 	 0.000338654 	
 199.999 	 0.000339353 	
 216.672 	 0.000341383 	
 233.332 	 0.000339314 	
 249.989 	 0.00033964 	
 266.666 	 0.000339268 	
 283.334 	 0.000340562 	
 299.994 	 0.000338416 	
 316.664 	 0.000338589 	
 333.33 	 0.000339371 	
 350 	 0.000339487 	
 366.667 	 0.0003385 	
 383.325 	 0.000340268 	
 400.018 	 0.000336909 	
 416.675 	 0.000338284 	
 433.333 	 0.000336827 	
 450.006 	 0.000336972 	
 466.655 	 0.000336891 	
 483.333 	 0.000337174 	
 500.008 	 0.000334392 	

	
	
