Start Time:  10/04/2021 1:43:00 PM        Time Completed:  10/04/2021 2:07:24 PM    Elapsed Time:  00:24:24
Sample ID:     Co12_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211004_Co12_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211004_Co12_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211004_Co12_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	 0.000729325 	
 13700 	 0.00075732 	
 12400 	 0.000784198 	
 11100 	 0.000809885 	
 9799.98 	 0.000832605 	
 8499.97 	 0.000852322 	
 7199.95 	 0.000876254 	
 5899.96 	 0.000895276 	
 4599.96 	 0.000908424 	
 3299.93 	 0.000928974 	
 1999.96 	 0.000949131 	
 1699.98 	 0.000955632 	
 1399.98 	 0.000960712 	
 1099.97 	 0.000963797 	
 799.977 	 0.000966494 	
 499.976 	 0.000968389 	
 449.99 	 0.000968378 	
 399.986 	 0.000967914 	
 349.989 	 0.00096964 	
 299.993 	 0.000969099 	
 249.995 	 0.00096884 	
 199.991 	 0.000967549 	
 149.993 	 0.000967337 	
 99.9946 	 0.000966447 	
 49.9952 	 0.000959345 	
-0.00387131 	 0.000882754 	
-50.0086 	-0.000470069 	
-100.005 	-0.000483753 	
-150.003 	-0.000512267 	
-200.006 	-0.000543044 	
-250.004 	-0.00055387 	
-300.008 	-0.000557849 	
-350.005 	-0.000558151 	
-400.007 	-0.000558198 	
-450.006 	-0.000559139 	
-500.007 	-0.000558759 	
-800.006 	-0.000555611 	
-1100.01 	-0.000553214 	
-1400.02 	-0.000549445 	
-1700.02 	-0.000544401 	
-2000.02 	-0.000538379 	
-3300.05 	-0.000522748 	
-4600.06 	-0.000503176 	
-5900.07 	-0.000471711 	
-7200.06 	-0.000457405 	
-8500.06 	-0.000424564 	
-9800.03 	-0.000417687 	
-11100 	-0.000388275 	
-12400 	-0.000363418 	
-13700 	-0.000337111 	
-15000 	-0.000311075 	
-13700 	-0.000339546 	
-12400 	-0.000365255 	
-11100 	-0.000391605 	
-9799.98 	-0.000410479 	
-8499.97 	-0.000434964 	
-7199.96 	-0.000456617 	
-5899.97 	-0.000481268 	
-4599.96 	-0.000501441 	
-3299.99 	-0.00051611 	
-1999.96 	-0.00053819 	
-1699.97 	-0.000544073 	
-1399.98 	-0.000544823 	
-1099.98 	-0.000551003 	
-799.98 	-0.000553894 	
-499.977 	-0.000556449 	
-449.994 	-0.000556613 	
-399.991 	-0.000557374 	
-349.994 	-0.000557618 	
-299.997 	-0.000558733 	
-249.994 	-0.000559212 	
-199.992 	-0.000559052 	
-149.992 	-0.000557388 	
-99.9934 	-0.000556224 	
-49.9978 	-0.000551072 	
 0.00384374 	-0.000486804 	
 50.0089 	 0.00087843 	
 100.007 	 0.000889803 	
 150.006 	 0.000916789 	
 199.999 	 0.000950207 	
 250.005 	 0.000960431 	
 300.005 	 0.00096474 	
 350.005 	 0.000964688 	
 400.009 	 0.0009649 	
 450.005 	 0.000965468 	
 499.998 	 0.000963776 	
 800.01 	 0.000960844 	
 1100.01 	 0.000954568 	
 1400.02 	 0.000953668 	
 1700.02 	 0.00094859 	
 2000.02 	 0.000943034 	
 3300.04 	 0.000924179 	
 4600.05 	 0.000902656 	
 5900.05 	 0.000880138 	
 7200.07 	 0.000857574 	
 8500.06 	 0.000839243 	
 9800.02 	 0.000818222 	
 11100 	 0.0007883 	
 12400 	 0.000766953 	
 13700 	 0.000740041 	
 15000 	 0.000712213 	

	
	
