Start Time:  10/04/2021 11:44:00 AM       Time Completed:  10/04/2021 12:08:23 PM   Elapsed Time:  00:24:23
Sample ID:     Co4_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211004_Co4_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211004_Co4_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211004_Co4_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	 0.000128076 	
 13700 	 0.000155762 	
 12400 	 0.000177526 	
 11100 	 0.000204523 	
 9799.98 	 0.000225784 	
 8499.97 	 0.000250697 	
 7199.96 	 0.000275598 	
 5899.95 	 0.000295982 	
 4599.97 	 0.000325625 	
 3299.94 	 0.000349852 	
 1999.96 	 0.000380012 	
 1699.98 	 0.000380358 	
 1399.98 	 0.000385856 	
 1099.98 	 0.000393289 	
 799.977 	 0.000392971 	
 499.979 	 0.000395966 	
 449.995 	 0.000396064 	
 399.992 	 0.00039675 	
 349.989 	 0.00039578 	
 299.992 	 0.000394652 	
 249.993 	 0.000394821 	
 199.995 	 0.000393677 	
 149.99 	 0.000393368 	
 99.9921 	 0.00038993 	
 49.9944 	 0.000383339 	
-0.00758181 	 0.000352669 	
-50.0063 	-0.00000390708 	
-100.009 	-0.0000134742 	
-150.009 	-0.000017698 	
-200.003 	-0.0000197212 	
-250.005 	-0.0000199726 	
-300.006 	-0.0000216018 	
-350.006 	-0.000022081 	
-400.006 	-0.0000221766 	
-450.003 	-0.0000214371 	
-500.007 	-0.0000221481 	
-800.013 	-0.0000219299 	
-1100.02 	-0.0000175156 	
-1400.02 	-0.0000132787 	
-1700.02 	-0.0000078356 	
-2000.02 	-0.00000361904 	
-3300.05 	 0.0000172693 	
-4600.06 	 0.0000472563 	
-5900.07 	 0.000071608 	
-7200.06 	 0.000104863 	
-8500.05 	 0.000126604 	
-9800.02 	 0.000146854 	
-11100 	 0.000171588 	
-12400 	 0.000195564 	
-13700 	 0.000223445 	
-15000 	 0.000246195 	
-13700 	 0.000222117 	
-12400 	 0.000194503 	
-11100 	 0.000176749 	
-9799.98 	 0.000151894 	
-8499.98 	 0.00012143 	
-7199.95 	 0.0000956096 	
-5899.96 	 0.0000724237 	
-4599.97 	 0.0000433334 	
-3299.99 	 0.0000204252 	
-1999.96 	-0.00000698103 	
-1699.98 	-0.00000880793 	
-1399.98 	-0.0000170032 	
-1099.98 	-0.0000164997 	
-799.979 	-0.0000219299 	
-499.979 	-0.0000216708 	
-449.99 	-0.0000228282 	
-399.991 	-0.000023782 	
-349.995 	-0.0000248061 	
-299.99 	-0.0000228358 	
-249.991 	-0.0000227069 	
-199.992 	-0.0000218023 	
-149.993 	-0.0000207311 	
-99.9945 	-0.0000174078 	
-49.9917 	-0.0000110447 	
 0.00421779 	 0.0000154484 	
 50.0062 	 0.000376241 	
 100.003 	 0.000386666 	
 150.004 	 0.000389417 	
 200.004 	 0.000390298 	
 250.01 	 0.00039247 	
 300.008 	 0.000392762 	
 350.004 	 0.000394021 	
 400.009 	 0.000394097 	
 450.005 	 0.000394078 	
 500.006 	 0.000394143 	
 800.012 	 0.000392137 	
 1100.01 	 0.000391022 	
 1400.02 	 0.000385113 	
 1700.02 	 0.000379089 	
 2000.02 	 0.000373828 	
 3300.04 	 0.000350162 	
 4600.05 	 0.000323788 	
 5900.06 	 0.000295619 	
 7200.08 	 0.00027912 	
 8500.05 	 0.000246558 	
 9800.03 	 0.000224734 	
 11100 	 0.000197066 	
 12400 	 0.000175799 	
 13700 	 0.000149892 	
 15000 	 0.000126697 	

	
	
