Start Time:  10/04/2021 12:30:00 PM       Time Completed:  10/04/2021 12:54:23 PM   Elapsed Time:  00:24:23
Sample ID:     Co8_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211004_Co8_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211004_Co8_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211004_Co8_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	 0.000387594 	
 13700 	 0.000414342 	
 12400 	 0.000439109 	
 11100 	 0.000470295 	
 9799.99 	 0.000495103 	
 8499.97 	 0.000516491 	
 7199.96 	 0.000542861 	
 5899.95 	 0.000570079 	
 4599.97 	 0.000591144 	
 3299.94 	 0.000611612 	
 1999.96 	 0.000633578 	
 1699.98 	 0.00063909 	
 1399.98 	 0.000645707 	
 1099.98 	 0.000645782 	
 799.977 	 0.000652122 	
 499.982 	 0.000652969 	
 449.985 	 0.000654185 	
 399.992 	 0.000654359 	
 349.992 	 0.000653898 	
 299.99 	 0.000652044 	
 249.993 	 0.000652609 	
 199.992 	 0.000653618 	
 149.995 	 0.000652931 	
 99.9959 	 0.00065061 	
 49.9936 	 0.000644512 	
-0.00754513 	 0.000588727 	
-50.0038 	-0.000205783 	
-100.007 	-0.000241303 	
-150.007 	-0.000255294 	
-200.007 	-0.000257797 	
-250.006 	-0.000259506 	
-300.005 	-0.000259831 	
-350.007 	-0.000260144 	
-400.004 	-0.000260631 	
-450.005 	-0.000260048 	
-500.004 	-0.000260023 	
-800.012 	-0.0002565 	
-1100.01 	-0.000252972 	
-1400.02 	-0.000249251 	
-1700.02 	-0.000245662 	
-2000.02 	-0.0002393 	
-3300.04 	-0.000215459 	
-4600.06 	-0.000193645 	
-5900.06 	-0.000178907 	
-7200.06 	-0.000148575 	
-8500.04 	-0.000129313 	
-9800.03 	-0.0000885432 	
-11100 	-0.0000667241 	
-12400 	-0.0000395118 	
-13700 	-0.0000131424 	
-15000 	 0.0000120735 	
-13700 	-0.0000154422 	
-12400 	-0.0000402379 	
-11100 	-0.0000693537 	
-9799.99 	-0.0000954168 	
-8499.96 	-0.000125624 	
-7199.97 	-0.000148805 	
-5899.97 	-0.000171334 	
-4599.97 	-0.000199951 	
-3299.98 	-0.000220187 	
-1999.96 	-0.000239713 	
-1699.97 	-0.000244387 	
-1399.98 	-0.000248216 	
-1099.98 	-0.000253783 	
-799.981 	-0.00025975 	
-499.978 	-0.000261694 	
-449.992 	-0.000261989 	
-399.993 	-0.000263871 	
-349.994 	-0.000262091 	
-299.992 	-0.000263677 	
-249.991 	-0.000264916 	
-199.993 	-0.000263355 	
-149.991 	-0.000262593 	
-99.9948 	-0.000263689 	
-49.9904 	-0.000257948 	
 0.00507431 	-0.000210021 	
 50.0081 	 0.000592096 	
 100.008 	 0.000627039 	
 150.006 	 0.00064198 	
 200.006 	 0.000645059 	
 250.003 	 0.000645878 	
 300.002 	 0.000646105 	
 350.006 	 0.000645932 	
 400.004 	 0.000646899 	
 449.999 	 0.00064573 	
 500.005 	 0.000645444 	
 800.014 	 0.000642314 	
 1100.02 	 0.000638472 	
 1400.02 	 0.000632289 	
 1700.02 	 0.000627426 	
 2000.02 	 0.000624877 	
 3300.04 	 0.0005975 	
 4600.06 	 0.000572473 	
 5900.07 	 0.000547733 	
 7200.07 	 0.000527116 	
 8500.04 	 0.000513452 	
 9800.03 	 0.000470458 	
 11100 	 0.000450234 	
 12400 	 0.000421053 	
 13700 	 0.000394254 	
 15000 	 0.000368478 	

	
	
