Start Time:  10/04/2021 12:54:44 PM       Time Completed:  10/04/2021 1:19:08 PM    Elapsed Time:  00:24:23
Sample ID:     Co8_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211004_Co8_IP_1p5T_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211004_Co8_IP_1p5T_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211004_Co8_IP_1p5T_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	 0.000367007 	
 13700 	 0.00039613 	
 12400 	 0.00042326 	
 11100 	 0.000448189 	
 9799.98 	 0.000475876 	
 8499.96 	 0.000502918 	
 7199.95 	 0.000529985 	
 5899.97 	 0.000548794 	
 4599.96 	 0.000573745 	
 3299.93 	 0.000599236 	
 1999.96 	 0.000616918 	
 1699.98 	 0.000624809 	
 1399.98 	 0.00062732 	
 1099.98 	 0.000632822 	
 799.978 	 0.000635079 	
 499.981 	 0.00063944 	
 449.995 	 0.000641456 	
 399.994 	 0.000641245 	
 349.991 	 0.000641421 	
 299.996 	 0.000641108 	
 249.993 	 0.000641241 	
 199.994 	 0.000640648 	
 149.99 	 0.000641082 	
 99.9944 	 0.000638739 	
 49.9934 	 0.000633767 	
-0.00539229 	 0.000579272 	
-50.0067 	-0.000217809 	
-100.005 	-0.000251597 	
-150.005 	-0.00026683 	
-200.004 	-0.000269096 	
-250.002 	-0.000269761 	
-300.003 	-0.000270487 	
-350.004 	-0.00026989 	
-400.005 	-0.00027067 	
-450.003 	-0.000269374 	
-500.009 	-0.000269126 	
-800.016 	-0.000266733 	
-1100.02 	-0.000260686 	
-1400.02 	-0.000256921 	
-1700.02 	-0.000252692 	
-2000.02 	-0.000247206 	
-3300.05 	-0.000222043 	
-4600.06 	-0.000199329 	
-5900.07 	-0.000179783 	
-7200.06 	-0.000152829 	
-8500.05 	-0.000129145 	
-9800.03 	-0.000103435 	
-11100 	-0.00007151 	
-12400 	-0.0000455702 	
-13700 	-0.0000186033 	
-15000 	 0.00000634589 	
-13700 	-0.0000179895 	
-12400 	-0.0000467211 	
-11100 	-0.0000776209 	
-9799.99 	-0.000101276 	
-8499.97 	-0.000129191 	
-7199.96 	-0.00015607 	
-5899.96 	-0.000182375 	
-4599.97 	-0.000202563 	
-3299.99 	-0.000225003 	
-1999.96 	-0.000243874 	
-1699.97 	-0.000250801 	
-1399.98 	-0.000257518 	
-1099.98 	-0.000260906 	
-799.978 	-0.000265974 	
-499.98 	-0.000265745 	
-449.99 	-0.000266957 	
-399.993 	-0.000268018 	
-349.993 	-0.000267781 	
-299.993 	-0.000268215 	
-249.993 	-0.000268124 	
-199.994 	-0.000267664 	
-149.987 	-0.000266634 	
-99.9926 	-0.000267064 	
-49.9968 	-0.000262233 	
 0.00481974 	-0.000214944 	
 50.0073 	 0.000587964 	
 100.005 	 0.00062225 	
 150.003 	 0.000638534 	
 200.011 	 0.000641788 	
 250.004 	 0.000641684 	
 300.005 	 0.000643406 	
 350.005 	 0.000642431 	
 400.004 	 0.000642099 	
 450.002 	 0.000642229 	
 500.003 	 0.000642456 	
 800.01 	 0.000639058 	
 1100.02 	 0.0006338 	
 1400.02 	 0.000629279 	
 1700.01 	 0.000622573 	
 2000.02 	 0.000619788 	
 3300.04 	 0.000590698 	
 4600.05 	 0.000568317 	
 5900.07 	 0.000551982 	
 7200.07 	 0.000519033 	
 8500.05 	 0.000505922 	
 9800.03 	 0.000476735 	
 11100 	 0.000445194 	
 12400 	 0.000420335 	
 13700 	 0.000390681 	
 15000 	 0.000362959 	

	
	
