Start Time:  10/11/2021 4:43:00 PM        Time Completed:  10/11/2021 5:07:40 PM    Elapsed Time:  00:24:40
Sample ID:     Co12_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211011_Co12_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211011_Co12_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211011_Co12_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.00106806 	
 13700 	-0.00102612 	
 12400 	-0.00100206 	
 11100 	-0.000983715 	
 9799.99 	-0.000969442 	
 8499.97 	-0.000957679 	
 7199.96 	-0.000942989 	
 5899.96 	-0.000933313 	
 4599.97 	-0.000922765 	
 3299.93 	-0.000909929 	
 1999.96 	-0.000904913 	
 1699.97 	-0.000905305 	
 1399.98 	-0.00090347 	
 1099.98 	-0.000904943 	
 799.975 	-0.000904242 	
 499.981 	-0.000908948 	
 449.988 	-0.000907245 	
 399.991 	-0.000908209 	
 349.991 	-0.000913113 	
 299.991 	-0.00091549 	
 249.994 	-0.000918935 	
 199.994 	-0.00092717 	
 149.994 	-0.000934377 	
 99.9955 	-0.000940455 	
 49.9943 	-0.000953217 	
-0.00893327 	-0.000963612 	
-50.0035 	-0.0009771 	
-99.9998 	-0.000987897 	
-150.008 	-0.0010008 	
-200.007 	-0.0010141 	
-250.006 	-0.00102368 	
-300.003 	-0.0010304 	
-350.003 	-0.00103639 	
-400.003 	-0.00103803 	
-450.008 	-0.00104288 	
-500.003 	-0.00107137 	
-800.011 	-0.00107441 	
-1100.02 	-0.00107593 	
-1400.02 	-0.00107459 	
-1700.02 	-0.00106984 	
-2000.02 	-0.00107065 	
-3300.04 	-0.00105832 	
-4600.06 	-0.0010629 	
-5900.07 	-0.00105398 	
-7200.07 	-0.00104792 	
-8500.03 	-0.00102853 	
-9800.03 	-0.00101711 	
-11100 	-0.00100716 	
-12400 	-0.000987546 	
-13700 	-0.000965346 	
-15000 	-0.000929202 	
-13700 	-0.000966712 	
-12400 	-0.000991199 	
-11100 	-0.00101297 	
-9799.97 	-0.00101843 	
-8499.97 	-0.00102335 	
-7199.95 	-0.00104462 	
-5899.98 	-0.00105361 	
-4599.97 	-0.00106432 	
-3299.98 	-0.00106547 	
-1999.96 	-0.00107128 	
-1699.98 	-0.00106949 	
-1399.98 	-0.00107047 	
-1099.98 	-0.00107147 	
-799.979 	-0.00106953 	
-499.976 	-0.00106768 	
-449.991 	-0.00106321 	
-399.993 	-0.00106115 	
-349.994 	-0.00105705 	
-299.994 	-0.00105306 	
-249.994 	-0.00104749 	
-199.995 	-0.00104167 	
-149.993 	-0.00103461 	
-99.9939 	-0.00102513 	
-49.9907 	-0.00101281 	
 0.0014483 	-0.00100156 	
 50.0039 	-0.000989707 	
 100.008 	-0.000975611 	
 150.005 	-0.000961705 	
 200.01 	-0.000947252 	
 250.006 	-0.000936076 	
 300.006 	-0.000929698 	
 350.003 	-0.000924751 	
 400.006 	-0.000922862 	
 450.004 	-0.000917526 	
 500.001 	-0.00088808 	
 800.014 	-0.000883589 	
 1100.01 	-0.000883753 	
 1400.01 	-0.000884665 	
 1700.01 	-0.000880317 	
 2000.02 	-0.000881407 	
 3300.03 	-0.000893335 	
 4600.05 	-0.000890323 	
 5900.06 	-0.000903456 	
 7200.06 	-0.000922253 	
 8500.04 	-0.000929039 	
 9800.03 	-0.000937622 	
 11100 	-0.000947902 	
 12400 	-0.00096715 	
 13700 	-0.000994475 	
 15000 	-0.00103499 	

	
	
