Start Time:  10/13/2021 10:54:30 AM       Time Completed:  10/13/2021 11:19:07 AM   Elapsed Time:  00:24:37
Sample ID:     Co12_OOP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211013_Co12_OOP_1p5T_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211013_Co12_OOP_1p5T_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211013_Co12_OOP_1p5T_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	 0.000320692 	
 13700 	 0.000328238 	
 12400 	 0.000321444 	
 11100 	 0.000313032 	
 9799.98 	 0.00029771 	
 8499.96 	 0.000278735 	
 7199.97 	 0.000265258 	
 5899.97 	 0.000247652 	
 4599.96 	 0.000225408 	
 3299.96 	 0.0002119 	
 1999.96 	 0.000193698 	
 1699.97 	 0.000192314 	
 1399.98 	 0.000185156 	
 1099.98 	 0.000181762 	
 799.978 	 0.000177505 	
 499.979 	 0.000172806 	
 449.993 	 0.000170147 	
 399.993 	 0.000166683 	
 349.99 	 0.000166378 	
 299.991 	 0.000163425 	
 249.996 	 0.000158884 	
 199.992 	 0.000152262 	
 149.99 	 0.000145095 	
 99.9989 	 0.000135787 	
 49.991 	 0.000126626 	
-0.00641627 	 0.000115939 	
-50.0069 	 0.000104704 	
-100.003 	 0.0000918834 	
-150.002 	 0.0000790937 	
-200.002 	 0.0000674086 	
-250.005 	 0.0000560794 	
-300.007 	 0.0000501634 	
-350.005 	 0.000048157 	
-400.005 	 0.0000452305 	
-450.005 	 0.0000624921 	
-500.006 	 0.0000615939 	
-800.013 	 0.0000567099 	
-1100.02 	 0.0000507655 	
-1400.02 	 0.000049146 	
-1700.02 	 0.0000457077 	
-2000.02 	 0.000041115 	
-3300.05 	 0.0000265754 	
-4600.06 	 0.00000656482 	
-5900.07 	-0.0000121851 	
-7200.06 	-0.0000303229 	
-8500.04 	-0.000046218 	
-9800.03 	-0.0000704412 	
-11100 	-0.0000819915 	
-12400 	-0.0000898705 	
-13700 	-0.000091783 	
-15000 	-0.0000861497 	
-13700 	-0.0000934721 	
-12400 	-0.0000898024 	
-11100 	-0.0000790444 	
-9799.98 	-0.0000566919 	
-8499.97 	-0.0000416758 	
-7199.97 	-0.000022895 	
-5899.96 	-0.00000951709 	
-4599.97 	 0.00000779768 	
-3299.97 	 0.0000274475 	
-1999.96 	 0.0000448892 	
-1699.97 	 0.000045216 	
-1399.98 	 0.0000536904 	
-1099.98 	 0.0000571638 	
-799.978 	 0.0000627019 	
-499.977 	 0.0000698295 	
-449.995 	 0.0000702067 	
-399.993 	 0.0000735593 	
-349.993 	 0.0000770435 	
-299.993 	 0.0000814106 	
-249.994 	 0.0000859337 	
-199.992 	 0.0000912675 	
-149.991 	 0.0000985054 	
-99.9986 	 0.000107524 	
-49.9958 	 0.000117489 	
 0.0057065 	 0.000129126 	
 50.0027 	 0.00014163 	
 100.004 	 0.000152646 	
 150.004 	 0.000166792 	
 200.007 	 0.000180194 	
 250.004 	 0.000190591 	
 300.006 	 0.000196171 	
 350 	 0.000201372 	
 400.006 	 0.000204468 	
 450.003 	 0.000184588 	
 500.007 	 0.000185993 	
 800.007 	 0.000193069 	
 1100.01 	 0.000196109 	
 1400.01 	 0.000202946 	
 1700.02 	 0.000205166 	
 2000.02 	 0.000208832 	
 3300.04 	 0.00022813 	
 4600.05 	 0.000249049 	
 5900.07 	 0.000261844 	
 7200.06 	 0.00026826 	
 8500.05 	 0.000293766 	
 9800.02 	 0.000315734 	
 11100 	 0.000326446 	
 12400 	 0.000342437 	
 13700 	 0.000344506 	
 15000 	 0.00033899 	

	
	
