Start Time:  10/13/2021 5:06:00 PM        Time Completed:  10/13/2021 5:25:42 PM    Elapsed Time:  00:19:43
Sample ID:     Co4_OOP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211013_Co4_OOP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211013_Co4_OOP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211013_Co4_OOP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	 0.00000482218 	
 13700 	 0.0000345791 	
 12400 	 0.0000653157 	
 11100 	 0.0000936221 	
 9799.99 	 0.000132052 	
 8499.97 	 0.000160829 	
 7199.95 	 0.000181473 	
 5899.95 	 0.00018734 	
 4599.96 	 0.000191093 	
 3299.95 	 0.000194601 	
 1999.96 	 0.00020243 	
 1699.98 	 0.000203226 	
 1399.98 	 0.000208105 	
 1099.98 	 0.000205462 	
 799.982 	 0.000207282 	
 499.985 	 0.000205028 	
 449.989 	 0.000208141 	
 399.991 	 0.000208206 	
 349.991 	 0.000208695 	
 299.993 	 0.000208152 	
 249.989 	 0.000209223 	
 199.995 	 0.000207954 	
 149.991 	 0.000209109 	
 99.9947 	 0.000208316 	
 49.994 	 0.000209007 	
-0.00509183 	 0.00020707 	
-50.0056 	 0.000196357 	
-100.006 	 0.000179996 	
-150.004 	 0.000179265 	
-200.003 	 0.000180481 	
-250.006 	 0.00018002 	
-300.007 	 0.000179357 	
-350.005 	 0.000179758 	
-400.004 	 0.000180881 	
-450.008 	 0.00018001 	
-500.005 	 0.000181163 	
-800.011 	 0.000183048 	
-1100.02 	 0.000192621 	
-1400.02 	 0.000195388 	
-1700.02 	 0.000195211 	
-2000.02 	 0.00019641 	
-3300.05 	 0.000199019 	
-4600.06 	 0.000205751 	
-5900.06 	 0.00020653 	
-7200.06 	 0.000222461 	
-8500.05 	 0.000242246 	
-9800.03 	 0.000265066 	
-11100 	 0.000299178 	
-12400 	 0.000329608 	
-13700 	 0.000363168 	
-15000 	 0.000393556 	
-13700 	 0.000362542 	
-12400 	 0.000330736 	
-11100 	 0.000297317 	
-9799.98 	 0.000268142 	
-8499.97 	 0.000244474 	
-7199.96 	 0.0002161 	
-5899.96 	 0.00021351 	
-4599.96 	 0.000203021 	
-3299.98 	 0.000198985 	
-1999.96 	 0.000197947 	
-1699.98 	 0.000193751 	
-1399.98 	 0.000195919 	
-1099.98 	 0.000197222 	
-799.977 	 0.000197723 	
-499.979 	 0.000196019 	
-449.989 	 0.00019649 	
-399.991 	 0.000195672 	
-349.992 	 0.000196369 	
-299.993 	 0.00019793 	
-249.992 	 0.000195603 	
-199.993 	 0.000196328 	
-149.995 	 0.000197161 	
-99.9926 	 0.000197646 	
-49.9912 	 0.000198875 	
 0.00790341 	 0.000199504 	
 50.0068 	 0.000209921 	
 100.009 	 0.000228908 	
 150.009 	 0.000229228 	
 200.006 	 0.000229832 	
 250.004 	 0.000228555 	
 300.01 	 0.000229526 	

	
	
