Start Time:  10/13/2021 12:40:00 PM       Time Completed:  10/13/2021 1:04:37 PM    Elapsed Time:  00:24:37
Sample ID:     Co8_OOP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211013_Co8_OOP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211013_Co8_OOP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211013_Co8_OOP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	 0.0000744601 	
 13700 	 0.000102805 	
 12400 	 0.000125738 	
 11100 	 0.000137711 	
 9799.98 	 0.000147427 	
 8499.96 	 0.000146608 	
 7199.96 	 0.000150952 	
 5899.97 	 0.000152344 	
 4599.95 	 0.000154252 	
 3299.94 	 0.0001617 	
 1999.96 	 0.000160533 	
 1699.97 	 0.000164103 	
 1399.98 	 0.000163729 	
 1099.98 	 0.000168707 	
 799.976 	 0.000167665 	
 499.982 	 0.000167563 	
 449.992 	 0.000170402 	
 399.995 	 0.0001685 	
 349.989 	 0.00016831 	
 299.992 	 0.00016886 	
 249.995 	 0.000167413 	
 199.995 	 0.000166565 	
 149.993 	 0.00016447 	
 99.992 	 0.000158809 	
 49.9907 	 0.00015268 	
-0.00850827 	 0.000145083 	
-50.0064 	 0.000132965 	
-100.007 	 0.000118082 	
-150.004 	 0.000111425 	
-200.004 	 0.000105439 	
-250.007 	 0.00010449 	
-300.008 	 0.000104077 	
-350.004 	 0.000102985 	
-400.009 	 0.000102542 	
-450.005 	 0.000101912 	
-500.005 	 0.000109332 	
-800.009 	 0.000109549 	
-1100.02 	 0.000108769 	
-1400.02 	 0.000109957 	
-1700.02 	 0.000111185 	
-2000.02 	 0.000113257 	
-3300.05 	 0.000115929 	
-4600.06 	 0.000114263 	
-5900.08 	 0.000123009 	
-7200.06 	 0.00012254 	
-8500.05 	 0.000125438 	
-9800.02 	 0.000128974 	
-11100 	 0.000136128 	
-12400 	 0.000148652 	
-13700 	 0.000167839 	
-15000 	 0.000196801 	
-13700 	 0.000168403 	
-12400 	 0.000147638 	
-11100 	 0.00014089 	
-9799.99 	 0.0001319 	
-8499.98 	 0.000132186 	
-7199.96 	 0.00012995 	
-5899.96 	 0.000132009 	
-4599.97 	 0.000126126 	
-3299.97 	 0.00012206 	
-1999.96 	 0.000124321 	
-1699.98 	 0.000120448 	
-1399.98 	 0.000123446 	
-1099.98 	 0.000123556 	
-799.977 	 0.00012194 	
-499.982 	 0.000124589 	
-449.994 	 0.000123577 	
-399.994 	 0.000125443 	
-349.992 	 0.000125747 	
-299.989 	 0.000127192 	
-249.994 	 0.00012871 	
-199.99 	 0.000132714 	
-149.996 	 0.000134816 	
-99.994 	 0.000141238 	
-49.9976 	 0.000148743 	
 0.00597212 	 0.000157664 	
 50.0043 	 0.000171335 	
 100.007 	 0.000185835 	
 150.004 	 0.00019589 	
 200.004 	 0.000199588 	
 250.009 	 0.000203551 	
 300.005 	 0.000204791 	
 350.004 	 0.00020802 	
 400.006 	 0.000207667 	
 450.003 	 0.000208014 	
 500.011 	 0.000203949 	
 800.009 	 0.000203364 	
 1100.01 	 0.000200612 	
 1400.01 	 0.000203958 	
 1700.02 	 0.00020225 	
 2000.02 	 0.000203116 	
 3300.02 	 0.000200112 	
 4600.05 	 0.000195162 	
 5900.06 	 0.000195671 	
 7200.06 	 0.000191817 	
 8500.04 	 0.000194166 	
 9800.02 	 0.000191071 	
 11100 	 0.000183992 	
 12400 	 0.000175949 	
 13700 	 0.000156333 	
 15000 	 0.000128533 	

	
	
