Start Time:  10/14/2021 2:38:25 PM        Time Completed:  10/14/2021 3:03:26 PM    Elapsed Time:  00:25:00
Sample ID:     Co2_OOP_500G_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211014_Co2_OOP_500G_7p5mm#3.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211014_Co2_OOP_500G_7p5mm#3.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211014_Co2_OOP_500G_7p5mm#3.dat

***DATA***

Field(G)	 Moment(emu)	
 499.988 	-0.00000860596 	
 483.322 	-0.00000759494 	
 466.668 	-0.00000785365 	
 449.996 	-0.00000793115 	
 433.334 	-0.00000597823 	
 416.656 	-0.00000484117 	
 399.984 	-0.00000426245 	
 383.337 	-0.00000263273 	
 366.656 	-0.000000791986 	
 349.998 	-0.00000136538 	
 333.319 	-0.00000124012 	
 316.666 	 0.000000971934 	
 300.005 	-0.000000518135 	
 283.334 	 0.000000124219 	
 266.663 	 0.0000016234 	
 250.001 	 0.00000336291 	
 233.342 	 0.000001718 	
 216.671 	 0.00000356891 	
 200.001 	 0.00000153801 	
 183.325 	 0.00000139207 	
 166.659 	-0.000000255704 	
 150 	-0.0000026667 	
 133.33 	-0.00000619999 	
 116.667 	-0.0000124333 	
 100.003 	-0.0000187501 	
 83.3056 	-0.000023495 	
 66.6559 	-0.0000304187 	
 49.982 	-0.0000342202 	
 44.1086 	-0.0000363625 	
 38.2456 	-0.0000370038 	
 32.3375 	-0.0000395545 	
 26.4645 	-0.0000397315 	
 20.5741 	-0.000040417 	
 14.7016 	-0.0000427034 	
 8.80981 	-0.0000446761 	
 2.95023 	-0.0000457949 	
-2.95243 	-0.0000468656 	
-8.83703 	-0.0000477053 	
-14.7189 	-0.0000479652 	
-20.5957 	-0.0000494634 	
-26.4673 	-0.0000495837 	
-32.3564 	-0.0000509014 	
-38.236 	-0.000049837 	
-44.1271 	-0.0000517705 	
-50.0035 	-0.0000523457 	
-66.6702 	-0.0000559391 	
-83.3494 	-0.0000583886 	
-100.012 	-0.000059184 	
-116.668 	-0.0000648014 	
-133.35 	-0.0000691235 	
-150.006 	-0.0000704994 	
-166.684 	-0.0000800139 	
-183.327 	-0.0000837183 	
-200.006 	-0.0000898156 	
-216.671 	-0.0000950155 	
-233.34 	-0.000102576 	
-250.002 	-0.000103984 	
-266.673 	-0.000106023 	
-283.346 	-0.000108824 	
-300.007 	-0.000108182 	
-316.675 	-0.000109659 	
-333.334 	-0.000109409 	
-350.003 	-0.000107559 	
-366.682 	-0.000107197 	
-383.347 	-0.000106969 	
-400.006 	-0.000108062 	
-416.668 	-0.000105161 	
-433.336 	-0.000106316 	
-450 	-0.000105363 	
-466.668 	-0.000104924 	
-483.349 	-0.00010427 	
-500.016 	-0.000105148 	
-483.878 	-0.000103258 	
-466.673 	-0.000106387 	
-450.005 	-0.000103447 	
-433.347 	-0.000104269 	
-416.674 	-0.000105161 	
-399.992 	-0.000103916 	
-383.335 	-0.00010574 	
-366.67 	-0.000105524 	
-350.003 	-0.000105135 	
-333.344 	-0.0001079 	
-316.665 	-0.000105424 	
-299.992 	-0.00010646 	
-283.334 	-0.000104965 	
-266.667 	-0.000106727 	
-250 	-0.00010555 	
-233.346 	-0.000107819 	
-216.676 	-0.000106754 	
-200.007 	-0.000103189 	
-183.333 	-0.000104536 	
-166.674 	-0.000102431 	
-150.004 	-0.000098967 	
-133.332 	-0.0000967734 	
-116.662 	-0.0000902043 	
-100.01 	-0.0000837807 	
-83.3511 	-0.0000764633 	
-66.6627 	-0.0000717469 	
-50.0012 	-0.0000645659 	
-44.1098 	-0.0000612042 	
-38.2405 	-0.0000603464 	
-32.3574 	-0.0000579377 	
-26.4701 	-0.000056634 	
-20.5837 	-0.0000539023 	
-14.7146 	-0.0000525329 	
-8.82652 	-0.0000489592 	
-2.94392 	-0.0000490002 	
 2.93079 	-0.0000469108 	
 8.82103 	-0.0000462517 	
 14.7001 	-0.0000451752 	
 20.5777 	-0.0000423421 	
 26.4717 	-0.0000415109 	
 32.3499 	-0.0000412604 	
 38.2329 	-0.0000384699 	
 44.1334 	-0.0000363504 	
 50.0027 	-0.0000361147 	
 66.642 	-0.0000333493 	
 83.3546 	-0.0000302623 	
 99.9996 	-0.0000260714 	
 116.667 	-0.0000224456 	
 133.331 	-0.0000187046 	
 149.998 	-0.0000130443 	
 166.658 	-0.00000820525 	
 183.33 	-0.00000350963 	
 199.99 	 0.00000264225 	
 216.666 	 0.0000115705 	
 233.34 	 0.000016585 	
 250.007 	 0.0000201855 	
 266.665 	 0.0000248976 	
 283.332 	 0.0000261196 	
 300.006 	 0.0000302157 	
 316.655 	 0.0000296877 	
 333.335 	 0.0000302243 	
 350.002 	 0.0000303966 	
 366.659 	 0.0000302103 	
 383.331 	 0.0000322876 	
 400.01 	 0.0000312979 	
 416.668 	 0.0000279352 	
 433.329 	 0.0000307514 	
 450 	 0.0000307754 	
 466.658 	 0.0000275914 	
 483.337 	 0.0000306812 	
 500.012 	 0.0000298018 	

	
	
