Start Time:  10/14/2021 11:40:00 AM       Time Completed:  10/14/2021 12:05:00 PM   Elapsed Time:  00:25:00
Sample ID:     Co3_OOP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211014_Co3_OOP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211014_Co3_OOP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211014_Co3_OOP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 500 	 0.000214766 	
 483.321 	 0.0002161 	
 466.673 	 0.000215036 	
 449.991 	 0.000216753 	
 433.332 	 0.000216927 	
 416.55 	 0.000218244 	
 400.013 	 0.000217596 	
 383.323 	 0.00021731 	
 366.668 	 0.000217445 	
 349.99 	 0.000217618 	
 333.335 	 0.000218021 	
 316.667 	 0.000217226 	
 299.987 	 0.000219257 	
 283.332 	 0.000219161 	
 266.661 	 0.000216776 	
 250.001 	 0.000217464 	
 233.324 	 0.000217041 	
 216.671 	 0.000216578 	
 199.992 	 0.000217846 	
 183.335 	 0.000216857 	
 166.657 	 0.000218277 	
 149.997 	 0.000216273 	
 133.33 	 0.000219712 	
 116.657 	 0.000218449 	
 99.9922 	 0.000218479 	
 83.3386 	 0.000218838 	
 66.6438 	 0.000217701 	
 49.9978 	 0.000218015 	
 44.1092 	 0.000215327 	
 38.2416 	 0.000218755 	
 32.3398 	 0.000216316 	
 26.4686 	 0.000217217 	
 20.575 	 0.000215859 	
 14.7023 	 0.000218301 	
 8.81006 	 0.000216451 	
 2.92754 	 0.000217787 	
-2.94993 	 0.000213932 	
-8.82652 	 0.000218935 	
-14.7029 	 0.000214812 	
-20.5947 	 0.000216346 	
-26.4681 	 0.00021576 	
-32.3652 	 0.00021695 	
-38.2212 	 0.000217154 	
-44.1276 	 0.000217684 	
-50.0047 	 0.000217794 	
-66.6812 	 0.000215311 	
-83.3509 	 0.000214448 	
-100.008 	 0.00021195 	
-116.662 	 0.000211359 	
-133.347 	 0.00021205 	
-150.014 	 0.000211777 	
-166.676 	 0.000211614 	
-183.354 	 0.000211743 	
-200.006 	 0.000209316 	
-216.684 	 0.000211216 	
-233.34 	 0.000210304 	
-250.005 	 0.000210274 	
-266.675 	 0.00021157 	
-283.331 	 0.00021137 	
-299.999 	 0.000209626 	
-316.675 	 0.000209176 	
-333.332 	 0.000210348 	
-350.02 	 0.000211036 	
-366.662 	 0.00021043 	
-383.346 	 0.000212161 	
-400.008 	 0.000210694 	
-416.679 	 0.000209385 	
-433.335 	 0.000211011 	
-450.022 	 0.000211703 	
-466.663 	 0.000210819 	
-483.34 	 0.000211063 	
-500.007 	 0.000212744 	
-483.343 	 0.000212111 	
-466.679 	 0.000211979 	
-449.997 	 0.000213807 	
-433.335 	 0.000210945 	
-416.67 	 0.000212431 	
-400.005 	 0.000212165 	
-383.341 	 0.000210659 	
-366.655 	 0.000211288 	
-350.006 	 0.000208705 	
-333.343 	 0.000210974 	
-316.667 	 0.000211691 	
-299.997 	 0.000208822 	
-283.347 	 0.000211952 	
-266.66 	 0.000210155 	
-250.009 	 0.000210729 	
-233.351 	 0.000209425 	
-216.676 	 0.000210896 	
-200.009 	 0.000211104 	
-183.344 	 0.000209264 	
-166.677 	 0.000208685 	
-150.01 	 0.000211491 	
-133.337 	 0.000209488 	
-116.677 	 0.000211236 	
-100.004 	 0.000209059 	
-83.3449 	 0.000209959 	
-66.6612 	 0.000209872 	
-50.0067 	 0.000209363 	
-44.1133 	 0.000209276 	
-38.238 	 0.000209575 	
-32.3572 	 0.000210613 	
-26.4648 	 0.000209722 	
-20.5932 	 0.000210673 	
-14.7051 	 0.000210856 	
-8.81601 	 0.000209677 	
-2.93942 	 0.000207654 	
 2.94425 	 0.00021128 	
 8.82278 	 0.000210765 	
 14.7018 	 0.000209977 	
 20.5834 	 0.000209976 	
 26.4903 	 0.000211168 	
 32.3593 	 0.000211938 	
 38.2301 	 0.000213796 	
 44.124 	 0.000211739 	
 49.9952 	 0.000214015 	
 66.6505 	 0.000214979 	
 83.3343 	 0.000215552 	
 99.9986 	 0.000214333 	
 116.663 	 0.000215751 	
 133.337 	 0.000215574 	
 149.989 	 0.000217057 	
 166.674 	 0.000218081 	
 183.336 	 0.000216098 	
 199.998 	 0.000215888 	
 216.666 	 0.000216906 	
 233.323 	 0.000217452 	
 250.016 	 0.000216635 	
 266.657 	 0.000216392 	
 283.335 	 0.000216541 	
 300.002 	 0.000214842 	
 316.665 	 0.000217349 	
 333.346 	 0.000216515 	
 350.004 	 0.000215696 	
 366.675 	 0.000219185 	
 383.329 	 0.000215386 	
 399.998 	 0.000216423 	
 416.649 	 0.000216533 	
 433.316 	 0.000215501 	
 450.002 	 0.000214209 	
 466.668 	 0.000215052 	
 483.337 	 0.000214681 	
 499.989 	 0.000215834 	

	
	
