Start Time:  10/14/2021 12:05:36 PM       Time Completed:  10/14/2021 12:30:19 PM   Elapsed Time:  00:24:42
Sample ID:     Co3_OOP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211014_Co3_OOP_1p5T_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211014_Co3_OOP_1p5T_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211014_Co3_OOP_1p5T_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000194813 	
 13700 	-0.000151077 	
 12400 	-0.000101698 	
 11100 	-0.0000552916 	
 9799.99 	-0.0000139383 	
 8499.98 	 0.0000350931 	
 7199.95 	 0.0000823283 	
 5899.96 	 0.000125519 	
 4599.97 	 0.000156611 	
 3299.96 	 0.000185552 	
 1999.96 	 0.0002023 	
 1699.98 	 0.000206168 	
 1399.98 	 0.000209373 	
 1099.98 	 0.000211076 	
 799.979 	 0.00021626 	
 499.98 	 0.000216127 	
 449.988 	 0.000219039 	
 399.988 	 0.000217336 	
 349.993 	 0.00021743 	
 299.99 	 0.000217694 	
 249.992 	 0.000217403 	
 199.993 	 0.000220424 	
 149.994 	 0.000217729 	
 99.9896 	 0.000218458 	
 49.9941 	 0.000219746 	
-0.00288132 	 0.000216411 	
-50.0091 	 0.000214918 	
-100.001 	 0.000213088 	
-150.001 	 0.000211954 	
-200.009 	 0.000211461 	
-250.003 	 0.000209975 	
-300.008 	 0.000211606 	
-350.006 	 0.000211597 	
-400.002 	 0.000212526 	
-450.005 	 0.000211549 	
-500.009 	 0.000210041 	
-800.011 	 0.000214081 	
-1100.02 	 0.00021712 	
-1400.01 	 0.000220465 	
-1700.02 	 0.000225228 	
-2000.02 	 0.000227835 	
-3300.04 	 0.000246998 	
-4600.06 	 0.000263591 	
-5900.07 	 0.000298079 	
-7200.06 	 0.000345108 	
-8500.04 	 0.000394945 	
-9800.03 	 0.000438021 	
-11100 	 0.000486903 	
-12400 	 0.000534973 	
-13700 	 0.000582402 	
-15000 	 0.000627594 	
-13700 	 0.000581314 	
-12400 	 0.000535773 	
-11100 	 0.000487272 	
-9799.98 	 0.000440926 	
-8499.97 	 0.000392985 	
-7199.96 	 0.0003493 	
-5899.96 	 0.000302563 	
-4599.97 	 0.000268669 	
-3299.99 	 0.000241828 	
-1999.96 	 0.000224137 	
-1699.98 	 0.0002223 	
-1399.97 	 0.000221139 	
-1099.98 	 0.000214483 	
-799.98 	 0.000215365 	
-499.978 	 0.00021279 	
-449.991 	 0.000209961 	
-399.99 	 0.000210822 	
-349.997 	 0.00021087 	
-299.995 	 0.00021067 	
-249.989 	 0.000211691 	
-199.99 	 0.000208972 	
-149.994 	 0.000211047 	
-99.9942 	 0.000211643 	
-49.9931 	 0.000210365 	
 0.0104446 	 0.000212132 	
 50.0054 	 0.000213761 	
 100.005 	 0.000215587 	
 150.006 	 0.000216771 	
 200.002 	 0.000217026 	
 250.007 	 0.000218501 	
 300.006 	 0.000218172 	
 350.01 	 0.000218145 	
 400.006 	 0.000217606 	
 450.005 	 0.00021674 	
 500.002 	 0.00021763 	
 800.012 	 0.000216261 	
 1100.01 	 0.000211697 	
 1400.02 	 0.000207552 	
 1700.02 	 0.00020551 	
 2000.02 	 0.000200444 	
 3300.04 	 0.000176617 	
 4600.06 	 0.000157101 	
 5900.06 	 0.000118958 	
 7200.08 	 0.0000785384 	
 8500.05 	 0.0000395143 	
 9800.03 	-0.00000553875 	
 11100 	-0.0000546828 	
 12400 	-0.000104523 	
 13700 	-0.000147707 	
 15000 	-0.000196271 	

	
	
