Start Time:  10/21/2021 3:06:06 PM        Time Completed:  10/21/2021 3:30:44 PM    Elapsed Time:  00:24:37
Sample ID:     Co1-Anneal00_OOP_500G_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211021_Co1-Anneal00_OOP_500G_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211021_Co1-Anneal00_OOP_500G_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211021_Co1-Anneal00_OOP_500G_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000338219 	
 13700 	-0.000291587 	
 12400 	-0.00024261 	
 11100 	-0.000199244 	
 9799.99 	-0.00014874 	
 8499.96 	-0.000101415 	
 7199.95 	-0.0000496176 	
 5899.95 	-0.00000167738 	
 4599.96 	 0.0000451934 	
 3299.95 	 0.0000969862 	
 1999.96 	 0.000143287 	
 1699.97 	 0.000156108 	
 1399.98 	 0.000166306 	
 1099.98 	 0.00017732 	
 799.982 	 0.000190402 	
 499.979 	 0.000198257 	
 449.988 	 0.00020122 	
 399.99 	 0.00020224 	
 349.996 	 0.000204364 	
 299.992 	 0.00020572 	
 249.996 	 0.000208098 	
 199.993 	 0.000210494 	
 149.992 	 0.000210737 	
 99.9963 	 0.000213662 	
 49.9923 	 0.000214153 	
-0.00687762 	 0.000216891 	
-50.0073 	 0.000216454 	
-100.006 	 0.000219182 	
-150.002 	 0.000220377 	
-200 	 0.000223451 	
-250.007 	 0.000225104 	
-300.008 	 0.00022607 	
-350 	 0.000228175 	
-400.004 	 0.000229231 	
-450.004 	 0.000231817 	
-500.003 	 0.000232958 	
-800.011 	 0.000243681 	
-1100.01 	 0.000255752 	
-1400.02 	 0.000264575 	
-1700.02 	 0.000276741 	
-2000.02 	 0.000285281 	
-3300.05 	 0.000336924 	
-4600.05 	 0.000392662 	
-5900.08 	 0.000429891 	
-7200.07 	 0.000485234 	
-8500.05 	 0.000530593 	
-9800.02 	 0.000580363 	
-11100 	 0.000628321 	
-12400 	 0.000675093 	
-13700 	 0.000724212 	
-15000 	 0.000768188 	
-13700 	 0.000721959 	
-12400 	 0.000671649 	
-11100 	 0.000626598 	
-9799.97 	 0.000578987 	
-8499.97 	 0.000530385 	
-7199.96 	 0.000488929 	
-5899.96 	 0.000431453 	
-4599.98 	 0.000384703 	
-3300 	 0.00033513 	
-1999.97 	 0.000285977 	
-1699.98 	 0.000277526 	
-1399.98 	 0.000263734 	
-1099.98 	 0.000252494 	
-799.981 	 0.00024157 	
-499.982 	 0.000232405 	
-449.992 	 0.000231404 	
-399.993 	 0.000231322 	
-349.994 	 0.000227924 	
-299.993 	 0.000226205 	
-249.991 	 0.000226129 	
-199.994 	 0.000223655 	
-149.992 	 0.000219733 	
-99.9937 	 0.000220928 	
-49.9937 	 0.000218152 	
 0.00716748 	 0.000216415 	
 50.0048 	 0.000215045 	
 100.006 	 0.000213119 	
 150.009 	 0.000211173 	
 200.008 	 0.000210174 	
 250.005 	 0.000208124 	
 300.004 	 0.000206821 	
 350.007 	 0.00020424 	
 400.007 	 0.000203198 	
 450.001 	 0.000201524 	
 499.999 	 0.000198033 	
 800.013 	 0.000188105 	
 1100.01 	 0.000177895 	
 1400.02 	 0.000166877 	
 1700.01 	 0.000155732 	
 2000.02 	 0.000144878 	
 3300.04 	 0.0000959971 	
 4600.06 	 0.0000465551 	
 5900.05 	-0.00000201248 	
 7200.07 	-0.000049953 	
 8500.05 	-0.000104119 	
 9800.03 	-0.000155164 	
 11100 	-0.000191965 	
 12400 	-0.0002425 	
 13700 	-0.000289853 	
 15000 	-0.000338646 	

	
	
