Start Time:  10/21/2021 4:05:00 PM        Time Completed:  10/21/2021 4:30:01 PM    Elapsed Time:  00:25:01
Sample ID:     Co2-Anneal00_OOP_500G_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211021_Co2-Anneal00_OOP_500G_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211021_Co2-Anneal00_OOP_500G_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211021_Co2-Anneal00_OOP_500G_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 500.008 	 0.000243226 	
 483.33 	 0.000241452 	
 466.656 	 0.000243268 	
 450.003 	 0.000242401 	
 433.327 	 0.000241377 	
 416.669 	 0.000243384 	
 399.995 	 0.000242959 	
 383.325 	 0.000242935 	
 366.659 	 0.000241057 	
 349.996 	 0.000240538 	
 333.326 	 0.000241177 	
 316.656 	 0.000238368 	
 299.988 	 0.000240067 	
 283.331 	 0.000238997 	
 266.665 	 0.000239827 	
 250.003 	 0.000238759 	
 233.331 	 0.000237319 	
 216.659 	 0.000237867 	
 199.985 	 0.000236731 	
 183.315 	 0.000235357 	
 166.669 	 0.000232129 	
 149.996 	 0.000232092 	
 133.327 	 0.000233011 	
 116.661 	 0.00022934 	
 99.9905 	 0.000229583 	
 83.3268 	 0.000226726 	
 66.6498 	 0.000226084 	
 49.9959 	 0.000223234 	
 44.1017 	 0.0002226 	
 38.2143 	 0.00022172 	
 32.3487 	 0.000220384 	
 26.4547 	 0.000219987 	
 20.5757 	 0.00021989 	
 14.6931 	 0.000217725 	
 8.81629 	 0.000218151 	
 2.94275 	 0.000216678 	
-2.94968 	 0.000218637 	
-8.82752 	 0.000217856 	
-14.7154 	 0.000215598 	
-20.5955 	 0.000215835 	
-26.4888 	 0.000214023 	
-32.3602 	 0.00021416 	
-38.2485 	 0.000214187 	
-44.1126 	 0.000212227 	
-50.0025 	 0.000211017 	
-66.6612 	 0.00020999 	
-83.3506 	 0.00020899 	
-100.019 	 0.000206659 	
-116.665 	 0.00020405 	
-133.341 	 0.0002029 	
-150.004 	 0.000201398 	
-166.681 	 0.000199581 	
-183.354 	 0.000196636 	
-200.005 	 0.000195027 	
-216.671 	 0.000194157 	
-233.356 	 0.000194611 	
-250.007 	 0.000195579 	
-266.678 	 0.000191523 	
-283.346 	 0.000189161 	
-300.006 	 0.000190746 	
-316.671 	 0.000189439 	
-333.344 	 0.000191052 	
-350.009 	 0.000189596 	
-366.678 	 0.000189429 	
-383.33 	 0.000189185 	
-400.025 	 0.000189107 	
-416.671 	 0.000188843 	
-433.347 	 0.000187247 	
-450.014 	 0.000190139 	
-466.671 	 0.000187674 	
-483.35 	 0.000188088 	
-500.006 	 0.000189427 	
-483.325 	 0.00018736 	
-466.667 	 0.000188048 	
-449.993 	 0.000189703 	
-433.348 	 0.000189048 	
-416.668 	 0.00018993 	
-400.003 	 0.000187002 	
-383.342 	 0.000188553 	
-366.668 	 0.000189749 	
-350.001 	 0.000189567 	
-333.327 	 0.000190293 	
-316.672 	 0.000191503 	
-299.999 	 0.00019258 	
-283.318 	 0.000190914 	
-266.671 	 0.000192446 	
-250.015 	 0.000191548 	
-233.339 	 0.00019673 	
-216.679 	 0.000193606 	
-199.992 	 0.000196337 	
-183.339 	 0.000197652 	
-166.671 	 0.00020032 	
-150.005 	 0.000197373 	
-133.338 	 0.000197766 	
-116.663 	 0.000201576 	
-100 	 0.000202852 	
-83.3417 	 0.00020328 	
-66.663 	 0.00020528 	
-50.0102 	 0.000207254 	
-44.1286 	 0.000208279 	
-38.2365 	 0.00020858 	
-32.3567 	 0.00021075 	
-26.4743 	 0.000210027 	
-20.5892 	 0.000212692 	
-14.7114 	 0.000210879 	
-8.82577 	 0.000212232 	
-2.94092 	 0.000212082 	
 2.9455 	 0.000213758 	
 8.82527 	 0.000215896 	
 14.6956 	 0.000213922 	
 20.579 	 0.00021588 	
 26.4681 	 0.000214382 	
 32.3431 	 0.000217116 	
 38.2226 	 0.000218273 	
 44.1127 	 0.000217446 	
 49.9889 	 0.000217981 	
 66.6683 	 0.000221664 	
 83.339 	 0.000223349 	
 99.9988 	 0.000224414 	
 116.667 	 0.000225672 	
 133.328 	 0.000228432 	
 149.996 	 0.000231639 	
 166.666 	 0.000232168 	
 183.344 	 0.000234483 	
 199.995 	 0.000234239 	
 216.667 	 0.000236004 	
 233.331 	 0.000237046 	
 249.998 	 0.000237721 	
 266.652 	 0.000238701 	
 283.323 	 0.000240594 	
 299.988 	 0.000240673 	
 316.67 	 0.000241718 	
 333.335 	 0.000241168 	
 349.992 	 0.000240829 	
 366.671 	 0.000241518 	
 383.328 	 0.000241725 	
 400 	 0.000243949 	
 416.668 	 0.000243622 	
 433.328 	 0.000243174 	
 449.995 	 0.000243508 	
 466.662 	 0.000242927 	
 483.337 	 0.000241498 	
 499.999 	 0.000243114 	

	
	
