Start Time:  10/22/2021 3:10:20 PM        Time Completed:  10/22/2021 3:34:58 PM    Elapsed Time:  00:24:37
Sample ID:     Co12-Anneal00_OOP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211022_Co12-Anneal00_OOP_1p5T_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211022_Co12-Anneal00_OOP_1p5T_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211022_Co12-Anneal00_OOP_1p5T_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	 0.000187044 	
 13700 	 0.000243275 	
 12400 	 0.000298087 	
 11100 	 0.000328355 	
 9799.98 	 0.000336148 	
 8499.97 	 0.000328676 	
 7199.96 	 0.000316442 	
 5899.97 	 0.000313424 	
 4599.97 	 0.000293108 	
 3299.94 	 0.000279836 	
 1999.96 	 0.000258598 	
 1699.97 	 0.000254974 	
 1399.98 	 0.000250567 	
 1099.98 	 0.000248116 	
 799.977 	 0.000239508 	
 499.979 	 0.000235983 	
 449.991 	 0.000233157 	
 399.995 	 0.000232708 	
 349.987 	 0.000231031 	
 299.993 	 0.000230181 	
 249.995 	 0.000227407 	
 199.992 	 0.000227922 	
 149.994 	 0.000225637 	
 99.9944 	 0.000223951 	
 49.993 	 0.000222621 	
-0.0038509 	 0.000220666 	
-50.0075 	 0.000219792 	
-100.007 	 0.00021703 	
-150.007 	 0.000215796 	
-200.005 	 0.000212739 	
-250.006 	 0.000211262 	
-300.006 	 0.000211811 	
-350.009 	 0.000209303 	
-400.007 	 0.000207226 	
-450.006 	 0.000206631 	
-500.005 	 0.000205937 	
-800.015 	 0.000197876 	
-1100.02 	 0.000185109 	
-1400.02 	 0.000180604 	
-1700.02 	 0.00017618 	
-2000.02 	 0.000173655 	
-3300.05 	 0.000152459 	
-4600.06 	 0.000144936 	
-5900.06 	 0.000133827 	
-7200.06 	 0.00011201 	
-8500.04 	 0.0000965435 	
-9800.03 	 0.0000968049 	
-11100 	 0.00010158 	
-12400 	 0.000138457 	
-13700 	 0.000189608 	
-15000 	 0.000243041 	
-13700 	 0.000188167 	
-12400 	 0.000137325 	
-11100 	 0.000103255 	
-9799.99 	 0.0000978699 	
-8499.97 	 0.000101479 	
-7199.96 	 0.000113578 	
-5899.97 	 0.000128209 	
-4599.97 	 0.000140714 	
-3299.99 	 0.000156439 	
-1999.97 	 0.000176055 	
-1699.98 	 0.000174529 	
-1399.98 	 0.000180397 	
-1099.98 	 0.000185187 	
-799.976 	 0.000192506 	
-499.985 	 0.000199748 	
-449.988 	 0.000198768 	
-399.993 	 0.000200426 	
-349.99 	 0.000201134 	
-299.99 	 0.000202706 	
-249.993 	 0.000204236 	
-199.996 	 0.00020514 	
-149.994 	 0.000207216 	
-99.9937 	 0.000208757 	
-49.9912 	 0.000210073 	
 0.00279895 	 0.000211153 	
 50.0035 	 0.000214269 	
 100.003 	 0.000215926 	
 150.003 	 0.000217807 	
 200.002 	 0.000221094 	
 250.005 	 0.000220489 	
 300.006 	 0.00022218 	
 350.008 	 0.000222671 	
 399.998 	 0.000226129 	
 450.004 	 0.00022653 	
 500.004 	 0.000227047 	
 800.011 	 0.00023534 	
 1100.02 	 0.00024892 	
 1400.02 	 0.000250501 	
 1700.02 	 0.00025808 	
 2000.02 	 0.000261175 	
 3300.04 	 0.000271842 	
 4600.05 	 0.000291234 	
 5900.06 	 0.000298635 	
 7200.07 	 0.000317404 	
 8500.04 	 0.000332796 	
 9800.02 	 0.000335347 	
 11100 	 0.000330772 	
 12400 	 0.000295453 	
 13700 	 0.000243058 	
 15000 	 0.000188851 	

	
	
