Start Time:  10/22/2021 11:52:48 AM       Time Completed:  10/22/2021 12:02:40 PM   Elapsed Time:  00:09:51
Sample ID:     Co3-Anneal00_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1kG\Jason_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211022_Co3-Anneal00_OOP_1kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211022_Co3-Anneal00_OOP_1kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1kG\Jason_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211022_Co3-Anneal00_OOP_1kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 1000 	 0.000253441 	
 900.002 	 0.000254674 	
 799.997 	 0.000252945 	
 699.998 	 0.000253855 	
 599.993 	 0.000251746 	
 499.985 	 0.000247852 	
 479.996 	 0.000249315 	
 459.994 	 0.000248637 	
 440.001 	 0.000248409 	
 420.002 	 0.000247774 	
 399.995 	 0.000245013 	
 380.004 	 0.00024373 	
 227.981 	 0.000239034 	
 75.9865 	 0.000227415 	
-76.0159 	 0.000218273 	
-228.021 	 0.00020943 	
-380.017 	 0.000196985 	
-400.011 	 0.000196921 	
-420.006 	 0.000196759 	
-440.006 	 0.000195693 	
-460.007 	 0.000193354 	
-480.001 	 0.000194048 	
-500.001 	 0.000192523 	
-600.019 	 0.000191845 	
-700.02 	 0.000187601 	
-800.016 	 0.000184399 	
-900.01 	 0.00018139 	
-1000.02 	 0.000183375 	
-900.006 	 0.000182775 	
-799.999 	 0.000182158 	
-699.992 	 0.000184495 	
-600.001 	 0.000186817 	
-499.991 	 0.000187702 	
-480.006 	 0.00018686 	
-460.001 	 0.000189899 	
-439.999 	 0.000190819 	
-419.995 	 0.000189714 	
-399.992 	 0.000190495 	
-379.991 	 0.000190522 	
-228.002 	 0.000197913 	
-75.9964 	 0.000207395 	
 76.0043 	 0.000218287 	
 228.01 	 0.000228995 	
 380.01 	 0.000237508 	
 400.002 	 0.000240727 	
 419.997 	 0.000241337 	
 440.005 	 0.000241578 	
 460.006 	 0.000242487 	
 480.004 	 0.000243512 	
 500.005 	 0.000242905 	
 600.009 	 0.000245848 	
 700.005 	 0.000248718 	
 800.009 	 0.000250876 	
 900.005 	 0.000250498 	
 1000.02 	 0.000251647 	

	
	
