Start Time:  10/22/2021 11:26:56 AM       Time Completed:  10/22/2021 11:51:36 AM   Elapsed Time:  00:24:39
Sample ID:     Co3-Anneal00_OOP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211022_Co3-Anneal00_OOP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211022_Co3-Anneal00_OOP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211022_Co3-Anneal00_OOP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000473717 	
 13700 	-0.000403128 	
 12400 	-0.000333431 	
 11100 	-0.000261779 	
 9799.97 	-0.000188649 	
 8499.96 	-0.000116783 	
 7199.95 	-0.0000399242 	
 5899.96 	 0.0000283771 	
 4599.96 	 0.000104738 	
 3299.94 	 0.000168768 	
 1999.96 	 0.000233128 	
 1699.98 	 0.000245373 	
 1399.98 	 0.000250781 	
 1099.98 	 0.000256165 	
 799.978 	 0.000254324 	
 499.977 	 0.0002504 	
 449.987 	 0.000247786 	
 399.995 	 0.00024624 	
 349.992 	 0.00024652 	
 299.997 	 0.000242419 	
 249.997 	 0.000240037 	
 199.991 	 0.000237407 	
 149.993 	 0.000234155 	
 99.9933 	 0.000230193 	
 49.9952 	 0.000226584 	
-0.00809239 	 0.000222694 	
-50.0047 	 0.000220063 	
-100.004 	 0.000215828 	
-150.003 	 0.000211402 	
-200.005 	 0.000208856 	
-250.006 	 0.00020573 	
-300.004 	 0.000200282 	
-350.006 	 0.000199835 	
-400.007 	 0.000196599 	
-450.006 	 0.000194416 	
-500.004 	 0.000191561 	
-800.012 	 0.000183927 	
-1100.01 	 0.000181538 	
-1400.02 	 0.000186292 	
-1700.02 	 0.000193723 	
-2000.02 	 0.000202075 	
-3300.05 	 0.000265706 	
-4600.06 	 0.000330626 	
-5900.07 	 0.000403306 	
-7200.05 	 0.000476661 	
-8500.04 	 0.000556892 	
-9800.02 	 0.000624913 	
-11100 	 0.00069948 	
-12400 	 0.000767906 	
-13700 	 0.000841263 	
-15000 	 0.000913565 	
-13700 	 0.000837036 	
-12400 	 0.000768171 	
-11100 	 0.000698862 	
-9799.98 	 0.000625399 	
-8499.98 	 0.000552597 	
-7199.96 	 0.000485934 	
-5899.97 	 0.000412969 	
-4599.97 	 0.000333696 	
-3299.98 	 0.000261515 	
-1999.96 	 0.000201366 	
-1699.98 	 0.000194529 	
-1399.98 	 0.000184539 	
-1099.98 	 0.0001817 	
-799.982 	 0.000182615 	
-499.98 	 0.00018823 	
-449.992 	 0.000188333 	
-399.993 	 0.000188572 	
-349.991 	 0.00019125 	
-299.991 	 0.000193428 	
-249.994 	 0.000195539 	
-199.993 	 0.000199334 	
-149.989 	 0.000200402 	
-99.9942 	 0.000202642 	
-49.9943 	 0.000208327 	
 0.0043211 	 0.000213786 	
 50.0017 	 0.000215697 	
 100.004 	 0.00022014 	
 150.008 	 0.000223068 	
 200.005 	 0.000226125 	
 250.006 	 0.000229155 	
 300.004 	 0.000232281 	
 350.005 	 0.000235112 	
 400.002 	 0.000238919 	
 450.006 	 0.000239668 	
 500.003 	 0.000242415 	
 800.014 	 0.000249668 	
 1100.01 	 0.000252061 	
 1400.02 	 0.000249108 	
 1700.01 	 0.000240998 	
 2000.02 	 0.000231107 	
 3300.04 	 0.00016839 	
 4600.05 	 0.0000967715 	
 5900.07 	 0.000022129 	
 7200.07 	-0.0000496533 	
 8500.05 	-0.000126223 	
 9800.03 	-0.000186063 	
 11100 	-0.000259017 	
 12400 	-0.000334039 	
 13700 	-0.000405178 	
 15000 	-0.000474765 	

	
	
