Start Time:  10/22/2021 11:00:00 AM       Time Completed:  10/22/2021 11:25:04 AM   Elapsed Time:  00:25:04
Sample ID:     Co3-Anneal00_OOP_500G_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211022_Co3-Anneal00_OOP_500G_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211022_Co3-Anneal00_OOP_500G_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211022_Co3-Anneal00_OOP_500G_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 499.985 	 0.000246969 	
 483.337 	 0.000247023 	
 466.67 	 0.000244886 	
 449.996 	 0.0002436 	
 433.322 	 0.000244082 	
 416.658 	 0.000244391 	
 399.999 	 0.000242295 	
 383.334 	 0.000243407 	
 366.659 	 0.000240562 	
 350.001 	 0.000240107 	
 333.325 	 0.00024131 	
 316.667 	 0.000238429 	
 299.993 	 0.00023675 	
 283.331 	 0.000237665 	
 266.661 	 0.000237594 	
 249.994 	 0.000236836 	
 233.323 	 0.000234984 	
 216.664 	 0.000232884 	
 199.999 	 0.000232271 	
 183.322 	 0.000231733 	
 166.659 	 0.000232124 	
 149.98 	 0.000232141 	
 133.33 	 0.000226767 	
 116.673 	 0.000227532 	
 99.9941 	 0.000226718 	
 83.3112 	 0.000225031 	
 66.6569 	 0.000223973 	
 49.9807 	 0.000222029 	
 44.103 	 0.000222385 	
 38.239 	 0.000222869 	
 32.3567 	 0.000222789 	
 26.4599 	 0.000221789 	
 20.5717 	 0.000222537 	
 14.7093 	 0.000221284 	
 8.82502 	 0.000219841 	
 2.93976 	 0.000220724 	
-2.95418 	 0.000216896 	
-8.83277 	 0.000217648 	
-14.7079 	 0.000218044 	
-20.5872 	 0.000219288 	
-26.4756 	 0.000218105 	
-32.3492 	 0.000215658 	
-38.25 	 0.000215728 	
-44.1319 	 0.000216628 	
-50.0152 	 0.000214717 	
-66.6697 	 0.000214628 	
-83.3417 	 0.00021447 	
-100.005 	 0.000210751 	
-116.681 	 0.000212229 	
-133.348 	 0.0002078 	
-150.006 	 0.000206821 	
-166.675 	 0.000207201 	
-183.343 	 0.000204112 	
-200.019 	 0.000207042 	
-216.685 	 0.000204749 	
-233.347 	 0.000203002 	
-250.006 	 0.000203042 	
-266.686 	 0.000200851 	
-283.344 	 0.000199003 	
-299.993 	 0.000198263 	
-316.673 	 0.000197483 	
-333.344 	 0.000198442 	
-350.006 	 0.00019687 	
-366.663 	 0.000197098 	
-383.342 	 0.000193108 	
-400.014 	 0.000193353 	
-416.667 	 0.000192551 	
-433.335 	 0.00019243 	
-450.014 	 0.000191523 	
-466.662 	 0.000190211 	
-483.338 	 0.000191435 	
-500.01 	 0.000188424 	
-483.341 	 0.000189502 	
-466.669 	 0.000191214 	
-453.197 	 0.000190434 	
-433.333 	 0.000191914 	
-416.677 	 0.000190808 	
-400.011 	 0.000192406 	
-383.332 	 0.000194714 	
-366.67 	 0.000193629 	
-350.002 	 0.000197165 	
-333.336 	 0.00019877 	
-316.679 	 0.000196502 	
-300.003 	 0.00019834 	
-283.342 	 0.000199101 	
-266.678 	 0.000199726 	
-250.004 	 0.000200376 	
-233.328 	 0.000200721 	
-216.672 	 0.000203167 	
-199.997 	 0.000203269 	
-183.332 	 0.000205498 	
-166.666 	 0.00020626 	
-150.004 	 0.000206786 	
-133.331 	 0.000207665 	
-116.681 	 0.000210459 	
-100.003 	 0.000209925 	
-83.3484 	 0.00021201 	
-66.662 	 0.000212119 	
-50.011 	 0.000212001 	
-44.1086 	 0.000213574 	
-38.2363 	 0.000213382 	
-32.3522 	 0.000214735 	
-26.4743 	 0.000215975 	
-20.5832 	 0.000215415 	
-14.7204 	 0.000215857 	
-8.83277 	 0.000216062 	
-2.93567 	 0.000215826 	
 2.92879 	 0.000214358 	
 8.82552 	 0.000216886 	
 14.7053 	 0.000217659 	
 20.595 	 0.000217839 	
 26.4544 	 0.000218901 	
 32.3506 	 0.000219138 	
 38.2379 	 0.000218719 	
 44.1224 	 0.000219427 	
 50.0035 	 0.000221323 	
 66.6821 	 0.000222042 	
 83.3351 	 0.000223019 	
 100.002 	 0.000223046 	
 116.664 	 0.000224712 	
 133.327 	 0.00022899 	
 150.007 	 0.000226076 	
 166.676 	 0.000228272 	
 183.333 	 0.000228378 	
 199.988 	 0.000231585 	
 216.668 	 0.000233887 	
 233.336 	 0.000232545 	
 250.004 	 0.000232798 	
 266.672 	 0.000233337 	
 283.33 	 0.000237698 	
 300.001 	 0.000236512 	
 316.663 	 0.000238311 	
 333.325 	 0.000239954 	
 349.994 	 0.00024207 	
 366.669 	 0.00024115 	
 383.342 	 0.000241221 	
 399.996 	 0.000241559 	
 416.657 	 0.000241799 	
 433.33 	 0.00024274 	
 449.997 	 0.000242986 	
 466.658 	 0.000243033 	
 483.334 	 0.000246167 	
 500.003 	 0.0002466 	

	
	
