Start Time:  10/22/2021 12:26:00 PM       Time Completed:  10/22/2021 12:50:37 PM   Elapsed Time:  00:24:37
Sample ID:     Co4-Anneal00_OOP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211022_Co4-Anneal00_OOP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211022_Co4-Anneal00_OOP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211022_Co4-Anneal00_OOP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.0000821905 	
 13700 	-0.0000427232 	
 12400 	-0.00000343446 	
 11100 	 0.0000346683 	
 9799.97 	 0.000071556 	
 8499.97 	 0.000112632 	
 7199.96 	 0.000155795 	
 5899.96 	 0.000193033 	
 4599.97 	 0.000239071 	
 3299.95 	 0.000265385 	
 1999.96 	 0.000263131 	
 1699.98 	 0.000256106 	
 1399.98 	 0.000250124 	
 1099.98 	 0.000242425 	
 799.98 	 0.000233736 	
 499.979 	 0.000225123 	
 449.996 	 0.00022686 	
 399.99 	 0.000224525 	
 349.988 	 0.000222177 	
 299.995 	 0.000220961 	
 249.991 	 0.000219638 	
 199.993 	 0.000218283 	
 149.995 	 0.000217362 	
 99.9898 	 0.000214956 	
 49.9956 	 0.000213527 	
-0.00468534 	 0.000212499 	
-50.0069 	 0.000210264 	
-100.006 	 0.000209029 	
-150.005 	 0.00020577 	
-200.008 	 0.000205131 	
-250.007 	 0.000203649 	
-300.01 	 0.000203025 	
-350.002 	 0.000201082 	
-400.007 	 0.000198186 	
-450.006 	 0.000196764 	
-500.007 	 0.000197293 	
-800.013 	 0.000187281 	
-1100.01 	 0.000179448 	
-1400.02 	 0.00017335 	
-1700.02 	 0.000171555 	
-2000.02 	 0.000165501 	
-3300.05 	 0.000161595 	
-4600.06 	 0.000187763 	
-5900.07 	 0.000229789 	
-7200.06 	 0.000268019 	
-8500.04 	 0.000318955 	
-9800.02 	 0.000349391 	
-11100 	 0.00039856 	
-12400 	 0.000439132 	
-13700 	 0.000474393 	
-15000 	 0.000515122 	
-13700 	 0.00047334 	
-12400 	 0.000433978 	
-11100 	 0.00039284 	
-9799.98 	 0.00036053 	
-8499.97 	 0.000312634 	
-7199.96 	 0.000272777 	
-5899.97 	 0.000228938 	
-4599.96 	 0.000195986 	
-3299.99 	 0.000160631 	
-1999.96 	 0.000170147 	
-1699.97 	 0.00017629 	
-1399.98 	 0.000179616 	
-1099.98 	 0.000187871 	
-799.979 	 0.000196322 	
-499.977 	 0.000202937 	
-449.991 	 0.000206524 	
-399.992 	 0.000205963 	
-349.996 	 0.000209185 	
-299.99 	 0.00020848 	
-249.99 	 0.000210179 	
-199.994 	 0.000212069 	
-149.991 	 0.000214228 	
-99.9912 	 0.00021664 	
-49.9959 	 0.000217047 	
 0.00588286 	 0.000219037 	
 50.0036 	 0.000221059 	
 100.002 	 0.000222859 	
 150.003 	 0.000225314 	
 200.003 	 0.000224724 	
 250.006 	 0.000228437 	
 300.006 	 0.000228787 	
 350.006 	 0.000230748 	
 400.003 	 0.000232037 	
 450.006 	 0.000233474 	
 500.004 	 0.000235595 	
 800.011 	 0.000241775 	
 1100.02 	 0.000250567 	
 1400.01 	 0.000256574 	
 1700.02 	 0.000259082 	
 2000.02 	 0.00026273 	
 3300.04 	 0.000267315 	
 4600.06 	 0.000236811 	
 5900.06 	 0.000196795 	
 7200.06 	 0.00016122 	
 8500.04 	 0.00012065 	
 9800.03 	 0.0000779862 	
 11100 	 0.0000362506 	
 12400 	-0.00000492668 	
 13700 	-0.0000433412 	
 15000 	-0.0000834902 	

	
	
