Start Time:  10/22/2021 1:08:25 PM        Time Completed:  10/22/2021 1:30:15 PM    Elapsed Time:  00:21:49
Sample ID:     Co4-Anneal00_OOP_2p5kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_2p5kG\Hannah_2p5kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211022_Co4-Anneal00_OOP_2p5kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211022_Co4-Anneal00_OOP_2p5kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_2p5kG\Hannah_2p5kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211022_Co4-Anneal00_OOP_2p5kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 2500.02 	 0.000265033 	
 2358.82 	 0.00026492 	
 2217.65 	 0.000262093 	
 2076.47 	 0.000261234 	
 1935.3 	 0.00025995 	
 1794.11 	 0.000257289 	
 1652.94 	 0.000254019 	
 1511.76 	 0.000250214 	
 1370.58 	 0.00024758 	
 1229.4 	 0.00024514 	
 1088.23 	 0.000243205 	
 947.047 	 0.000237666 	
 805.865 	 0.000233078 	
 664.696 	 0.000229198 	
 523.514 	 0.000226613 	
 382.334 	 0.000223008 	
 241.161 	 0.000219134 	
 99.981 	 0.00021431 	
 92.5906 	 0.000213396 	
 85.1819 	 0.000212499 	
 77.7795 	 0.000213106 	
 70.368 	 0.000213293 	
 62.9609 	 0.000213562 	
 55.5513 	 0.000213423 	
 48.1431 	 0.000213059 	
 40.7358 	 0.000213865 	
 33.327 	 0.000214205 	
 25.9291 	 0.000212495 	
 18.514 	 0.000212557 	
 11.1094 	 0.000210763 	
 3.70758 	 0.000212526 	
-3.71005 	 0.000213346 	
-11.1129 	 0.000210911 	
-18.5223 	 0.000209457 	
-25.9279 	 0.000209888 	
-33.3292 	 0.000210125 	
-40.7443 	 0.000210424 	
-48.1455 	 0.000210574 	
-55.5661 	 0.000209802 	
-62.9628 	 0.000210994 	
-70.3759 	 0.000210597 	
-77.779 	 0.000208764 	
-85.1892 	 0.000209696 	
-92.5917 	 0.000210357 	
-100.001 	 0.000207701 	
-241.184 	 0.000204435 	
-382.369 	 0.00020163 	
-523.548 	 0.000197087 	
-664.727 	 0.000192469 	
-805.902 	 0.000189726 	
-947.079 	 0.000185169 	
-1088.26 	 0.000180535 	
-1229.44 	 0.000179384 	
-1370.61 	 0.000177699 	
-1511.78 	 0.000173992 	
-1652.96 	 0.000176502 	
-1794.13 	 0.000171633 	
-1935.31 	 0.000171917 	
-2076.49 	 0.000169483 	
-2217.66 	 0.000167762 	
-2358.85 	 0.000166809 	
-2500.02 	 0.000167137 	
-2358.82 	 0.000167846 	
-2217.63 	 0.000168639 	
-2076.47 	 0.000172333 	
-1935.29 	 0.000174336 	
-1794.11 	 0.000176062 	
-1652.94 	 0.00017766 	
-1511.76 	 0.000181707 	
-1370.58 	 0.000183872 	
-1229.41 	 0.000187819 	
-1088.23 	 0.000188383 	
-947.053 	 0.000192606 	
-805.876 	 0.000194967 	
-664.685 	 0.000199522 	
-523.516 	 0.000203491 	
-382.345 	 0.000210103 	
-241.171 	 0.000212161 	
-99.986 	 0.000217266 	
-92.5909 	 0.000216612 	
-85.1773 	 0.000216342 	
-77.7739 	 0.000215827 	
-70.3642 	 0.000218972 	
-62.9636 	 0.000216403 	
-55.5507 	 0.000214981 	
-48.14 	 0.000217686 	
-40.7448 	 0.000216214 	
-33.3315 	 0.000217585 	
-25.9239 	 0.000219246 	
-18.5126 	 0.000218291 	
-11.1104 	 0.000218891 	
-3.7031 	 0.000218395 	
 3.70417 	 0.000219237 	
 11.109 	 0.000219133 	
 18.5226 	 0.000218918 	
 25.9261 	 0.000221342 	
 33.3308 	 0.000220131 	
 40.7411 	 0.000220615 	
 48.1487 	 0.000220617 	
 55.5603 	 0.00022188 	
 62.9646 	 0.000221027 	
 70.3657 	 0.000219342 	
 77.7733 	 0.000224069 	
 85.1868 	 0.000221601 	
 92.6 	 0.000223569 	
 100.007 	 0.000223345 	
 241.176 	 0.000226287 	
 382.359 	 0.000228933 	
 523.538 	 0.000235598 	
 664.72 	 0.000238569 	
 805.894 	 0.000240751 	
 947.076 	 0.000246082 	
 1088.25 	 0.000249073 	
 1229.42 	 0.000250609 	
 1370.61 	 0.000254892 	
 1511.78 	 0.00025733 	
 1652.95 	 0.000254417 	
 1794.13 	 0.000258498 	
 1935.3 	 0.000258322 	
 2076.49 	 0.000260947 	
 2217.67 	 0.000259506 	
 2358.84 	 0.000262311 	
 2500.01 	 0.000265069 	

	
	
