Start Time:  10/22/2021 2:09:12 PM        Time Completed:  10/22/2021 2:19:06 PM    Elapsed Time:  00:09:53
Sample ID:     Co8-Anneal00_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1kG\Jason_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211022_Co8-Anneal00_OOP_1kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211022_Co8-Anneal00_OOP_1kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1kG\Jason_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211022_Co8-Anneal00_OOP_1kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 1000 	 0.000221929 	
 899.997 	 0.000224875 	
 799.999 	 0.000226458 	
 699.996 	 0.000225908 	
 599.989 	 0.000224693 	
 499.997 	 0.000226752 	
 479.998 	 0.000227876 	
 459.999 	 0.000228519 	
 440 	 0.000227457 	
 419.999 	 0.000226787 	
 399.996 	 0.000227964 	
 380.007 	 0.000226501 	
 227.992 	 0.000229631 	
 75.9838 	 0.00022877 	
-76.0198 	 0.000224942 	
-228.019 	 0.000221823 	
-380.02 	 0.000220874 	
-400.005 	 0.000220825 	
-420.008 	 0.000221854 	
-440.009 	 0.000220247 	
-460.009 	 0.000220062 	
-480.012 	 0.000222911 	
-500.012 	 0.000222309 	
-600.013 	 0.000219904 	
-700.019 	 0.000220297 	
-800.018 	 0.000226418 	
-900.013 	 0.000225341 	
-1000.02 	 0.000224833 	
-900.002 	 0.000224958 	
-800 	 0.000223229 	
-700.001 	 0.000223311 	
-599.999 	 0.000221057 	
-500.003 	 0.000222076 	
-480.003 	 0.00022093 	
-460.001 	 0.000221572 	
-439.998 	 0.000221018 	
-419.998 	 0.000220809 	
-399.994 	 0.000220953 	
-379.996 	 0.000219302 	
-227.998 	 0.000218919 	
-75.9955 	 0.000221342 	
 76.0084 	 0.0002236 	
 228.003 	 0.000226877 	
 380.01 	 0.000226201 	
 400.002 	 0.000226693 	
 420.001 	 0.000227604 	
 440.004 	 0.00022488 	
 460.007 	 0.000225002 	
 480.003 	 0.000225026 	
 500.003 	 0.000224285 	
 600.002 	 0.000225603 	
 700.01 	 0.000223506 	
 800.004 	 0.000220978 	
 900.008 	 0.000220303 	
 1000 	 0.000220385 	

	
	
