Start Time:  10/27/2021 9:41:00 AM        Time Completed:  10/27/2021 10:05:38 AM   Elapsed Time:  00:24:38
Sample ID:     Co12-Anneal00_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211027_Co12-Anneal00_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211027_Co12-Anneal00_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211027_Co12-Anneal00_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	 0.000572348 	
 13700 	 0.000602253 	
 12400 	 0.0006299 	
 11100 	 0.000663641 	
 9799.98 	 0.000687686 	
 8499.96 	 0.000710666 	
 7199.95 	 0.000739727 	
 5899.97 	 0.000768943 	
 4599.97 	 0.000803966 	
 3299.95 	 0.000833306 	
 1999.96 	 0.000862039 	
 1699.97 	 0.000871472 	
 1399.98 	 0.000877331 	
 1099.98 	 0.000883997 	
 799.976 	 0.000886692 	
 499.976 	 0.000893033 	
 449.989 	 0.000893488 	
 399.991 	 0.00089532 	
 349.995 	 0.000895203 	
 299.992 	 0.000895418 	
 249.995 	 0.000894433 	
 199.997 	 0.000895721 	
 149.993 	 0.000894858 	
 99.9918 	 0.000892839 	
 49.9918 	 0.000883238 	
-0.00712011 	 0.000824822 	
-50.01 	-0.000500197 	
-100.003 	-0.000514265 	
-150.005 	-0.000518889 	
-200.006 	-0.000520441 	
-250.006 	-0.000521351 	
-300.004 	-0.000522371 	
-350.004 	-0.000521902 	
-400.007 	-0.000521408 	
-450.007 	-0.000522371 	
-500.007 	-0.000521078 	
-800.009 	-0.000516034 	
-1100.02 	-0.000510008 	
-1400.02 	-0.00050544 	
-1700.02 	-0.00049976 	
-2000.02 	-0.000489788 	
-3300.05 	-0.000457452 	
-4600.05 	-0.0004322 	
-5900.07 	-0.000397845 	
-7200.06 	-0.000375371 	
-8500.05 	-0.000342106 	
-9800.03 	-0.000319113 	
-11100 	-0.000286951 	
-12400 	-0.000255796 	
-13700 	-0.000228663 	
-15000 	-0.000203027 	
-13700 	-0.000230344 	
-12400 	-0.000258201 	
-11100 	-0.00028489 	
-9799.99 	-0.000314332 	
-8499.97 	-0.000338908 	
-7199.96 	-0.000367495 	
-5899.96 	-0.000395375 	
-4599.98 	-0.000430609 	
-3299.99 	-0.000462024 	
-1999.96 	-0.000493919 	
-1699.97 	-0.000497582 	
-1399.98 	-0.000504367 	
-1099.98 	-0.000512179 	
-799.98 	-0.000517645 	
-499.979 	-0.000522394 	
-449.997 	-0.000521042 	
-399.991 	-0.000523683 	
-349.993 	-0.000524341 	
-299.99 	-0.000522986 	
-249.99 	-0.000523894 	
-199.989 	-0.000524349 	
-149.994 	-0.000523151 	
-99.992 	-0.000520778 	
-49.9923 	-0.00051078 	
 0.00186151 	-0.000457769 	
 50.0086 	 0.000871034 	
 100.002 	 0.000886385 	
 150.006 	 0.000891686 	
 200.005 	 0.000893201 	
 250.006 	 0.000893394 	
 300.006 	 0.000893774 	
 350.009 	 0.000895482 	
 400.01 	 0.000893153 	
 450.001 	 0.00089336 	
 500.007 	 0.000894354 	
 800.014 	 0.00088876 	
 1100.01 	 0.000882498 	
 1400.02 	 0.000876331 	
 1700.02 	 0.000867661 	
 2000.02 	 0.000861217 	
 3300.04 	 0.000829213 	
 4600.04 	 0.000803757 	
 5900.07 	 0.000774769 	
 7200.07 	 0.000734221 	
 8500.06 	 0.000717405 	
 9800.02 	 0.000686997 	
 11100 	 0.00065437 	
 12400 	 0.000627053 	
 13700 	 0.000600861 	
 15000 	 0.000574161 	

	
	
