Start Time:  10/27/2021 5:40:00 PM        Time Completed:  10/27/2021 6:04:35 PM    Elapsed Time:  00:24:35
Sample ID:     Co2-Anneal00_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211027_Co2-Anneal00_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211027_Co2-Anneal00_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211027_Co2-Anneal00_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000126016 	
 13700 	-0.0000950634 	
 12400 	-0.0000601409 	
 11100 	-0.0000261643 	
 9799.98 	 0.00000426239 	
 8499.97 	 0.0000387628 	
 7199.95 	 0.0000766465 	
 5899.96 	 0.000107211 	
 4599.97 	 0.00014058 	
 3299.95 	 0.000178362 	
 1999.96 	 0.000213672 	
 1699.98 	 0.000221744 	
 1399.98 	 0.000228773 	
 1099.98 	 0.000236519 	
 799.977 	 0.000243406 	
 499.979 	 0.000249449 	
 449.994 	 0.000248136 	
 399.992 	 0.000250529 	
 349.992 	 0.000248389 	
 299.992 	 0.000250139 	
 249.994 	 0.000251672 	
 199.994 	 0.000249404 	
 149.99 	 0.000249628 	
 99.992 	 0.000248574 	
 49.9997 	 0.000246943 	
-0.00535451 	 0.0002325 	
-50.0072 	 0.000128987 	
-100.004 	 0.00012602 	
-150.002 	 0.000123784 	
-200.002 	 0.000123362 	
-250.003 	 0.000123256 	
-300.004 	 0.000124283 	
-350.006 	 0.000123971 	
-400.007 	 0.000125802 	
-450.005 	 0.000123978 	
-500.002 	 0.000126057 	
-800.014 	 0.000132399 	
-1100.01 	 0.000134934 	
-1400.02 	 0.000144869 	
-1700.02 	 0.000150518 	
-2000.02 	 0.000159255 	
-3300.04 	 0.00019432 	
-4600.06 	 0.000233798 	
-5900.08 	 0.000270975 	
-7200.07 	 0.000300024 	
-8500.06 	 0.000333981 	
-9800.03 	 0.000368472 	
-11100 	 0.000400622 	
-12400 	 0.000434821 	
-13700 	 0.000467855 	
-15000 	 0.000498796 	
-13700 	 0.000466177 	
-12400 	 0.00043402 	
-11100 	 0.0003974 	
-9799.98 	 0.000370238 	
-8499.96 	 0.000339592 	
-7199.96 	 0.000299762 	
-5899.96 	 0.00027033 	
-4599.96 	 0.000229975 	
-3299.99 	 0.000193657 	
-1999.96 	 0.000161644 	
-1699.98 	 0.000148945 	
-1399.98 	 0.000143558 	
-1099.98 	 0.000137486 	
-799.981 	 0.000131216 	
-499.981 	 0.000123841 	
-449.996 	 0.000124963 	
-399.994 	 0.000122882 	
-349.987 	 0.000123251 	
-299.99 	 0.000123178 	
-249.997 	 0.000123112 	
-199.99 	 0.000122297 	
-149.994 	 0.000122647 	
-99.9934 	 0.00012232 	
-49.9952 	 0.000125915 	
 0.00858689 	 0.000137895 	
 50.0036 	 0.000243638 	
 100.007 	 0.000246554 	
 150.006 	 0.000249458 	
 200.005 	 0.000249481 	
 250.005 	 0.000249342 	
 300.007 	 0.000249264 	
 350.006 	 0.00024909 	
 400.004 	 0.00024964 	
 450.004 	 0.000248651 	
 500.004 	 0.000248002 	
 800.015 	 0.000242545 	
 1100.01 	 0.000235087 	
 1400.01 	 0.000229572 	
 1700.02 	 0.000220624 	
 2000.02 	 0.000212049 	
 3300.04 	 0.000175211 	
 4600.06 	 0.000139748 	
 5900.06 	 0.000106625 	
 7200.07 	 0.0000719386 	
 8500.04 	 0.0000313274 	
 9800.02 	 0.00000923173 	
 11100 	-0.0000266878 	
 12400 	-0.0000620321 	
 13700 	-0.000093142 	
 15000 	-0.000126449 	

	
	
