Start Time:  10/27/2021 11:22:00 AM       Time Completed:  10/27/2021 11:46:38 AM   Elapsed Time:  00:24:38
Sample ID:     Co8-Anneal00_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211027_Co8-Anneal00_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211027_Co8-Anneal00_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211027_Co8-Anneal00_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	 0.000189024 	
 13700 	 0.000223984 	
 12400 	 0.000255712 	
 11100 	 0.000290493 	
 9799.99 	 0.000324291 	
 8499.96 	 0.000368944 	
 7199.95 	 0.000397656 	
 5899.97 	 0.000428978 	
 4599.97 	 0.000470812 	
 3299.95 	 0.000508089 	
 1999.96 	 0.000545122 	
 1699.98 	 0.000549753 	
 1399.97 	 0.000556806 	
 1099.98 	 0.000567168 	
 799.979 	 0.000572963 	
 499.98 	 0.000581733 	
 449.993 	 0.000583403 	
 399.991 	 0.000583546 	
 349.99 	 0.000583033 	
 299.992 	 0.000585982 	
 249.993 	 0.000584093 	
 199.992 	 0.000584479 	
 149.993 	 0.000584534 	
 99.9927 	 0.000581367 	
 49.9935 	 0.000568668 	
-0.00386388 	 0.000449327 	
-50.0071 	-0.000182813 	
-100.009 	-0.000199207 	
-150.007 	-0.000205555 	
-200.009 	-0.000207264 	
-250.003 	-0.000208337 	
-300.006 	-0.000207963 	
-350.004 	-0.000208385 	
-400.007 	-0.000207356 	
-450.007 	-0.00020755 	
-500.005 	-0.000206752 	
-800.012 	-0.000200794 	
-1100.01 	-0.000195003 	
-1400.02 	-0.000187701 	
-1700.01 	-0.000176434 	
-2000.02 	-0.000168345 	
-3300.05 	-0.000130337 	
-4600.06 	-0.0000927283 	
-5900.07 	-0.0000537102 	
-7200.06 	-0.0000199891 	
-8500.04 	 0.0000116048 	
-9800.03 	 0.0000585116 	
-11100 	 0.0000798982 	
-12400 	 0.000117348 	
-13700 	 0.000150401 	
-15000 	 0.000182831 	
-13700 	 0.000151211 	
-12400 	 0.000114857 	
-11100 	 0.0000829579 	
-9799.97 	 0.0000504501 	
-8499.97 	 0.0000111556 	
-7199.96 	-0.0000186212 	
-5899.96 	-0.0000629419 	
-4599.95 	-0.0000987897 	
-3299.99 	-0.000134428 	
-1999.96 	-0.000174549 	
-1699.97 	-0.000178988 	
-1399.98 	-0.000184788 	
-1099.97 	-0.000193684 	
-799.98 	-0.000202949 	
-499.979 	-0.000208646 	
-449.988 	-0.000209389 	
-399.99 	-0.000209318 	
-349.994 	-0.000211534 	
-299.991 	-0.000212164 	
-249.993 	-0.000211526 	
-199.992 	-0.000212561 	
-149.988 	-0.000211135 	
-99.9901 	-0.000210211 	
-49.9948 	-0.000198052 	
 0.00743796 	-0.0000865989 	
 50.0071 	 0.000554543 	
 100.006 	 0.000572935 	
 150.008 	 0.000578238 	
 200.007 	 0.000580527 	
 250.008 	 0.000580162 	
 300.008 	 0.000580766 	
 350.007 	 0.00057934 	
 400.001 	 0.0005808 	
 450.003 	 0.000579115 	
 500.003 	 0.000579845 	
 800.009 	 0.000573575 	
 1100.02 	 0.000564964 	
 1400.01 	 0.000558188 	
 1700.02 	 0.000552358 	
 2000.02 	 0.000542845 	
 3300.04 	 0.000499977 	
 4600.05 	 0.000460444 	
 5900.07 	 0.000433552 	
 7200.07 	 0.000390759 	
 8500.04 	 0.000356703 	
 9800.03 	 0.000324551 	
 11100 	 0.00029035 	
 12400 	 0.000256373 	
 13700 	 0.000221913 	
 15000 	 0.000189713 	

	
	
