Start Time:  10/27/2021 3:41:00 PM        Time Completed:  10/27/2021 4:06:02 PM    Elapsed Time:  00:25:02
Sample ID:     Co8-Anneal00_IP_500G_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211027_Co8-Anneal00_IP_500G_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211027_Co8-Anneal00_IP_500G_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211027_Co8-Anneal00_IP_500G_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 500 	 0.000595927 	
 483.325 	 0.000597379 	
 466.657 	 0.000597737 	
 450.008 	 0.000595477 	
 433.323 	 0.000597203 	
 416.661 	 0.000596783 	
 399.988 	 0.000599961 	
 383.319 	 0.00059858 	
 366.655 	 0.000599836 	
 349.989 	 0.000598283 	
 333.327 	 0.000600334 	
 316.657 	 0.000599875 	
 299.993 	 0.000598578 	
 283.323 	 0.000598913 	
 266.668 	 0.000599732 	
 249.99 	 0.000598008 	
 233.336 	 0.000601854 	
 216.672 	 0.000598383 	
 199.997 	 0.000601156 	
 183.325 	 0.000601159 	
 166.665 	 0.000600257 	
 149.996 	 0.000599574 	
 133.332 	 0.000600026 	
 116.671 	 0.00059852 	
 99.9982 	 0.000597071 	
 83.3431 	 0.000594577 	
 66.6797 	 0.000590276 	
 49.9864 	 0.000582866 	
 44.1065 	 0.000576824 	
 38.2306 	 0.000572177 	
 32.354 	 0.000563956 	
 26.4722 	 0.000550055 	
 20.5869 	 0.000536151 	
 14.6926 	 0.000513862 	
 8.82153 	 0.000490937 	
 2.94201 	 0.00047137 	
-2.94993 	 0.000449607 	
-8.82877 	 0.000423502 	
-14.7194 	 0.000376015 	
-20.6042 	-0.0000579564 	
-26.4761 	-0.000161561 	
-32.3629 	-0.000177112 	
-38.2202 	-0.00018794 	
-44.1281 	-0.000194626 	
-50.0047 	-0.000199088 	
-66.6709 	-0.000207452 	
-83.3307 	-0.000212067 	
-100.018 	-0.000215089 	
-116.669 	-0.000218037 	
-133.335 	-0.000219756 	
-150.006 	-0.000221795 	
-166.672 	-0.000222661 	
-183.342 	-0.000220888 	
-200.007 	-0.000223213 	
-216.668 	-0.000222204 	
-233.342 	-0.000223677 	
-250.002 	-0.000223214 	
-266.683 	-0.000223537 	
-283.343 	-0.000223987 	
-300.016 	-0.000224422 	
-316.67 	-0.000224082 	
-333.341 	-0.000223656 	
-350.005 	-0.000223898 	
-366.677 	-0.00022333 	
-383.343 	-0.000225272 	
-400.004 	-0.000225345 	
-416.674 	-0.000223929 	
-433.337 	-0.000222908 	
-449.993 	-0.000222435 	
-466.677 	-0.000221932 	
-483.338 	-0.000222833 	
-500.013 	-0.000223671 	
-483.341 	-0.000223798 	
-466.674 	-0.000223844 	
-450.002 	-0.000224493 	
-433.332 	-0.000224532 	
-416.68 	-0.000225216 	
-400.001 	-0.000225572 	
-383.336 	-0.000224748 	
-366.671 	-0.00022473 	
-349.999 	-0.00022401 	
-333.342 	-0.000226716 	
-316.668 	-0.000226986 	
-300.01 	-0.000225194 	
-283.341 	-0.00022749 	
-266.667 	-0.000225842 	
-250.005 	-0.000227702 	
-233.329 	-0.000225905 	
-216.656 	-0.000226611 	
-199.998 	-0.000228762 	
-183.334 	-0.000226451 	
-166.675 	-0.000227514 	
-150.006 	-0.000228109 	
-133.329 	-0.000225872 	
-116.677 	-0.000224911 	
-100.002 	-0.000223729 	
-83.3377 	-0.000222349 	
-66.6642 	-0.000219751 	
-50.0165 	-0.000211509 	
-44.1204 	-0.000206793 	
-38.2272 	-0.000204131 	
-32.3637 	-0.000198156 	
-26.4658 	-0.00018716 	
-20.5947 	-0.000175924 	
-14.7064 	-0.000159772 	
-8.81401 	-0.00013838 	
-2.93692 	-0.000117358 	
 2.93926 	-0.0000972754 	
 8.81355 	-0.0000763557 	
 14.7016 	-0.0000470031 	
 20.5884 	 0.00000499876 	
 26.4688 	 0.00046062 	
 32.3376 	 0.000536904 	
 38.2309 	 0.00055345 	
 44.1157 	 0.000562202 	
 49.9843 	 0.000569293 	
 66.6606 	 0.000578879 	
 83.3508 	 0.000583757 	
 100.004 	 0.000588486 	
 116.671 	 0.000589149 	
 133.323 	 0.000594172 	
 149.982 	 0.000596264 	
 166.661 	 0.000594743 	
 183.337 	 0.000595232 	
 199.995 	 0.00059596 	
 216.652 	 0.000597078 	
 233.342 	 0.000598203 	
 249.998 	 0.00059769 	
 266.661 	 0.000596872 	
 283.325 	 0.000598117 	
 299.987 	 0.000598627 	
 316.672 	 0.00059819 	
 333.342 	 0.000597109 	
 350.001 	 0.000597841 	
 366.665 	 0.000597372 	
 383.326 	 0.000596937 	
 399.997 	 0.000598774 	
 416.672 	 0.000597012 	
 433.339 	 0.000597813 	
 449.99 	 0.000598708 	
 466.662 	 0.000596974 	
 483.337 	 0.00059625 	
 499.997 	 0.000597245 	

	
	
