Start Time:  02/25/2022 10:49:31 AM       Time Completed:  02/25/2022 10:59:27 AM   Elapsed Time:  00:09:56
Sample ID:     HK010_OOP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220225_HK010_OOP_1p5T_7p5mm#3.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220225_HK010_OOP_1p5T_7p5mm#3.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220225_HK010_OOP_1p5T_7p5mm#3.dat

***DATA***

Field(G)	 Moment(emu)	
-0.032266 	 0.00059754 	
 13750 	 0.000256911 	
 12500 	 0.000299423 	
 11250 	 0.000339546 	
 9999.99 	 0.000382347 	
 8749.98 	 0.000418536 	
 7499.98 	 0.000460141 	
 6249.97 	 0.000502082 	
 4999.98 	 0.000540238 	
 4499.98 	 0.000553639 	
 3999.99 	 0.000565859 	
 3499.98 	 0.000575383 	
 2999.98 	 0.000587561 	
 2499.98 	 0.000597039 	
 2000.88 	 0.000607008 	
 1499.98 	 0.000615897 	
 999.979 	 0.000620728 	
 499.983 	 0.000628828 	
 399.988 	 0.000632101 	
 299.992 	 0.000634569 	
 199.993 	 0.000636882 	
 99.995 	 0.000640382 	
-0.00516667 	 0.000643476 	
-100.009 	 0.000642737 	
-200.007 	 0.000644386 	
-300.006 	 0.000647188 	
-400.005 	 0.000651255 	
-500.007 	 0.000655557 	
-1000.02 	 0.000655802 	
-1500.02 	 0.000664849 	
-2000.02 	 0.000671993 	

	
	
