Start Time:  02/25/2022 3:38:00 PM        Time Completed:  02/25/2022 3:53:43 PM    Elapsed Time:  00:15:43
Sample ID:     HK011_IP_5kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG_fast\Hannah_5kG_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220225_HK011_IP_5kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220225_HK011_IP_5kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG_fast\Hannah_5kG_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220225_HK011_IP_5kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 5000.02 	 0.000228387 	
 4350 	 0.000245547 	
 3699.99 	 0.000263066 	
 3050 	 0.000280174 	
 2399.99 	 0.000297086 	
 1749.99 	 0.000311385 	
 1516.66 	 0.000317955 	
 1283.33 	 0.000323213 	
 1049.99 	 0.000328031 	
 816.661 	 0.000333151 	
 583.322 	 0.000338158 	
 349.993 	 0.000340106 	
 116.655 	 0.000337433 	
-116.677 	 0.000145055 	
-350.011 	 0.000142051 	
-583.346 	 0.000143733 	
-816.677 	 0.000149597 	
-1050.01 	 0.000154474 	
-1283.35 	 0.000159999 	
-1516.68 	 0.000164892 	
-1750.01 	 0.000170869 	
-2400.02 	 0.00018623 	
-3050.02 	 0.000205271 	
-3700.02 	 0.000220743 	
-4350.02 	 0.000236946 	
-5000.03 	 0.00025302 	
-4350 	 0.000235614 	
-3699.99 	 0.000218942 	
-3049.99 	 0.000200901 	
-2399.99 	 0.000185154 	
-1749.98 	 0.000170525 	
-1516.65 	 0.000164756 	
-1283.32 	 0.000157709 	
-1049.99 	 0.000153312 	
-816.66 	 0.000147403 	
-583.323 	 0.000143297 	
-349.99 	 0.000139531 	
-116.658 	 0.00014276 	
 116.678 	 0.000336966 	
 350.012 	 0.000339327 	
 583.344 	 0.000336457 	
 816.676 	 0.000331464 	
 1050.01 	 0.00032614 	
 1283.34 	 0.00031944 	
 1516.68 	 0.000315621 	
 1750.01 	 0.000309515 	
 2400.02 	 0.000292864 	
 3050.03 	 0.000277351 	
 3700.02 	 0.000257738 	
 4350.03 	 0.000244287 	
 5000.03 	 0.000226721 	

	
	
