Start Time:  02/25/2022 12:39:37 PM       Time Completed:  02/25/2022 1:07:29 PM    Elapsed Time:  00:27:51
Sample ID:     HK011_OOP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220225_HK011_OOP_1p5T_7p5mm#3.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220225_HK011_OOP_1p5T_7p5mm#3.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220225_HK011_OOP_1p5T_7p5mm#3.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	 0.000183634 	
 13750 	 0.00019599 	
 12500 	 0.000208537 	
 11250 	 0.000222712 	
 9999.99 	 0.00023532 	
 8749.98 	 0.000251568 	
 7499.97 	 0.000263255 	
 6249.98 	 0.000283365 	
 4999.98 	 0.000299876 	
 4499.99 	 0.000305873 	
 3999.99 	 0.000309055 	
 3499.98 	 0.000306634 	
 2999.99 	 0.00030221 	
 2499.99 	 0.000297357 	
 1999.98 	 0.000293194 	
 1499.98 	 0.000287324 	
 999.98 	 0.000283853 	
 499.98 	 0.000277068 	
 399.99 	 0.000277467 	
 299.99 	 0.00027468 	
 199.993 	 0.000273724 	
 99.9938 	 0.000270392 	
-0.00463932 	 0.000270262 	
-100.009 	 0.000268935 	
-200.009 	 0.000267764 	
-300.007 	 0.000265138 	
-400.007 	 0.000263432 	
-500.005 	 0.000261247 	
-1000.01 	 0.000256031 	
-1500.02 	 0.000254096 	
-2000.02 	 0.000254588 	
-2500.02 	 0.000252405 	
-3000.02 	 0.000249949 	
-3500.02 	 0.000243928 	
-4000.02 	 0.000240355 	
-4500.02 	 0.000250511 	
-5000.02 	 0.000255093 	
-6250.04 	 0.000273397 	
-7500.04 	 0.00028771 	
-8750.03 	 0.00031448 	
-10000 	 0.000327993 	
-11250 	 0.00034861 	
-12500 	 0.000361269 	
-13750 	 0.000380956 	
-15000 	 0.000394147 	
-13750 	 0.000378023 	
-12500 	 0.000360656 	
-11250 	 0.000343084 	
-9999.99 	 0.000325183 	
-8749.98 	 0.000309486 	
-7499.97 	 0.000292406 	
-6249.97 	 0.000268729 	
-4999.97 	 0.000248932 	
-4499.99 	 0.000241138 	
-3999.99 	 0.0002384 	
-3500 	 0.000237533 	
-2999.99 	 0.000243024 	
-2499.99 	 0.000244771 	
-1999.98 	 0.000246823 	
-1499.99 	 0.000251189 	
-999.982 	 0.000254327 	
-499.98 	 0.00026017 	
-399.994 	 0.000260784 	
-299.994 	 0.000262002 	
-199.993 	 0.000261838 	
-99.9947 	 0.000264065 	
 0.00590862 	 0.000265141 	
 100.005 	 0.000264986 	
 200.009 	 0.000265491 	
 300.007 	 0.000268001 	
 400.002 	 0.000268382 	
 500.005 	 0.000268644 	
 1000.02 	 0.000271778 	
 1500.01 	 0.000275506 	
 2000.02 	 0.000272694 	
 2500.02 	 0.000275855 	
 3000.02 	 0.000275966 	
 3500.02 	 0.000279274 	
 4000.03 	 0.00027818 	
 4500.02 	 0.000275846 	
 5000.02 	 0.000268984 	
 6250.04 	 0.000245899 	
 7500.04 	 0.000236297 	
 8750.02 	 0.00021044 	
 10000 	 0.000191039 	
 11250 	 0.000180449 	
 12500 	 0.000161422 	
 13750 	 0.000144158 	
 15000 	 0.000131961 	

	
	
