Start Time:  02/25/2022 1:20:26 PM        Time Completed:  02/25/2022 1:40:27 PM    Elapsed Time:  00:20:00
Sample ID:     HK011_OOP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20221225_HK011_OOP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20221225_HK011_OOP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20221225_HK011_OOP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	 0.000128548 	
 13700 	 0.000144834 	
 12400 	 0.000162029 	
 11100 	 0.000182441 	
 9799.98 	 0.000193932 	
 8499.97 	 0.000214309 	
 7199.96 	 0.000238417 	
 5899.97 	 0.000259735 	
 4599.97 	 0.000278594 	
 3299.96 	 0.000280086 	
 1999.96 	 0.000272499 	
 1799.98 	 0.000270785 	
 1599.98 	 0.000271836 	
 1399.99 	 0.00027121 	
 1199.98 	 0.000266468 	
 999.988 	 0.000265908 	
 799.987 	 0.000265162 	
 599.983 	 0.000261833 	
 399.988 	 0.000261016 	
 199.983 	 0.000258017 	
-0.0160388 	 0.000257868 	
-200.011 	 0.000253775 	
-400.015 	 0.000252737 	
-600.017 	 0.000250999 	
-800.02 	 0.000249006 	
-1000.02 	 0.000247982 	
-1200.01 	 0.000246651 	
-1400.02 	 0.000244764 	
-1600.02 	 0.000244475 	
-1800.02 	 0.000244931 	
-2000.02 	 0.000245027 	
-3300.05 	 0.000240151 	
-4600.07 	 0.000242755 	
-5900.06 	 0.000264195 	
-7200.05 	 0.000275201 	
-8500.04 	 0.000295675 	
-9800.02 	 0.000321772 	
-11100 	 0.000339057 	
-12400 	 0.000357206 	
-13700 	 0.000375553 	
-15000 	 0.000391486 	
-13700 	 0.000372079 	
-12400 	 0.000355016 	
-11100 	 0.00033714 	
-9799.99 	 0.00031733 	
-8499.98 	 0.000302101 	
-7199.97 	 0.000282698 	
-5899.97 	 0.000261484 	
-4599.97 	 0.000237535 	
-3299.98 	 0.000235655 	
-1999.96 	 0.000244685 	
-1799.98 	 0.000246516 	
-1599.98 	 0.000247407 	
-1399.99 	 0.000250703 	
-1199.99 	 0.000250875 	
-999.985 	 0.000251474 	
-799.987 	 0.000253459 	
-599.983 	 0.000255918 	
-399.985 	 0.00025886 	
-199.981 	 0.000259641 	
 0.0192798 	 0.000261481 	
 200.014 	 0.000263487 	
 400.019 	 0.000266073 	
 600.016 	 0.00026782 	
 800.017 	 0.000269651 	
 1000.02 	 0.000270947 	
 1200.01 	 0.000271697 	
 1400.02 	 0.000273457 	
 1600.01 	 0.000273205 	
 1800.01 	 0.000274929 	
 2000.02 	 0.000272292 	
 3300.04 	 0.000277409 	
 4600.06 	 0.000272848 	
 5900.07 	 0.000249464 	
 7200.07 	 0.000235621 	
 8500.04 	 0.000213609 	
 9800.04 	 0.000196938 	
 11100 	 0.000178921 	
 12400 	 0.000159207 	
 13700 	 0.000144113 	
 15000 	 0.000126919 	

	
	
