Start Time:  02/25/2022 1:47:35 PM        Time Completed:  02/25/2022 2:03:12 PM    Elapsed Time:  00:15:36
Sample ID:     HK011_OOP_5kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG_fast\Hannah_5kG_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220225_HK011_OOP_5kG_7p5mm#3.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220225_HK011_OOP_5kG_7p5mm#3.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG_fast\Hannah_5kG_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220225_HK011_OOP_5kG_7p5mm#3.dat

***DATA***

Field(G)	 Moment(emu)	
 5000.06 	 0.00026679 	
 4350 	 0.000277331 	
 3699.99 	 0.000278332 	
 3049.99 	 0.000277345 	
 2399.99 	 0.000273437 	
 1749.99 	 0.000268944 	
 1516.66 	 0.000267718 	
 1283.32 	 0.000264822 	
 1049.99 	 0.000264064 	
 816.659 	 0.000263526 	
 583.327 	 0.000260337 	
 349.996 	 0.000259029 	
 116.659 	 0.000254743 	
-116.67 	 0.000253471 	
-350.006 	 0.000250911 	
-583.339 	 0.000249946 	
-816.675 	 0.000247986 	
-1050.01 	 0.000246789 	
-1283.34 	 0.000246459 	
-1516.68 	 0.000245547 	
-1750 	 0.000245599 	
-2400.02 	 0.000247962 	
-3050.01 	 0.000241836 	
-3700.02 	 0.000242709 	
-4350.02 	 0.000246924 	
-5000.03 	 0.000254167 	
-4349.99 	 0.000243051 	
-3699.99 	 0.000239171 	
-3049.99 	 0.000241127 	
-2399.99 	 0.000243827 	
-1749.99 	 0.000247579 	
-1516.66 	 0.000248658 	
-1283.32 	 0.000249099 	
-1049.99 	 0.00025178 	
-816.658 	 0.000253001 	
-583.322 	 0.00025512 	
-349.989 	 0.000257946 	
-116.656 	 0.000259365 	
 116.675 	 0.000261408 	
 350.012 	 0.000263023 	
 583.343 	 0.000265851 	
 816.68 	 0.000268037 	
 1050.01 	 0.000269769 	
 1283.34 	 0.000269055 	
 1516.68 	 0.000270238 	
 1750.01 	 0.000269641 	
 2400.02 	 0.000271173 	
 3050.02 	 0.000271849 	
 3700.03 	 0.000274271 	
 4350.02 	 0.000270245 	
 5000.03 	 0.000261655 	

	
	
